Orthogroup	antismash	busco	CARD	cazy	led	MEROPS	Pfam	virulence
OG0000000	True	True	False	False	True	False	True	False
OG0000001	True	True	False	True	False	False	True	False
OG0000002	True	True	False	False	True	True	True	True
OG0000003	True	False	True	False	False	False	True	True
OG0000004	True	False	True	False	True	False	True	True
OG0000005	True	False	False	False	True	False	True	False
OG0000006	True	False	False	False	False	False	True	True
OG0000007	True	False	False	False	True	True	True	False
OG0000008	True	False	True	False	False	False	True	True
OG0000009	True	False	False	False	False	False	True	True
OG0000010	True	False	False	False	False	False	True	False
OG0000011	True	False	False	False	True	True	True	True
OG0000012	True	False	False	True	True	False	True	True
OG0000013	True	False	False	False	False	False	True	True
OG0000014	True	False	False	False	False	False	True	False
OG0000015	True	False	False	True	False	False	True	True
OG0000016	True	False	True	False	False	False	True	True
OG0000017	True	False	True	False	False	False	True	False
OG0000018	True	False	False	True	False	False	True	True
OG0000019	True	False	False	False	False	False	NA	False
OG0000020	True	False	False	False	True	True	True	True
OG0000021	True	False	True	False	True	False	True	True
OG0000022	True	False	False	False	True	False	True	False
OG0000023	True	False	True	False	False	False	True	True
OG0000024	True	False	True	False	False	False	True	True
OG0000025	True	False	True	False	True	False	True	True
OG0000026	True	False	False	False	False	False	True	False
OG0000027	False	False	False	False	False	False	True	False
OG0000028	False	False	False	False	True	False	True	True
OG0000029	True	False	True	False	False	False	True	True
OG0000030	True	False	True	False	True	False	True	True
OG0000031	False	False	False	False	True	False	True	True
OG0000032	True	False	False	False	True	True	True	False
OG0000033	True	True	False	False	False	False	True	True
OG0000034	True	False	False	False	False	False	True	False
OG0000035	True	False	False	False	False	False	True	False
OG0000036	True	False	False	False	False	False	True	True
OG0000037	True	False	False	False	False	False	True	False
OG0000038	False	False	True	False	False	False	True	True
OG0000039	True	False	False	False	True	False	True	False
OG0000040	True	False	True	False	False	False	True	True
OG0000041	False	False	False	False	True	False	True	False
OG0000042	True	False	False	True	True	False	True	False
OG0000043	True	False	True	False	False	False	True	True
OG0000044	True	False	False	False	True	False	True	True
OG0000045	True	False	False	False	True	False	NA	False
OG0000046	False	False	False	False	False	False	NA	False
OG0000047	True	False	False	False	False	False	True	False
OG0000048	True	False	False	True	False	False	True	False
OG0000049	False	False	False	False	True	True	True	False
OG0000050	True	False	False	False	False	True	True	False
OG0000051	True	False	False	False	False	False	True	False
OG0000052	True	False	False	False	True	False	True	False
OG0000053	True	False	True	False	False	False	True	True
OG0000054	False	False	True	True	False	False	True	True
OG0000055	False	False	False	False	True	False	True	False
OG0000056	False	False	False	False	False	False	True	False
OG0000057	True	False	False	False	True	False	True	False
OG0000058	True	False	False	True	False	False	True	True
OG0000059	True	False	False	False	True	False	True	True
OG0000060	False	False	False	False	False	False	True	False
OG0000061	False	False	False	False	True	True	True	True
OG0000062	True	False	False	False	True	False	True	False
OG0000063	True	False	False	False	False	False	True	False
OG0000064	True	False	False	False	True	False	True	False
OG0000065	False	False	False	False	False	False	True	True
OG0000066	False	False	True	False	True	False	True	False
OG0000067	True	False	True	False	True	False	True	True
OG0000068	True	False	False	False	True	False	True	False
OG0000069	True	False	False	False	False	False	True	False
OG0000070	True	False	False	True	False	False	True	True
OG0000071	True	False	False	False	False	False	True	False
OG0000072	True	False	False	False	True	False	True	False
OG0000073	True	False	False	False	False	False	True	False
OG0000074	False	False	False	False	True	False	True	True
OG0000075	False	False	False	False	False	False	NA	False
OG0000076	False	False	False	False	False	False	True	False
OG0000077	True	False	False	False	True	True	True	False
OG0000078	False	False	False	False	False	False	True	False
OG0000079	False	False	False	True	False	False	NA	False
OG0000080	True	False	False	False	False	False	True	False
OG0000081	True	False	False	False	False	False	True	True
OG0000082	True	False	False	False	True	False	True	True
OG0000083	True	False	False	False	False	False	True	True
OG0000084	True	False	True	False	False	False	True	True
OG0000085	True	False	False	False	False	True	True	False
OG0000086	False	False	False	False	False	False	True	False
OG0000087	False	False	False	False	False	False	True	False
OG0000088	False	False	False	False	True	True	True	False
OG0000089	False	False	False	False	False	False	True	True
OG0000090	False	False	False	True	True	True	True	False
OG0000091	True	False	False	False	False	False	True	False
OG0000092	True	False	False	False	False	False	True	False
OG0000093	False	False	False	False	False	False	True	False
OG0000094	True	False	False	True	False	True	True	True
OG0000095	True	True	False	False	False	True	True	False
OG0000096	False	False	False	False	False	False	True	False
OG0000097	True	False	False	True	False	False	True	False
OG0000098	True	False	False	False	True	False	True	True
OG0000099	False	True	False	False	False	True	True	True
OG0000100	True	False	False	False	False	True	True	True
OG0000101	False	False	False	False	True	False	True	False
OG0000102	False	False	False	False	False	False	True	False
OG0000103	True	False	False	False	False	False	True	False
OG0000104	True	False	False	False	False	False	True	True
OG0000105	False	False	True	False	False	False	True	False
OG0000106	False	False	True	False	False	False	True	True
OG0000107	True	False	False	True	False	False	True	True
OG0000108	True	False	False	False	False	False	True	True
OG0000109	False	False	False	False	False	False	True	True
OG0000110	True	False	False	False	False	False	True	False
OG0000111	False	False	False	False	False	False	True	False
OG0000112	True	False	False	False	True	False	True	True
OG0000113	True	True	False	False	False	False	True	False
OG0000114	True	False	False	True	False	False	True	True
OG0000115	False	False	False	False	False	False	True	False
OG0000116	True	False	False	False	False	False	True	True
OG0000117	False	False	False	False	False	False	True	False
OG0000118	True	False	False	False	False	True	True	True
OG0000119	True	False	False	False	False	False	True	False
OG0000120	False	False	True	False	False	False	True	False
OG0000121	False	False	False	False	False	True	True	True
OG0000122	False	False	False	False	False	True	True	True
OG0000123	True	False	False	False	False	False	True	False
OG0000124	False	False	False	False	True	False	True	False
OG0000125	False	False	False	False	False	False	True	True
OG0000126	False	False	False	False	False	False	True	True
OG0000127	False	False	True	False	False	False	True	True
OG0000128	False	False	False	True	True	True	True	True
OG0000129	True	False	False	True	True	True	True	False
OG0000130	False	False	False	False	False	False	NA	False
OG0000131	False	False	False	False	False	False	True	False
OG0000132	False	False	False	False	False	False	True	False
OG0000133	True	False	False	False	False	False	True	False
OG0000134	False	False	False	False	False	False	True	False
OG0000135	False	False	False	False	False	False	True	False
OG0000136	True	False	False	True	False	False	True	True
OG0000137	True	False	False	False	False	False	True	True
OG0000138	True	False	False	False	False	False	True	False
OG0000139	True	False	False	False	False	False	True	True
OG0000140	True	False	True	False	False	False	True	True
OG0000141	False	False	False	False	False	False	True	False
OG0000142	False	True	False	False	False	False	True	True
OG0000143	False	False	False	True	True	True	True	True
OG0000144	True	False	False	False	False	False	True	False
OG0000145	False	False	False	True	False	False	True	False
OG0000146	False	True	False	False	False	True	True	False
OG0000147	True	True	True	False	True	False	True	True
OG0000148	False	False	True	False	False	False	True	False
OG0000149	False	False	False	False	False	False	True	False
OG0000150	True	False	False	False	False	False	True	False
OG0000151	True	False	False	True	False	False	True	False
OG0000152	True	False	False	False	True	False	True	True
OG0000153	True	False	False	False	True	False	True	False
OG0000154	True	False	True	False	False	True	True	True
OG0000155	True	False	False	False	False	False	True	True
OG0000156	True	False	False	False	False	False	NA	False
OG0000157	False	False	False	False	False	False	True	False
OG0000158	True	False	False	False	False	True	True	False
OG0000159	True	False	False	False	False	False	True	False
OG0000160	True	False	False	True	True	False	True	False
OG0000161	True	False	False	False	False	False	True	True
OG0000162	False	False	False	False	True	False	True	False
OG0000163	True	False	True	False	False	False	True	False
OG0000164	True	False	False	False	True	False	True	False
OG0000165	False	False	False	False	True	True	True	True
OG0000166	True	False	False	True	True	True	True	True
OG0000167	True	False	False	False	True	True	True	True
OG0000168	False	False	True	False	False	False	True	True
OG0000169	True	False	False	False	False	False	True	False
OG0000170	True	False	False	False	False	False	True	True
OG0000171	True	False	False	False	False	False	True	False
OG0000172	True	False	False	False	False	False	True	False
OG0000173	True	False	False	False	False	False	True	True
OG0000174	False	False	False	False	True	False	NA	False
OG0000175	True	False	False	False	False	False	True	False
OG0000176	False	False	False	False	False	False	True	False
OG0000177	False	False	False	False	False	True	True	False
OG0000178	False	False	False	False	False	False	True	True
OG0000179	True	False	False	False	False	False	True	False
OG0000180	False	False	False	False	False	False	True	False
OG0000181	False	True	False	False	True	False	True	False
OG0000182	False	False	True	False	False	False	True	False
OG0000183	False	True	False	False	False	False	True	False
OG0000184	False	False	False	False	False	False	True	False
OG0000185	False	False	False	False	False	True	True	False
OG0000186	False	False	True	False	False	False	True	True
OG0000187	True	False	False	False	True	False	NA	False
OG0000188	False	False	False	False	True	False	True	True
OG0000189	False	False	False	False	False	False	True	False
OG0000190	False	False	False	False	True	False	True	False
OG0000191	False	False	False	False	False	False	NA	False
OG0000192	True	False	False	False	False	False	True	False
OG0000193	True	False	False	False	False	False	True	False
OG0000194	False	False	False	True	True	False	True	True
OG0000195	True	False	False	False	True	False	True	True
OG0000196	False	False	False	False	False	False	True	False
OG0000197	False	False	False	False	True	True	True	False
OG0000198	False	False	False	False	True	False	True	False
OG0000199	True	False	True	False	False	False	True	True
OG0000200	False	False	False	True	False	False	True	False
OG0000201	False	False	False	False	False	False	NA	False
OG0000202	True	False	False	False	True	False	True	True
OG0000203	True	False	False	False	False	False	True	False
OG0000204	True	False	False	False	False	False	True	True
OG0000205	True	False	False	False	False	False	True	False
OG0000206	False	False	False	True	False	False	True	False
OG0000207	False	False	False	False	False	False	True	False
OG0000208	False	False	True	False	False	False	True	False
OG0000209	False	False	False	False	True	True	True	False
OG0000210	False	False	True	False	True	False	True	False
OG0000211	True	False	False	False	True	False	True	False
OG0000212	True	False	False	False	False	False	True	True
OG0000213	False	False	False	False	False	False	True	False
OG0000214	True	False	False	False	False	False	True	False
OG0000215	False	False	False	False	False	False	True	False
OG0000216	True	False	False	False	True	True	True	True
OG0000217	False	False	False	True	True	False	True	False
