genome_id	id	acc	family	genus	genus_species	position
GCA_000170995.2_TRIVI_v2.0_cds_from_genomic.fna	seq1	GCA_000170995.2	Hypocreaceae	Trichoderma	Trichoderma virens	-1
ICBG736.all.maker.transcripts.fasta	seq2	ICBG736	Hypocreaceae	Escovopsis	ICBG736	-1
GCA_000171015.2_TRIAT_v2.0_cds_from_genomic.fna	seq3	GCA_000171015.2	Hypocreaceae	Trichoderma	Trichoderma atroviride	-1
ICBG1054.all.maker.transcripts.fasta	seq4	ICBG1054	Hypocreaceae	Escovopsis	ICBG1054	-1
ICBG710.all.maker.transcripts.fasta	seq5	ICBG710	Hypocreaceae	Escovopsis	ICBG710	-1
GCA_000956045.1_ASM95604v1_cds_from_genomic.fna	seq6	GCA_000956045.1	Ophiocordycipitaceae	Hirsutella	Hirsutella minnesotensis	-1
ICBG733.all.maker.transcripts.fasta	seq7	ICBG733	Hypocreaceae	Escovopsis	ICBG733	-1
GCA_000187405.1_MetAcr_May2010_cds_from_genomic.fna	seq8	GCA_000187405.1	Clavicipitaceae	Metarhizium	Metarhizium acridum	-1
GCA_002022785.1_ASM202278v1_cds_from_genomic.fna	seq9	GCA_002022785.1	Hypocreaceae	Trichoderma	Trichoderma guizhouense	-1
GCA_001653265.1_ASM165326v1_cds_from_genomic.fna	seq10	GCA_001653265.1	Ophiocordycipitaceae	Purpureocillium	Purpureocillium lilacinum	-1
GCA_000187425.2_MAA_2.0_cds_from_genomic.fna	seq11	GCA_000187425.2	Clavicipitaceae	Metarhizium	Metarhizium robertsii	-1
GCA_002591415.1_OphauB2_cds_from_genomic.fna	seq12	GCA_002591415.1	Ophiocordycipitaceae	Ophiocordyceps	Ophiocordyceps australis	-1
GCA_003025115.1_Trici_v4.0_cds_from_genomic.fna	seq13	GCA_003025115.1	Hypocreaceae	Trichoderma	Trichoderma citrinoviride	-1
GCA_000732775.1_S40285v1_cds_from_genomic.fna	seq14	GCA_000732775.1	Stachybotryaceae	Stachybotrys	Stachybotrys chlorohalonata	-1
GCA_004303015.1_ASM430301v1_genomic.all.maker.transcripts.fasta	seq15	GCA_004303015.1	Hypocreaceae	Cladobotryum	Cladobotryum protrusum	-1
GCA_001272575.2_ASM127257v2_cds_from_genomic.fna	seq16	GCA_001272575.2	Ophiocordycipitaceae	Ophiocordyceps	Ophiocordyceps unilateralis	-1
GCA_001653235.2_ASM165323v2_cds_from_genomic.fna	seq17	GCA_001653235.2	Clavicipitaceae	Pochonia	Pochonia chlamydosporia	-1
ICBG1075.all.maker.transcripts.fasta	seq18	ICBG1075	Hypocreaceae	Escovopsis	ICBG1075	-1
GCA_001189435.1_Tophv1.0_cds_from_genomic.fna	seq19	GCA_001189435.1	Ophiocordycipitaceae	Tolypocladium	Tolypocladium ophioglossoides	-1
GCA_003012315.1_Fusarium_sporotrichioides_NRRL3299_FSPOR_contigs_cds_from_genomic.fna	seq20	GCA_003012315.1	Nectriaceae	Fusarium	Fusarium sporotrichioides	-1
ICBG742.all.maker.transcripts.fasta	seq21	ICBG742	Hypocreaceae	Escovopsis	ICBG742	-1
GCA_900007375.1_ASM90000737v1_cds_from_genomic.fna	seq22	GCA_900007375.1	Nectriaceae	Fusarium	Fusarium venenatum	-1
GCA_003025095.1_Triha_v1.0_cds_from_genomic.fna	seq23	GCA_003025095.1	Hypocreaceae	Trichoderma	Trichoderma harzianum	-1
ICBG731.all.maker.transcripts.fasta	seq24	ICBG731	Hypocreaceae	Escovopsis	ICBG731	-1
GCA_000825705.1_Allpaths-LG_cds_from_genomic.fna	seq25	GCA_000825705.1	Clavicipitaceae	Torrubiella	Torrubiella hemipterigena	-1
GCA_000225605.1_CmilitarisCM01_v01_cds_from_genomic.fna	seq26	GCA_000225605.1	Cordycipitaceae	Cordyceps	Cordyceps militaris	-1
ICBG1065.all.maker.transcripts.fasta	seq27	ICBG1065	Hypocreaceae	Escovopsis	ICBG1065	-1
