GCA_000170995.2	seq1
ICBG736		seq2
GCA_000171015.2	seq3
ICBG1054	seq4
ICBG710	seq5
GCA_000956045.1	seq6
ICBG733	seq7
GCA_000187405.1	seq8
GCA_002022785.1	seq9
GCA_001653265.1	seq10
GCA_000187425.2	seq11
SPDT00000000.1	seq12
GCA_002591415.1	seq13
GCA_003025115.1	seq14
GCA_000732775.1	seq15
GCA_004303015.1	seq16
GCA_001272575.2	seq17
GCA_001653235.2	seq18
ICBG1075	seq19
GCA_001189435.1	seq20
GCA_003012315.1	seq21
GCF_000146045.2	seq22
ICBG742	seq23
GCA_900007375.1	seq24
GCA_003025095.1	seq25
ICBG731	seq26
GCA_000825705.1	seq27
GCA_000225605.1	seq28
ICBG1065	seq29
GCA_001636725.1	seq30
GCA_900079805.1	seq31
GCA_000814975.1	seq32
GCA_003339455.1	seq33
NIGD00000000.1	seq34
GCA_000240135.3	seq35
GCA_000769265.1	seq36
GCA_002901185.1	seq37
GCA_900044065.1	seq38
GCA_001636735.1	seq39
GCA_003946995.1	seq40
GCA_001633055.2	seq41
GCA_003025105.1	seq42
GCA_000151355.1	seq43
NQYS00000000	seq44
ICBG726	seq45
GCA_000167675.2	seq46
NQYQ00000000	seq47
GCA_000804445.1	seq48
GCA_003947005.1	seq49
ICBG2046	seq50
GCA_900067095.1	seq51
GCA_003698175.1	seq52
GCA_001636675.1	seq53
GCA_003946985.1	seq54
GCA_000814965.1	seq55
GCF_000149205.2	seq56
GCA_003947015.1	seq57
GCA_003012105.1	seq58
NIGC00000000	seq59
GCA_001292635.1	seq60
GCA_003947045.1	seq61
GCA_001050175.1	seq62
GCA_002916505.1	seq63
ICBG751	seq64
GCA_000814955.1	seq65
ICBG730	seq66
ICBG712	seq67
GCA_001675295.1	seq68
ICBG2047	seq69
GCA_000303195.2	seq70
GCA_000347355.1	seq71
NIGB00000000	seq72
GCA_001636745.1	seq73
GCA_001625195.1	seq74
GCA_003339415.1	seq75
GCA_000814945.1	seq76
LGSR00000000	seq77
GCA_001636795.1	seq78
GCA_003012285.1	seq79
ICBG2048	seq80
GCA_000687475.1	seq81
GCA_000280675.1	seq82
GCA_002591395.1	seq83
ICBG2049	seq84
GCA_006981975.1	seq85
GCA_001481775.2	seq86
GCA_003025155.1	seq87
NQYR00000000	seq88
ICBG721	seq89
ICBG1096	seq90
