cazy_base,MDS1,MDS2,interest,cazy_description
AA1,0.02403046234293392,-0.007108722747535594,FALSE,Laccase / p-diphenol:oxygen oxidoreductase / ferroxidase (EC 1.10.3.2); ; ferroxidase (EC 1.10.3.-); Laccase-like multicopper oxidase (EC 1.10.3.-)
AA1_2,0.02403046234293392,-0.007108722747535594,FALSE,NA
AA1_3,0.02403046234293392,-0.007108722747535594,FALSE,NA
AA11,0.03815384744178515,-0.036092068770897705,FALSE,AA11 proteins are copper-dependent lytic polysaccharide monooxygenases (LPMOs); cleavage of chitin chains with oxidation of C-1 has been demonstrated for a AA11 LPMO from Aspergillus oryzae;
AA12,-0.7101656478673436,-0.39074622526907815,FALSE,"The pyrroloquinoline quinone-dependent oxidoreductase activity was demonstrated for the CC1G_09525 protein of Coprinopsis cinerea, (EC 1.-.-.-)"
AA13,-0.4896271035732369,-1.344469935092311,FALSE,AA13 proteins are copper-dependent lytic polysaccharide monooxygenases (LPMOs); cleavage of starch with oxidation of C-1 at the site of cleavage has been demonstrated for the LPMO encoded by gene NCU08746 from Neurospora crassa;
AA2,0.03519888688729675,0.014859397218827255,FALSE,manganese peroxidase (EC 1.11.1.13); versatile peroxidase (EC 1.11.1.16); lignin peroxidase (EC 1.11.1.14); peroxidase (EC 1.11.1.-)
AA3,-0.1366504274686553,-0.0419798279552973,TRUE,cellobiose dehydrogenase (EC 1.1.99.18); glucose 1-oxidase (EC 1.1.3.4); aryl alcohol oxidase (EC 1.1.3.7); alcohol oxidase (EC 1.1.3.13); pyranose oxidase (EC 1.1.3.10); pyranose dehydrogenase (EC 1.1.99.29)
AA3_2,-0.1366504274686553,-0.0419798279552973,TRUE,NA
AA3_3,-0.1366504274686553,-0.0419798279552973,TRUE,NA
AA4,-0.16645608555167002,-0.0674599469761776,FALSE,vanillyl-alcohol oxidase (EC 1.1.3.38)
AA5,-0.11383308478856394,0.014234070679277077,FALSE,Oxidase with oxygen as acceptor (EC 1.1.3.-); galactose oxidase (EC 1.1.3.9); glyoxal oxidase (EC 1.2.3.15); alcohol oxidase (EC 1.1.3.13)
AA5_1,-0.11383308478856394,0.014234070679277077,FALSE,NA
AA6,0.14148212507407096,-0.0038285543541806285,FALSE,"1,4-benzoquinone reductase (EC. 1.6.5.6)"
AA7,-0.11318519401811984,-0.017872309588373214,TRUE,glucooligosaccharide oxidase (EC 1.1.3.-); chitooligosaccharide oxidase (EC 1.1.3.-)
AA8,-0.03881929961378571,-0.009182489163919144,TRUE,Iron reductase domain
AA9,-0.19577346806288828,0.036556535257220336,FALSE,"AA9 (formerly GH61) proteins are copper-dependent lytic polysaccharide monooxygenases (LPMOs); cleavage of cellulose chains with oxidation of various carbons (C-1, C-4 and C-6) has been reported several times in the literature;"
CBM1,-0.18135660093641662,0.08682442759474919,TRUE,"Modules of approx. 40 residues found almost exclusively in fungi. The cellulose-binding function has been demonstrated in many cases, and appears to be mediated by three aromatic residues separated by about 10.4 angstrom and which form a flat surface. The only non-fungal occurence of CBM1 is in an algal non-hydrolytic polysaccharide-binding protein which is composed of four repeated CBM1 modules. Binding to chitin has been demonstrated in one case."
CBM13,-0.6796061825149597,0.22467247655379907,FALSE,"Modules of approx. 150 residues which always appear as a threefold internal repeat. The only apparent exception to this, xylanase II of Actinomadura sp. FC7 (GenBank U08894), is in fact not completely sequenced. These modules were first identified in several plant lectins such as ricin or agglutinin of Ricinus communis which bind galactose residues. The three-dimensional structure of a plant lectin has been determined and displays a pseudo-threefold symmetry in accord with the observed sequence threefold repeat. These modules have since been found in a number of other proteins of various functions including glycoside hydrolases and glycosyltransferases. While in the plant lectins this module binds mannose, binding to xylan has been demonstrated in the Streptomyces lividans xylanase A and arabinofuranosidase B. Binding to GalNAc has been shown for the corresponding module of GalNAc transferase 4. For the other proteins, the binding specificity of these modules has not been established. The pseudo three-fold symmetry of the CBM13 module has now been confirmed in the 3-D structure of the intact, two-domain, xylanase of Streptomyces olivaceoviridis."
CBM14,0.39648017584394446,0.08194393275163368,FALSE,"Modules of approx. 70 residues. The chitin-binding function has been demonstrated in several cases. These modules are found attached to a number of chitinase catalytic domains, but also in non-catalytic proteins either in isolation or as multiple repeats; chitin binding (EC IIa.chitin)"
CBM16,0.3578580973965107,-0.16450752176992045,FALSE,Carbohydrate-binding module 16. Binding to cellulose and glucomannan demonstrated [B. Bae et al (2008) J Biol Chem. 283:12415-25 (PMID: 18025086)]
CBM18,-0.032070613234562194,-0.09069582269034193,TRUE,"Modules of approx. 40 residues. The chitin-binding function has been demonstrated in many cases. These modules are found attached to a number of chitinase catalytic domains, but also in non-catalytic proteins either in isolation or as multiple repeats."
CBM2,0.04121336590368916,-0.5722054931553248,FALSE,Modules of approx. 100 residues and which are found in a large number of bacterial enzymes. The cellulose-binding function has been demonstrated in many cases. Several of these modules have been shown to also bind chitin or xylan.
CBM20,-0.08628509147364824,-0.018447667643189485,FALSE,The granular starch-binding function has been demonstrated in several cases. Interact strongly with cyclodextrins. Often designated as starch-binding domains (SBD).
CBM21,0.13338541690953068,-0.005154667936565141,FALSE,Modules of approx. 100 residues. The granular starch-binding function has been demonstrated in one case. Sometimes designated as starch-binding domains (SBD).
CBM22,-0.8815720153113471,0.27236524197302653,FALSE,"A xylan binding function has been demonstrated in several cases and affinity with mixed beta-1,3/beta-1,4-glucans in one. In several cases a thermostabilizing effect has also been seen."
CBM24,-0.1635380486541986,-0.06290754339295301,FALSE,"alpha-1,3-glucan (mutan)-binding function demonstrated in two cases (PMID:10636904)"
CBM32,-0.5674563492779289,-0.3274302434806769,FALSE,"Binding to galactose and lactose has been demonstrated for the module of Micromonospora viridifaciens sialidase (PMID: 16239725). Binding to polygalacturonic acid has been shown for a Yersinia member (PMID: 17292916). Binding to LacNAc (beta-D-galactosyl-1,4-beta-D-N-acetylglucosamine) has been shown for an N-acetylglucosaminidase from Clostridium perfingens (PMID: 16990278)."
CBM35,-0.9123283245021301,0.5139394199240435,FALSE,"Modules of approx. 130 residues. A module that is conserved in three Cellvibrio xylan-degrading enzymes binds to xylan and the interaction is calcium dependent, while a module from a Cellvibrio mannanase binds to decorated soluble mannans and mannooligosaccharides. A module in a"
CBM38,-0.9352529255368729,0.7175756625176449,FALSE,The inulin-binding function has been demonstrated in the case of the cycloinulo-oligosaccharide fructanotransferase from Paenibacillus macerans (Bacillus macerans) by Lee et al. (2004) FEMS Microbiol Lett 234:105-10. (PMID:15109727).
CBM42,-0.6866639880955807,0.15110318740263076,FALSE,Modules of approx. 160 residues found mostly at the C-terminus of GH54 catalytic domains. Binding to arabinofuranose (present in arabinoxylan) has been demonstrated.
CBM43,-0.023193809767853995,0.020389319434541076,FALSE,"Modules of approx. 90-100 residues found at the C-terminus of GH17 or GH72 enzymatic modules and also sometimes isolated. CBM43 modules sometimes carry a C-terminal membrane anchor. The beta-1,3-glucan binding function has been demonstrated with the olive pollen protein Ole e 10."
CBM48,0.055943729421222776,-0.011969273611297912,FALSE,"Modules of approx. 100 residues with glycogen-binding function, appended to GH13 modules. Also found in the beta subunit (glycogen-binding) of AMP-activated protein kinases (AMPK)"
CBM50,-0.09265528873660991,-0.10457525188839936,TRUE,"Modules of approx. 50 residues found attached to various enzymes from families GH18, GH19, GH23, GH24, GH25 and GH73, i.e. enzymes cleaving either chitin or peptidoglycan. Binding to chitopentaose demonstrated in the case of Pteris ryukyuensis chitinase A [Ohnuma T et al. (2008) J. Biol. Chem. 283:5178-87 (PMID: 18083709)]. CBM50 modules are also found in a multitude of other enzymes targeting the petidoglycan such as peptidases and amidases. These enzymes are not reported in the list below."
CBM56,0.43998800372978286,0.024538620551620233,FALSE,"beta-1,3-glucan binding function demonstrated by Yamamoto et al. (1998) FEBS Letters 433:41-43 [PMID: 9738929]"
CBM6,-0.9191646846839033,0.5950941932081854,FALSE,"Modules of approx. 120 residues. The cellulose-binding function has been demonstrated in one case on amorphous cellulose and beta-1,4-xylan. Some of these modules also bind beta-1,3-glucan, beta-1,3-1,4-glucan, and beta-1,4-glucan."
CBM66,-0.02891382130653504,0.009512764677716511,FALSE,"The CBM66 module, derived from the Bacillus subtilis exo-acting beta-fructosidase SacC, targets the terminal fructoside residue of fructans."
CBM67,-0.9191646846839033,0.5950941932081854,FALSE,Fujimoto et al. [PMID : 23486481] disclosed the L-rhamnose binding activity and 3-D structure of the CBM67 of Streptomyces avermitilis alpha-L-rhamnosidase (SaRha78A);
CBM79,0.42981953774713116,0.008901036252299299,FALSE,Modules of approx. 130 residues found so far only in ruminococcal proteins. Binding to various beta-glucans was shown for the R. flavefaciens GH9 enzyme.
CE0,-0.8374962992143383,0.017615816711561094,FALSE,See below.
CE1,-0.2815818098072503,0.010717571578891154,FALSE,acetyl xylan esterase (EC 3.1.1.72); cinnamoyl esterase (EC 3.1.1.-); feruloyl esterase (EC 3.1.1.73); carboxylesterase (EC 3.1.1.1); S-formylglutathione hydrolase (EC 3.1.2.12); diacylglycerol O-acyltransferase (EC 2.3.1.20); trehalose 6-O-mycolyltransferase (EC 2.3.1.122); acetylesterase (EC 3.1.1.6)
CE10,-0.07061909281145412,-0.023926398824254475,TRUE,arylesterase (EC 3.1.1.-);  carboxyl esterase (EC 3.1.1.3); acetylcholinesterase (EC 3.1.1.7); cholinesterase (EC 3.1.1.8); sterol esterase (EC 3.1.1.13); brefeldin A esterase (EC 3.1.1.-).
CE11,0.36860695881611716,-0.10564579373255958,FALSE,UDP-3-0-acyl N-acetylglucosamine deacetylase (EC 3.5.1.-).
CE15,-0.26129116688151466,0.04247850658323448,FALSE,4-O-methyl-glucuronoyl methylesterase (EC 3.1.1.-)
CE16,-0.5275356689055746,0.03989259121979101,FALSE,acetylesterase (EC 3.1.1.6) active on various carbohydrate acetyl esters
CE2,-0.7899533500793959,-0.16836714739318748,FALSE,acetyl xylan esterase (EC 3.1.1.72).
CE3,-0.5835907117000179,-0.01725191074498652,FALSE,acetyl xylan esterase (EC 3.1.1.72).
CE4,0.043383082371413154,-0.016804917074519258,FALSE,acetyl xylan esterase (EC 3.1.1.72);  chitin deacetylase (EC 3.5.1.41); chitooligosaccharide deacetylase (EC 3.5.1.-); peptidoglycan GlcNAc deacetylase (EC 3.5.1.-); peptidoglycan N-acetylmuramic acid deacetylase (EC 3.5.1.-).
CE5,-0.01657859483937596,-0.008559262612825679,FALSE,"acetyl xylan esterase (EC 3.1.1.72); cutinase (EC 3.1.1.74); 1,4-beta-xylosidase (EC 3.2.1.37)"
CE8,-0.9115089168486984,0.4448079785628435,FALSE,pectin methylesterase (EC 3.1.1.11).
CE9,0.10785477962029186,0.0048851732631985615,FALSE,N-acetylglucosamine 6-phosphate deacetylase (EC 3.5.1.25); N-acetylglucosamine 6-phosphate deacetylase (EC 3.5.1.80)
GH0,0.04319874948616691,-0.15287930415742434,FALSE,Glycoside hydrolases not yet assigned to a family.
GH1,-0.062041174710414586,-0.04539856006855485,FALSE,"beta-glucosidase (EC 3.2.1.21); beta-galactosidase (EC 3.2.1.23); beta-mannosidase (EC 3.2.1.25); beta-glucuronidase (EC 3.2.1.31); beta-xylosidase (EC 3.2.1.37); beta-D-fucosidase (EC 3.2.1.38); phlorizin hydrolase (EC 3.2.1.62); exo-beta-1,4-glucanase (EC 3.2.1.74); 6-phospho-beta-galactosidase (EC 3.2.1.85); 6-phospho-beta-glucosidase (EC 3.2.1.86); strictosidine beta-glucosidase (EC 3.2.1.105); lactase (EC 3.2.1.108); amygdalin beta-glucosidase (EC 3.2.1.117); prunasin beta-glucosidase (EC 3.2.1.118); vicianin hydrolase (EC 3.2.1.119); raucaffricine beta-glucosidase (EC 3.2.1.125); thioglucosidase (EC 3.2.1.147); beta-primeverosidase (EC 3.2.1.149); isoflavonoid 7-O-beta-apiosyl-beta-glucosidase (EC 3.2.1.161); ABA-specific beta-glucosidase (EC 3.2.1.175); DIMBOA beta-glucosidase (EC 3.2.1.182); beta-glycosidase (EC 3.2.1.-); hydroxyisourate hydrolase (EC 3.-.-.-)"
GH10,-0.8727302541077346,0.23127783073186792,FALSE,"endo-1,4-beta-xylanase (EC 3.2.1.8); endo-1,3-beta-xylanase (EC 3.2.1.32); tomatinase (EC 3.2.1.-); xylan endotransglycosylase (EC 2.4.2.-)"
GH104,-0.7724683731398233,-0.17021799769904458,FALSE,peptidoglycan lytic transglycosylase (EC 3.2.1.-)
GH105,-0.5789314858601808,-0.453704167662543,FALSE,"unsaturated rhamnogalacturonyl hydrolase (EC 3.2.1.172); d-4,5-unsaturated beta-glucuronyl hydrolase (EC 3.2.1.-); d-4,5-unsaturated alpha-galacturonidase (EC 3.2.1.-)"
GH106,-0.8369364628429853,0.09036040360161957,FALSE,alpha-L-rhamnosidase (EC 3.2.1.40); rhamnogalacturonan alpha-L-rhamnohydrolase (EC 3.2.1.174)
GH108,-0.8999020347386586,0.5567185896867062,FALSE,N-acetylmuramidase (EC 3.2.1.17)
GH11,-0.2857984839912869,0.09868079054259095,FALSE,"endo-beta-1,4-xylanase (EC 3.2.1.8); endo-beta-1,3-xylanase (EC 3.2.1.32)"
GH114,-0.7647574228754818,-0.18368471110835566,FALSE,"endo-alpha-1,4-polygalactosaminidase (EC 3.2.1.109)"
GH115,0.13338541690953068,-0.005154667936565141,FALSE,"xylan alpha-1,2-glucuronidase (3.2.1.131); alpha-(4-O-methyl)-glucuronidase (3.2.1.-)"
GH12,0.04863756498916335,0.012727473873853255,FALSE,"endoglucanase (EC 3.2.1.4); xyloglucan hydrolase (EC 3.2.1.151); beta-1,3-1,4-glucanase (EC 3.2.1.73); xyloglucan endotransglycosylase (EC 2.4.1.207)"
GH125,0.0858460776995131,-0.03594208730710736,FALSE,"exo-alpha-1,6-mannosidase (EC 3.2.1.-)"
GH127,-0.9232683642988034,0.4449599425757544,FALSE,beta-L-arabinofuranosidase (EC 3.2.1.185); 3-C-carboxy-5-deoxy-L-xylose (aceric acid) hydrolase (EC 3.2.1.-)
GH128,-4.491618583225207e-5,-0.025600906636461085,FALSE,"beta-1,3-glucanase (EC 3.2.1.39)"
GH13,0.006864904056568582,-0.026537647902883328,FALSE,"alpha-amylase (EC 3.2.1.1); pullulanase (EC 3.2.1.41); cyclomaltodextrin glucanotransferase (EC 2.4.1.19); cyclomaltodextrinase (EC 3.2.1.54); trehalose-6-phosphate hydrolase (EC 3.2.1.93); oligo-alpha-glucosidase (EC 3.2.1.10); maltogenic amylase (EC 3.2.1.133); neopullulanase (EC 3.2.1.135); alpha-glucosidase (EC 3.2.1.20); maltotetraose-forming alpha-amylase (EC 3.2.1.60); isoamylase (EC 3.2.1.68); glucodextranase (EC 3.2.1.70); maltohexaose-forming alpha-amylase (EC 3.2.1.98); maltotriose-forming alpha-amylase (EC 3.2.1.116); branching enzyme (EC 2.4.1.18); trehalose synthase (EC 5.4.99.16); 4-alpha-glucanotransferase (EC 2.4.1.25); maltopentaose-forming alpha-amylase (EC 3.2.1.-) ; amylosucrase (EC 2.4.1.4) ; sucrose phosphorylase (EC 2.4.1.7); malto-oligosyltrehalose trehalohydrolase (EC 3.2.1.141); isomaltulose synthase (EC 5.4.99.11); malto-oligosyltrehalose synthase (EC 5.4.99.15); amylo-alpha-1,6-glucosidase (EC 3.2.1.33); alpha-1,4-glucan: phosphate alpha-maltosyltransferase (EC 2.4.99.16); 6'-P-sucrose phosphorylase (EC 2.4.1.-); amino acid transporter"
GH13_1,-0.7667726117141124,-0.17545743619655232,TRUE,NA
