clade_groups,Agriculture,orthology_meta,genome_count
Escovopsis,Coral,OG0000001,6
Escovopsis,Coral,OG0000003,6
Escovopsis,Coral,OG0000004,6
Escovopsis,Coral,OG0000006,6
Escovopsis,Coral,OG0000007,6
Escovopsis,Coral,OG0000009,6
Escovopsis,Coral,OG0000010,6
Escovopsis,Coral,OG0000011,6
Escovopsis,Coral,OG0000012,6
Escovopsis,Coral,OG0000013,6
Escovopsis,Coral,OG0000016,6
Escovopsis,Coral,OG0000017,6
Escovopsis,Coral,OG0000021,6
Escovopsis,Coral,OG0000023,6
Escovopsis,Coral,OG0000025,6
Escovopsis,Coral,OG0000028,6
Escovopsis,Coral,OG0000029,6
Escovopsis,Coral,OG0000032,6
Escovopsis,Coral,OG0000033,6
Escovopsis,Coral,OG0000035,6
Escovopsis,Coral,OG0000036,6
Escovopsis,Coral,OG0000037,6
Escovopsis,Coral,OG0000038,6
Escovopsis,Coral,OG0000039,6
Escovopsis,Coral,OG0000040,6
Escovopsis,Coral,OG0000041,6
Escovopsis,Coral,OG0000042,6
Escovopsis,Coral,OG0000044,6
Escovopsis,Coral,OG0000045,6
Escovopsis,Coral,OG0000046,6
Escovopsis,Coral,OG0000047,6
Escovopsis,Coral,OG0000048,5
Escovopsis,Coral,OG0000049,5
Escovopsis,Coral,OG0000050,6
Escovopsis,Coral,OG0000051,6
Escovopsis,Coral,OG0000052,5
Escovopsis,Coral,OG0000053,6
Escovopsis,Coral,OG0000054,6
Escovopsis,Coral,OG0000056,6
Escovopsis,Coral,OG0000057,6
Escovopsis,Coral,OG0000058,6
Escovopsis,Coral,OG0000059,6
Escovopsis,Coral,OG0000061,6
Escovopsis,Coral,OG0000062,6
Escovopsis,Coral,OG0000063,6
Escovopsis,Coral,OG0000064,6
Escovopsis,Coral,OG0000066,6
Escovopsis,Coral,OG0000067,6
Escovopsis,Coral,OG0000068,5
Escovopsis,Coral,OG0000071,6
Escovopsis,Coral,OG0000072,6
Escovopsis,Coral,OG0000074,6
Escovopsis,Coral,OG0000075,6
Escovopsis,Coral,OG0000076,6
Escovopsis,Coral,OG0000077,6
Escovopsis,Coral,OG0000079,6
Escovopsis,Coral,OG0000081,6
Escovopsis,Coral,OG0000082,6
Escovopsis,Coral,OG0000085,6
Escovopsis,Coral,OG0000086,6
Escovopsis,Coral,OG0000087,6
Escovopsis,Coral,OG0000088,6
Escovopsis,Coral,OG0000091,6
Escovopsis,Coral,OG0000092,6
Escovopsis,Coral,OG0000093,5
Escovopsis,Coral,OG0000095,6
Escovopsis,Coral,OG0000097,6
Escovopsis,Coral,OG0000098,6
Escovopsis,Coral,OG0000099,6
Escovopsis,Coral,OG0000100,6
Escovopsis,Coral,OG0000102,6
Escovopsis,Coral,OG0000104,6
Escovopsis,Coral,OG0000105,6
Escovopsis,Coral,OG0000106,6
Escovopsis,Coral,OG0000108,6
Escovopsis,Coral,OG0000109,6
Escovopsis,Coral,OG0000110,6
Escovopsis,Coral,OG0000111,6
Escovopsis,Coral,OG0000112,6
Escovopsis,Coral,OG0000113,6
