cluster_0.3,cluster_0.4,cluster_0.5,cluster_0.6,cluster_0.7,tool,annotation,Coral,Higher,Hypomyces_Cladobotryum,Leafcutter,Lower,Trichoderma
22,20,17,14,10,antismash,PKSI.component_91,0,0,9.333333333333334,0,0,0
22,20,17,14,10,antismash,PKSI.component_89,0,0,3.6666666666666665,0,0,0
22,20,17,14,10,antismash,PKSI.component_86,0,0,7.666666666666667,0,0,0
22,20,17,14,10,antismash,PKSI.component_81,0,0,3.6666666666666665,0,0,0
22,20,17,14,10,antismash,PKSI.component_75,0,0,4,0,0,0
22,20,17,14,10,antismash,PKSI.component_67,0,0,5,0,0,0
22,20,17,14,10,antismash,PKS-NRP_Hybrids.component_32,0,0,9.333333333333334,0,0,0
22,20,17,14,10,antismash,PKS-NRP_Hybrids.component_25,0,0,7.666666666666667,0,0,0
22,20,17,14,10,antismash,NRPS.component_72,0,0,9.333333333333334,0,0,0
22,20,17,14,10,antismash,NRPS.component_35,0,0,9,0,0,0
22,20,17,14,10,antismash,NRPS.component_67,0,0,7.666666666666667,0,0,0
36,31,17,14,10,antismash,PKSI.component_83,0,0,3.3333333333333335,0,0,0
36,31,17,14,10,antismash,PKS-NRP_Hybrids.component_21,0,0,3.3333333333333335,0,0,0
36,31,17,14,10,antismash,NRPS.component_64,0,0,3.3333333333333335,0,0,0
36,31,17,14,10,antismash,NRPS.component_66,0,0,3.3333333333333335,0,0,0
29,25,21,9,7,antismash,NRPS.component_49,2.1666666666666665,0,0,0,0,0
12,12,11,9,7,antismash,NRPS.component_2,2.5,0,0.6666666666666666,0,0,0
27,12,11,9,7,antismash,Terpene.component_17,2.1666666666666665,0,0,0,0,0
27,12,11,9,7,antismash,PKSI.component_90,2.6666666666666665,0,0,0,0,0
27,12,11,9,7,antismash,PKSI.component_72,2.5,0,0,0,0,0
27,12,11,9,7,antismash,PKSI.component_68,1.6666666666666667,0,0,0,0,0
27,12,11,9,7,antismash,PKSI.component_52,2.1666666666666665,0,0,0,0,0
27,12,11,9,7,antismash,PKSI.component_51,1.6666666666666667,0,0,0,0,0
27,12,11,9,7,antismash,PKSI.component_4,2.5,0,0,0,0,0
27,12,11,9,7,antismash,PKS-NRP_Hybrids.component_29,1.6666666666666667,0,0,0,0,0
