Orthogroup,group,group_n,NMDS1,NMDS2,NMDS3,NMDS4,BGC,Resistance,CAZyme,Lipase,Peptidase,Signaling,Virulence
OG0000000,"AllOutgroup,Higher,Leafcutter,Lower",1,-0.14627937040071767,-0.023315235536712466,-0.40550981879627207,-0.26594568879304387,1,1,0,1,1,1,0
OG0000005,"AllOutgroup,Higher,Leafcutter,Lower",1,-0.15181009122433756,0.11013378917875317,-0.42415545111225156,-0.20025703006839446,1,0,0,1,1,1,0
OG0000007,"AllOutgroup,Coral,Lower",2,-0.15181009122433647,0.11013378917875633,-0.4241554511122497,-0.20025703006839768,1,0,0,1,1,1,0
OG0000008,"AllOutgroup,Lower",3,-0.011651101801121486,-0.03402426293127481,0.4421949197347471,0.014461429802210171,1,1,0,0,0,1,1
OG0000014,"AllOutgroup,Higher,Leafcutter,Lower",1,-0.015071945468261098,0.5549348375064872,-0.00284556540065848,0.03687565065697283,1,0,0,0,0,1,0
OG0000015,"AllOutgroup,Leafcutter,Lower",4,-0.14646189840037444,0.09731798094052131,0.48858876474306645,0.0960303404534511,1,0,1,0,0,1,1
OG0000018,"AllOutgroup,Higher,Leafcutter,Lower",1,-0.22241064784149184,-0.21106388864085027,0.10517560428829416,0.20426991269705921,1,0,1,1,0,1,1
OG0000022,"AllOutgroup,Lower",3,-0.14344653428515017,0.11617839110941262,-0.40653496928781874,0.1650101119627336,1,0,0,1,0,1,0
OG0000023,"AllOutgroup,Coral,Higher,Leafcutter",5,0.4383328736472464,-0.45784786363926805,0.4072843657446936,0.1253518202853191,1,1,0,0,0,0,1
OG0000024,"AllOutgroup,Higher,Leafcutter,Lower",1,0.4383328736472477,-0.4578478636392686,0.40728436574469223,0.12535182028531772,1,1,0,0,0,0,1
OG0000026,"AllOutgroup,Higher,Leafcutter,Lower",1,0.8271333606007483,0.27713754029662707,-0.06684752334794346,0.03561678272203422,1,0,0,0,0,0,0
OG0000027,"AllOutgroup,Higher,Leafcutter,Lower",1,-0.015073022319750266,0.5549351748457816,-0.0028455521224974942,0.03687568108428406,1,0,0,0,0,1,0
OG0000034,"AllOutgroup,Higher,Leafcutter,Lower",1,0.8271341901816962,0.27713675057379367,-0.06684491282146557,0.03562764960875302,1,0,0,0,0,0,0
OG0000035,"AllOutgroup,Coral,Higher,Leafcutter",5,-0.015068573652864979,0.5549337811478757,-0.0028456067596464856,0.03687555555587269,1,0,0,0,0,1,0
OG0000037,"AllOutgroup,Coral,Lower",2,-0.015073083463419658,0.5549351939995207,-0.002845551367538665,0.03687568281267566,1,0,0,0,0,1,0
OG0000044,"AllOutgroup,Coral,Higher,Lower",6,0.19946319929574413,-0.5534753774993623,-0.07954485232054413,-0.11623220691188563,1,0,0,1,0,0,1
OG0000052,"AllOutgroup,Coral,Higher,Leafcutter",5,0.30183232778215696,-0.24600634370980826,-0.55826245769087,0.12201456425923873,1,0,0,1,0,0,0
OG0000060,"AllOutgroup,Higher,Leafcutter,Lower",1,0.8271542229606982,0.2771189021392123,-0.06678029885450641,0.03589003624977182,1,0,0,0,0,0,0
OG0000065,"AllOutgroup,Higher,Leafcutter,Lower",1,-0.1488766403096504,-0.8253695772015861,0.868847406556997,-0.30630565385506775,0,0,0,0,0,0,1
OG0000066,"AllOutgroup,Coral,Higher,Leafcutter",5,-0.12787108065751024,-0.9471685795707464,0.030729401597944277,0.1719835901996705,0,1,0,1,0,0,1
OG0000069,"AllOutgroup,Higher,Leafcutter",7,-0.1434465342851513,0.11617839110941237,-0.4065349692878194,0.16501011196273385,1,0,0,1,0,1,0
OG0000073,"AllOutgroup,Higher,Leafcutter,Lower",1,0.8271349825236227,0.27713599598505867,-0.06684241914379252,0.03563803131510177,1,0,0,0,0,0,0
OG0000077,"AllOutgroup,Coral,Higher,Leafcutter",5,0.21758489199152264,-0.2002714603818361,-0.5583076723127213,-0.2955198720517774,1,0,0,1,1,0,0
OG0000083,"AllOutgroup,Higher,Leafcutter,Lower",1,-0.07157731428950055,0.12627072426725203,0.4211136933396994,-0.15458779402641698,1,0,0,0,0,1,1
OG0000084,"AllOutgroup,Higher,Leafcutter",7,-0.011651101801130643,-0.034024262931276375,0.4421949197347496,0.014461429802214756,1,1,0,0,0,1,1
OG0000089,"AllOutgroup,Higher,Leafcutter",7,-0.07157731428949944,0.12627072426725194,0.42111369333969906,-0.1545877940264168,1,0,0,0,0,1,1
OG0000090,"AllOutgroup,Higher,Leafcutter,Lower",1,0.09439177573763066,-0.24298239758335538,-0.4550725638770727,-0.31528712943483156,1,0,1,1,1,0,0
OG0000094,"AllOutgroup,Higher,Leafcutter,Lower",1,-0.12270029476104664,0.04296383738967803,0.4122047855775411,-0.37691685331821323,1,1,1,0,1,1,1
OG0000096,"AllOutgroup,Higher,Leafcutter,Lower",1,0.21758489199152267,-0.20027146038183594,-0.5583076723127213,-0.2955198720517773,1,0,0,1,1,0,0
OG0000105,"AllOutgroup,Coral,Higher,Leafcutter",5,0.046665095076330584,0.31566201375224096,-0.045056700487492794,0.44286089469976486,1,1,0,0,0,1,0
OG0000107,"AllOutgroup,Leafcutter,Lower",4,-0.22241064784149187,-0.21106388864085027,0.10517560428829416,0.20426991269705924,1,0,1,1,0,1,1
OG0000115,"AllOutgroup,Higher,Leafcutter,Lower",1,0.8271639196473053,0.2771111901733829,-0.06674785697161931,0.03601721575676,1,0,0,0,0,0,0
OG0000117,"AllOutgroup,Coral,Higher,Leafcutter",5,-0.9031996251468526,0.6315791034068972,0.052871765628750865,0.019275189708495757,0,0,0,0,0,1,0
OG0000118,"AllOutgroup,Higher,Leafcutter",7,-0.19152049155955364,-0.19818445041575367,-0.07354817271443942,-0.3048457169132134,1,0,0,1,1,1,1
OG0000123,"AllOutgroup,Higher,Leafcutter,Lower",1,0.8271507171856859,0.277121707681331,-0.0667919801561233,0.035844067716763545,1,0,0,0,0,0,0
OG0000125,"AllOutgroup,Higher,Leafcutter,Lower",1,-0.14874771468110665,-0.825367058734103,0.8683938181613435,-0.30832967503558634,0,0,0,0,0,0,1
OG0000132,"AllOutgroup,Lower",3,-0.015069114877685847,0.5549339507173211,-0.0028456001435863544,0.03687557080539886,1,0,0,0,0,1,0
OG0000133,"AllOutgroup,Coral,Higher,Leafcutter",5,0.8271673260687085,0.27710856807171014,-0.0667363430766611,0.03606197946186107,1,0,0,0,0,0,0
OG0000140,"AllOutgroup,Higher,Leafcutter",7,0.43833287364724693,-0.4578478636392682,0.4072843657446931,0.1253518202853186,1,1,0,0,0,0,1
OG0000144,"AllOutgroup,Higher,Leafcutter,Lower",1,-0.015073513793378252,0.554935328802586,-0.0028455460510045058,0.036875694979284945,1,0,0,0,0,1,0
OG0000152,"AllOutgroup,Higher,Leafcutter,Lower",1,0.19946319929574424,-0.553475377499362,-0.07954485232054406,-0.11623220691188561,1,0,0,1,0,0,1
OG0000164,"AllOutgroup,Higher,Leafcutter,Lower",1,-0.14344653428515133,0.11617839110941235,-0.4065349692878194,0.16501011196273382,1,0,0,1,0,1,0
OG0000168,"AllOutgroup,Higher,Leafcutter,Lower",1,-0.583173729139671,-0.3504744786658302,0.4717637104118043,0.03134281020773292,0,1,0,0,0,1,1
OG0000170,"AllOutgroup,Leafcutter,Lower",4,0.4200474174980072,-0.2592717843830307,0.4582309942669089,-0.21350422540743097,1,0,0,0,0,0,1
OG0000172,"AllOutgroup,Lower",3,0.8271601896667379,0.2771141488756947,-0.06676035860522526,0.03596828621187798,1,0,0,0,0,0,0
OG0000173,"AllOutgroup,Higher,Lower",8,-0.0715773142895004,0.126270724267252,0.42111369333969945,-0.15458779402641692,1,0,0,0,0,1,1
OG0000174,"Higher,Leafcutter",9,-0.14344653428515053,0.11617839110941248,-0.40653496928781885,0.1650101119627337,1,0,0,1,0,1,0
OG0000193,"AllOutgroup,Coral,Higher,Lower",6,0.8271488743518483,0.27712318794836194,-0.06679810801923848,0.035819900555746985,1,0,0,0,0,0,0
OG0000197,"AllOutgroup,Leafcutter,Lower",4,-0.2927595500346774,-0.45725433266069726,-0.7262244254469139,-0.5912008735590714,0,0,0,1,1,0,0
OG0000206,"AllOutgroup,Coral,Leafcutter,Lower",10,-0.45451423171830696,-0.13512757850410764,0.6998871779603265,0.9443638169816224,0,0,1,0,0,0,0
OG0000210,"AllOutgroup,Higher,Leafcutter,Lower",1,-0.08713376628115672,-0.844790685711225,-0.4691325904882649,0.5425733658653338,0,1,0,1,0,0,0
OG0000219,"AllOutgroup,Lower",3,-0.3659925856766329,-0.7691640666671512,-0.8851278999743121,0.2066908218057095,0,0,0,1,0,0,0
OG0000220,"AllOutgroup,Higher,Leafcutter,Lower",1,0.0466650950763305,0.315662013752241,-0.045056700487492767,0.44286089469976486,1,1,0,0,0,1,0
OG0000224,"AllOutgroup,Coral,Leafcutter,Lower",10,-0.18960574802901456,-0.2226686515406173,-0.04970604224123347,0.00931321600994827,1,0,0,1,0,1,1
OG0000225,"AllOutgroup,Higher,Leafcutter,Lower",1,0.8271769666631617,0.2771011652797017,-0.06670366360652734,0.03618880512876067,1,0,0,0,0,0,0
OG0000226,"AllOutgroup,Coral,Higher,Lower",6,0.4200474300739525,-0.2592717609974553,0.45823097068440694,-0.21350421654488683,1,0,0,0,0,0,1
OG0000227,"AllOutgroup,Higher,Lower",8,-0.08713350214128551,-0.8447909403156751,-0.46913266895082795,0.5425730316020756,0,1,0,1,0,0,0
OG0000232,"AllOutgroup,Coral,Lower",2,-0.6352773416178985,0.3804421836003262,-0.14073825788576055,-0.6187653912218948,0,0,0,0,1,1,0
OG0000233,"AllOutgroup,Higher,Leafcutter,Lower",1,-0.5449298445301444,-0.3404109757884817,-0.07109679057310296,-0.4046416517397622,0,0,0,1,1,1,1
OG0000243,"AllOutgroup,Lower",3,-0.14646189840037258,0.09731798094052112,0.48858876474306584,0.09603034045345099,1,0,1,0,0,1,1
OG0000252,"AllOutgroup,Coral,Leafcutter,Lower",10,-0.588332127977398,-0.5540375100189844,-0.15983827525722777,0.6301082321216218,0,0,1,1,0,0,0
OG0000256,"AllOutgroup,Coral,Higher,Leafcutter",5,0.8271616685633199,0.2771129742622674,-0.06675540561136936,0.035987685881002325,1,0,0,0,0,0,0
