Gene	MobiDBLite	interpro	GO	PATHWAY	Pfam	SUPERFAMILY	TIGRFAM	ProSitePatterns	Gene3D	ProSiteProfiles	Coils	CDD	SMART	PRINTS	Hamap	PIRSF	SFLD
EHK43397.1	mobidb-lite	IPR011576	GO:0004733;GO:0008615;GO:0010181;GO:0016638;GO:0055114	KEGG: 00750+1.4.3.5|MetaCyc: PWY-7204|MetaCyc: PWY-7282|Reactome: R-HSA-964975	PF01243;PF10590	SSF50475	TIGR00558	PS01064	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK43573.1	mobidb-lite	IPR018851		Reactome: R-HSA-141444|Reactome: R-HSA-2467813|Reactome: R-HSA-2500257|Reactome: R-HSA-4615885|Reactome: R-HSA-5663220|Reactome: R-HSA-68877	PF10444	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK40241.1	NA	IPR006913	GO:0016846	KEGG: 00680+4.4.1.22|MetaCyc: PWY-1801	PF04828	SSF51316	NA	NA	G3DSA:3.90.1590.10	NA	NA	NA	NA	NA	NA	NA	NA
EHK43651.1	mobidb-lite	IPR013083	GO:0046872	NA	PF00097;PF03105	SSF57850	NA	PS00518	G3DSA:3.30.40.10	PS50089;PS51382	Coil	cd16449	SM00184	NA	NA	NA	NA
EHK46771.1	NA	IPR006181	GO:0003884;GO:0055114;GO:0016491	Reactome: R-HSA-389661|Reactome: R-HSA-9033241	PF01266	SSF54373;SSF51971	NA	PS00677	G3DSA:3.30.9.10;G3DSA:3.40.50.720	NA	NA	NA	NA	NA	NA	NA	NA
EHK50616.1	mobidb-lite	IPR001752	GO:0003777;GO:0005524;GO:0007018;GO:0008017	Reactome: R-HSA-6811434|Reactome: R-HSA-983189	PF00225	SSF52540	NA	PS00411	G3DSA:3.40.850.10	PS50067	Coil	cd01365	SM00129	PR00380	NA	NA	NA
EHK45406.1	NA	IPR010997	GO:0000166;GO:0003824;GO:0044237;GO:0006352;GO:0030880	NA	PF03874	SSF47819	NA	NA	G3DSA:1.20.1250.40	NA	Coil	NA	SM00657	NA	NA	NA	NA
EHK47465.1	mobidb-lite	IPR021840	NA	NA	PF11915	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA
EHK50051.1	mobidb-lite	IPR041489	GO:0005515	Reactome: R-HSA-1169091|Reactome: R-HSA-1234176|Reactome: R-HSA-1236974|Reactome: R-HSA-1236978|Reactome: R-HSA-174084|Reactome: R-HSA-174113|Reactome: R-HSA-174154|Reactome: R-HSA-174178|Reactome: R-HSA-174184|Reactome: R-HSA-180534|Reactome: R-HSA-180585|Reactome: R-HSA-187577|Reactome: R-HSA-195253|Reactome: R-HSA-202424|Reactome: R-HSA-211733|Reactome: R-HSA-2467813|Reactome: R-HSA-2871837|Reactome: R-HSA-349425|Reactome: R-HSA-350562|Reactome: R-HSA-382556|Reactome: R-HSA-450408|Reactome: R-HSA-4608870|Reactome: R-HSA-4641257|Reactome: R-HSA-4641258|Reactome: R-HSA-5358346|Reactome: R-HSA-5362768|Reactome: R-HSA-5607761|Reactome: R-HSA-5607764|Reactome: R-HSA-5610780|Reactome: R-HSA-5610783|Reactome: R-HSA-5610785|Reactome: R-HSA-5632684|Reactome: R-HSA-5658442|Reactome: R-HSA-5668541|Reactome: R-HSA-5676590|Reactome: R-HSA-5678895|Reactome: R-HSA-5687128|Reactome: R-HSA-5689603|Reactome: R-HSA-5689880|Reactome: R-HSA-68827|Reactome: R-HSA-68949|Reactome: R-HSA-69017|Reactome: R-HSA-69481|Reactome: R-HSA-69601|Reactome: R-HSA-75815|Reactome: R-HSA-8852276|Reactome: R-HSA-8854050|Reactome: R-HSA-8939236|Reactome: R-HSA-8939902|Reactome: R-HSA-8941858|Reactome: R-HSA-8948751|Reactome: R-HSA-8951664|Reactome: R-HSA-9010553|Reactome: R-HSA-9020702|Reactome: R-HSA-9604323|Reactome: R-HSA-983168	PF17820;PF18265	SSF50156	NA	NA	G3DSA:2.30.42.10	NA	Coil	cd00136	NA	NA	NA	NA	NA
EHK43368.1	mobidb-lite	IPR004000	NA	NA	PF00022	SSF53067	NA	NA	G3DSA:3.90.640.10;G3DSA:3.30.420.40	NA	Coil	cd00012	SM00268	NA	NA	NA	NA
