Gene	MobiDBLite	PANTHER	Gene3D	interpro	Pfam	GO	SMART	SUPERFAMILY	CDD	ProSiteProfiles	Coils	PATHWAY	Phobius	PRINTS	TMHMM	PIRSF	Hamap	ProSitePatterns	SignalP_EUK	SignalP_GRAM_POSITIVE	SignalP_GRAM_NEGATIVE	TIGRFAM	ProDom	SFLD
augustus_masked-NIGC01000011.1-processed-gene-6.17-mRNA-1	mobidb-lite	PTHR10799;PTHR10799:SF845	G3DSA:3.40.50.300;G3DSA:3.40.50.10810	IPR001650	PF00271;PF00176	GO:0005524;GO:0005515	SM00490;SM00487	SSF52540;SSF46934	cd00079;cd00046	PS51192;PS51194	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGC01000007.1-augustus-gene-10.0-mRNA-1	mobidb-lite	PTHR21021;PTHR21021:SF16	NA	IPR007303	PF04176	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGC01000002.1-processed-gene-3.1-mRNA-1	mobidb-lite	PTHR43047;PTHR43047:SF5	G3DSA:1.10.510.10;G3DSA:1.10.287.130;G3DSA:3.30.565.10;G3DSA:3.40.50.2300;G3DSA:3.30.450.40	IPR000719	PF00072;PF13185;PF02518;PF13191;PF00512	GO:0004672;GO:0005524;GO:0006468;GO:0000160;GO:0000155;GO:0007165;GO:0005515;GO:0016310;GO:0016772	SM00448;SM00388;SM00387	SSF55874;SSF52172;SSF55781;SSF56112;SSF47384;SSF48371	cd00082;cd00156;cd00075	PS50011;PS50109;PS50110	Coil	Reactome: R-HSA-204174|Reactome: R-HSA-5362517	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	PR00344	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGC01000012.1-augustus-gene-1.2-mRNA-1	mobidb-lite	PTHR24064;PTHR24064:SF200	G3DSA:1.20.1250.20	IPR020846	PF00083	GO:0016021;GO:0022857;GO:0055085	NA	SSF103473	cd06174	PS50850	NA	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGC01000010.1-augustus-gene-16.0-mRNA-1	NA	PTHR44181	G3DSA:1.25.40.20;G3DSA:3.30.60.90	IPR036770	PF00569;PF12796	GO:0005515;GO:0008270	SM00248;SM00291	SSF57850;SSF48403	cd00204;cd02249	PS50088;PS50135;PS50297	NA	NA	NA	PR01415	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGC01000002.1-augustus-gene-3.24-mRNA-1	mobidb-lite	PTHR14222:SF2;PTHR14222	G3DSA:1.25.10.10	IPR007673	PF12922;PF12717	GO:0000278;GO:0005634;GO:0030261;GO:0007076	NA	SSF48371	NA	NA	Coil	Reactome: R-HSA-2514853	NA	NA	NA	PIRSF017127	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGC01000002.1-processed-gene-17.20-mRNA-1	NA	PTHR15458;PTHR15458:SF5	NA	IPR024960	PF04191	GO:0006656;GO:0008757	NA	NA	NA	PS51599	NA	KEGG: 00564+2.1.1.71|MetaCyc: PWY-6825|Reactome: R-HSA-1483191	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	TMhelix	PIRSF005444	MF_03216	NA	NA	NA	NA	NA	NA	NA
maker-NIGC01000003.1-augustus-gene-7.5-mRNA-1	mobidb-lite	PTHR34105	NA	IPR039623	PF08167	GO:0006364	NA	SSF48371	NA	NA	Coil	Reactome: R-HSA-6791226|Reactome: R-HSA-8849473	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGC01000011.1-processed-gene-16.20-mRNA-1	mobidb-lite	PTHR31382:SF4;PTHR31382	NA	IPR013928	PF08619;PF00999	GO:0006814;GO:0015385;GO:0016020;GO:0006812;GO:0015299;GO:0016021;GO:0055085;GO:0005886;GO:0030004	NA	NA	NA	NA	Coil	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGC01000003.1-augustus-gene-6.37-mRNA-1	mobidb-lite	PTHR44200	G3DSA:1.10.287.110;G3DSA:1.25.40.10	IPR011990	PF13432;PF00226;PF13414;PF14559;PF13181	GO:0005515	SM00271;SM00028	SSF48452;SSF46565	cd06257	PS50005;PS50293;PS50076	Coil	NA	NA	PR00625	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGC01000011.1-augustus-gene-5.18-mRNA-1	mobidb-lite	PTHR12174:SF23;PTHR12174	NA	IPR006639	PF04258	GO:0004190;GO:0016021	SM00730	NA	NA	NA	Coil	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGC01000004.1-processed-gene-7.39-mRNA-1	mobidb-lite	PTHR18034;PTHR18034:SF4	G3DSA:1.25.40.180	IPR016024	PF02847;PF02854	GO:0003723;GO:0005515	SM00543	SSF48371	NA	PS51366	Coil	NA	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGC01000006.1-augustus-gene-21.34-mRNA-1	mobidb-lite	PTHR24361;PTHR24361:SF651	G3DSA:1.10.510.10	IPR000719	PF00069	GO:0004672;GO:0005524;GO:0006468;GO:0004709;GO:0005737;GO:0051403	SM00220	SSF56112	cd06626	PS50011	Coil	NA	NA	NA	NA	PIRSF037579	NA	PS00108;PS00107	NA	NA	NA	NA	NA	NA
maker-NIGC01000004.1-augustus-gene-29.38-mRNA-1	NA	PTHR37992	NA	IPR013920	PF08611	NA	NA	NA	NA	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGC01000004.1-augustus-gene-24.3-mRNA-1	mobidb-lite	PTHR13142	NA	IPR039130	PF03941	GO:0000070;GO:1902412	NA	NA	NA	NA	Coil	Reactome: R-HSA-141444|Reactome: R-HSA-2467813|Reactome: R-HSA-2500257|Reactome: R-HSA-4615885|Reactome: R-HSA-5663220|Reactome: R-HSA-68877	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGC01000010.1-processed-gene-8.18-mRNA-1	NA	PTHR11048:SF37;PTHR11048	G3DSA:1.10.357.140;G3DSA:1.20.120.1780	IPR039653	PF01040	GO:0016021;GO:0016765	NA	NA	cd13959	NA	NA	Reactome: R-HSA-1268020|Reactome: R-HSA-2142789	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGC01000003.1-augustus-gene-7.4-mRNA-1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGC01000002.1-processed-gene-7.9-mRNA-1	mobidb-lite	PTHR22949	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGC01000005.1-augustus-gene-32.1-mRNA-1	mobidb-lite	PTHR10544	G3DSA:3.30.390.110	IPR029004	PF01778	GO:0003735;GO:0005622;GO:0005840;GO:0006412	NA	NA	NA	NA	NA	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72689|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGC01000002.1-augustus-gene-2.55-mRNA-1	NA	PTHR19375;PTHR19375:SF191	G3DSA:3.90.640.10;G3DSA:3.30.420.40	IPR013126	PF00012		NA	SSF53067	cd10229	NA	NA	Reactome: R-HSA-3371453	NA	PR00301	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGC01000002.1-processed-gene-28.36-mRNA-1	NA	PTHR13117	NA	IPR007594	PF04506	GO:0005319;GO:0006869;GO:0016021	NA	NA	NA	NA	NA	Reactome: R-HSA-446193|Reactome: R-HSA-4570571	TRANSMEMBRANE;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGC01000001.1-augustus-gene-27.28-mRNA-1	mobidb-lite	PTHR42048	NA	IPR018562	PF09441	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGC01000005.1-augustus-gene-43.29-mRNA-1	mobidb-lite	PTHR42909	G3DSA:2.130.10.10;G3DSA:3.40.1790.10	IPR022830	PF04227;PF00294	GO:0016798;GO:0005515	SM00320	SSF110581;SSF50978;SSF53613	cd01941	PS50294;PS50082	NA	KEGG: 00240+4.2.1.70|MetaCyc: PWY-6019	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGC01000007.1-processed-gene-15.0-mRNA-1	mobidb-lite	PTHR21535:SF33;PTHR21535	G3DSA:1.20.58.340;G3DSA:3.40.50.1820	IPR007751	PF05057;PF01544	GO:0016020;GO:0030001;GO:0046873;GO:0055085	NA	SSF53474;SSF144083	NA	NA	Coil	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGC01000011.1-augustus-gene-19.11-mRNA-1	mobidb-lite	PTHR13561:SF20;PTHR13561	G3DSA:3.40.50.10190	IPR001357	PF12738;PF00533	NA	SM00292	SSF52113	cd00027	PS50172	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGC01000004.1-augustus-gene-20.10-mRNA-1	NA	PTHR10414;PTHR10414:SF61	G3DSA:1.20.120.1760	IPR000462	PF01066	GO:0008654;GO:0016020;GO:0016780	NA	NA	NA	NA	NA	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	TMhelix	PIRSF015665	NA	PS00379	NA	NA	NA	NA	NA	NA
maker-NIGC01000004.1-augustus-gene-29.32-mRNA-1	mobidb-lite	PTHR13043	NA	IPR039481	PF15469	GO:0000145;GO:0006893	NA	NA	NA	NA	Coil	Reactome: R-HSA-1445148|Reactome: R-HSA-264876|Reactome: R-HSA-5620916	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NIGC01000004.1-processed-gene-29.1-mRNA-1	mobidb-lite	PTHR32085	NA	IPR029636	NA	GO:0006113;GO:0016021	NA	NA	NA	NA	NA	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NIGC01000001.1-augustus-gene-2.8-mRNA-1	NA	PTHR12147;PTHR12147:SF17	G3DSA:3.50.30.30;G3DSA:3.40.630.10	IPR007484	PF04389;PF02225	GO:0004177	NA	SSF52025;SSF53187	cd03876;cd02130	NA	NA	NA	SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION	NA	NA	NA	NA	NA	SignalP-noTM	SignalP-TM	SignalP-noTM	NA	NA	NA
augustus_masked-NIGC01000008.1-processed-gene-26.2-mRNA-1	mobidb-lite	PTHR23502:SF34;PTHR23502	G3DSA:1.20.1250.20	IPR011701	PF07690	GO:0016021;GO:0055085	NA	SSF103473	cd06174	PS50850	NA	NA	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA
