Gene	interpro	GO	Gene3D	MobiDBLite	Pfam	PANTHER	ProSitePatterns	SMART	SUPERFAMILY	ProSiteProfiles	PRINTS	CDD	PATHWAY	TIGRFAM	Hamap	PIRSF	Phobius	TMHMM	SignalP_GRAM_NEGATIVE	SFLD	SignalP_EUK	SignalP_GRAM_POSITIVE	Coils	ProDom
PTB81760.1	IPR015943	GO:0005515	G3DSA:2.130.10.10	mobidb-lite	PF00400;PF12265	PTHR22850;PTHR22850:SF6	PS00678	SM00320	SSF50978	PS50082;PS50294	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB78873.1	IPR002347	NA	G3DSA:3.40.50.720	NA	PF00106	PTHR43976	NA	NA	SSF51735	NA	PR00081;PR00080	cd05374	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB79388.1	IPR000904	GO:0005086;GO:0032012	G3DSA:1.10.1000.11;G3DSA:1.10.220.20	mobidb-lite	PF12783;PF16213;PF09324;PF01369	PTHR10663;PTHR10663:SF311	NA	SM00222	SSF48425;SSF48371	PS50190	NA	cd00171	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB72754.1	IPR000043	GO:0004013;GO:0019510;GO:0051287	G3DSA:3.40.50.1480;G3DSA:3.40.50.720	NA	PF00670;PF05221	PTHR23420;PTHR23420:SF0	PS00738;PS00739	SM00996;SM00997	SSF51735;SSF52283	NA	NA	cd00401	KEGG: 00270+3.3.1.1|MetaCyc: PWY-5041	TIGR00936	MF_00563	PIRSF001109	NA	NA	NA	NA	NA	NA	NA	NA
PTB71090.1	IPR020846	GO:0016021;GO:0055085	G3DSA:1.20.1250.20	NA	PF07690	PTHR43791;PTHR43791:SF22	NA	NA	SSF103473	PS50850	NA	cd06174	NA	NA	NA	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA
PTB80972.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA
PTB77347.1	IPR039261	GO:0016491;GO:0055114	G3DSA:3.40.50.80	mobidb-lite	PF08022;PF08030;PF01794	PTHR32361:SF9;PTHR32361	NA	NA	SSF52343	PS51384;PS51257	NA	cd06186	NA	NA	NA	NA	TRANSMEMBRANE;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION	TMhelix	SignalP-noTM	SFLDS00052;SFLDG01168	SignalP-noTM	SignalP-TM	NA	NA
PTB72231.1	IPR036770	GO:0005515	G3DSA:1.25.40.20	mobidb-lite	PF12796	PTHR43928	NA	SM00248	SSF48403	PS50088;PS50297	NA	cd00204	NA	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;TRANSMEMBRANE;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE	TMhelix	NA	NA	SignalP-noTM	SignalP-TM	NA	NA
PTB81197.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA
PTB76227.1	IPR016024	GO:0003677;GO:0006355	G3DSA:3.30.160.60;G3DSA:1.10.150.60	mobidb-lite	PF01388	PTHR13964:SF38;PTHR13964	NA	SM01014;SM00501	SSF48371;SSF46774	PS51011;PS51526	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA
