Gene	interpro	GO	SUPERFAMILY	PATHWAY	SMART	Pfam	Gene3D	MobiDBLite	Coils	CDD	ProSiteProfiles	PIRSF	ProSitePatterns	PRINTS	Hamap	TIGRFAM	SFLD
PTB76902.1	IPR036874	GO:0004089;GO:0008270	SSF53056	KEGG: 00910+4.2.1.1|MetaCyc: PWY-241|MetaCyc: PWY-5743|MetaCyc: PWY-5744|MetaCyc: PWY-5789|MetaCyc: PWY-6142|MetaCyc: PWY-7115|MetaCyc: PWY-7117	SM00947	PF00484	G3DSA:3.40.1050.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB76531.1	IPR015338	GO:0016021;GO:0016757	SSF53448	NA	NA	PF09258	G3DSA:3.90.550.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB74413.1	IPR038609	NA	NA	NA	NA	NA	G3DSA:3.40.50.12360	mobidb-lite	Coil	cd18629;cd06503	NA	NA	NA	NA	NA	NA	NA
PTB76575.1	IPR027483	GO:0016307;GO:0046488	SSF56104	NA	SM00330	PF01504	G3DSA:3.30.810.10;G3DSA:3.30.800.10	NA	NA	cd00139	PS51455	NA	NA	NA	NA	NA	NA
PTB77708.1	IPR003719	GO:0003824;GO:0009058	SSF54506	NA	NA	PF02567	G3DSA:3.10.310.10	NA	NA	NA	NA	PIRSF016184	NA	NA	NA	NA	NA
PTB78742.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB81388.1	IPR036770	GO:0005515	SSF48403	NA	SM00248	PF12796	G3DSA:1.25.40.20	NA	NA	NA	PS50297;PS50088	NA	NA	NA	NA	NA	NA
PTB78050.1	IPR032675	GO:0005515	SSF81383	NA	SM00256	PF00646	G3DSA:3.80.10.10	NA	NA	NA	PS50181	NA	NA	NA	NA	NA	NA
PTB79275.1	IPR036259	GO:0055085	SSF103473	NA	NA	PF07690	G3DSA:1.20.1250.20	mobidb-lite	Coil	cd17323	PS50850	NA	NA	NA	NA	NA	NA
PTB72419.1	IPR003265	GO:0006284;GO:0003824;GO:0006281	SSF48150	Reactome: R-HSA-110357	SM00478	PF00730	G3DSA:1.10.340.30;G3DSA:1.10.1670.10	NA	NA	cd00056	NA	NA	NA	NA	NA	NA	NA
PTB72259.1	IPR004104	GO:0016491;GO:0055114	SSF51735;SSF55347	NA	NA	PF02894;PF01408	G3DSA:3.30.360.10;G3DSA:3.40.50.720	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB81784.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB81691.1	IPR040608	GO:0000814;GO:0071985	SSF46785	Reactome: R-HSA-917729	NA	PF04157	G3DSA:1.10.10.10	NA	NA	NA	NA	PIRSF017215	NA	NA	NA	NA	NA
PTB74860.1	IPR013057	NA	NA	NA	NA	PF01490	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB71291.1	IPR013087	GO:0003676	NA	NA	SM00355	NA	G3DSA:3.30.160.60;G3DSA:3.40.50.1460	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
