1433_CANAL,SIMILARITY: Belongs to the 14-3-3 family.
A0EJM2_PHYIN,Unknown
A0JC82_9HYPO,Unknown
A0ST41_CERNC,Unknown
A0ST42_CERNC,Unknown
A0ST43_CERNC,Unknown
A0ST44_CERNC,Unknown
A0ST45_CERNC,Unknown
A0ST46_CERNC,Unknown
A0SXQ6_MAGGR,SIMILARITY: Belongs to the small GTPase superfamily. Rho family.
A0ZT55_GLOAC,FUNCTION: Tubulin is the major constituent of microtubules. It binds two moles of GTP, one at an exchangeable site on the beta chain and one at a non-exchangeable site on the alpha-chain (By similarity).
A0ZT90_9PEZI,SUBUNIT: Dimer of alpha and beta chains (By similarity).
A1CIY3_ASPCL,Unknown
A1CIY4_ASPCL,Unknown
A1EC58_EXODE,Unknown
A3F9N0_HANAN,Unknown
A3GEZ0_PICST,CAUTION: The sequence shown here is derived from an EMBL/GenBank/DDBJ whole genome shotgun (WGS) entry which is preliminary data.
A3GFA7_PICST,SIMILARITY: Belongs to the TCP-1 chaperonin family.
A3GFB2_PICST,CAUTION: The sequence shown here is derived from an EMBL/GenBank/DDBJ whole genome shotgun (WGS) entry which is preliminary data.
A3GGB7_PICST,FUNCTION: Adds a myristoyl group to the N-terminal glycine residue of certain cellular proteins (By similarity).
A3GH04_PICST,CAUTION: The sequence shown here is derived from an EMBL/GenBank/DDBJ whole genome shotgun (WGS) entry which is preliminary data.
A3GH63_PICST,CAUTION: The sequence shown here is derived from an EMBL/GenBank/DDBJ whole genome shotgun (WGS) entry which is preliminary data.
A3GHZ3_PICST,CAUTION: The sequence shown here is derived from an EMBL/GenBank/DDBJ whole genome shotgun (WGS) entry which is preliminary data.
A3KLI8_CLAPU,Unknown
A3LNY8_PICST,Unknown
A3LPD0_PICST,Unknown
A3LPY3_PICST,Unknown
A3LQ43_PICST,Unknown
A3LQ81_PICST,SIMILARITY: Belongs to the GHMP kinase family.
A3LQC4_PICST,COFACTOR: Iron (By similarity).
A3LQE7_PICST,Unknown
A3LQN3_PICST,Unknown
A3LQN6_PICST,SIMILARITY: Belongs to the eukaryotic-type primase small subunit family.
A3LR19_PICST,Unknown
A3LRF3_PICST,SIMILARITY: Belongs to the small GTPase superfamily. Rab family.
A3LRR2_PICST,Unknown
A3LRS6_PICST,Unknown
A3LS85_PICST,Unknown
A3LSA7_PICST,Unknown
A3LSU0_PICST,Unknown
A3LTI2_PICST,CATALYTIC ACTIVITY: ATP + D-ribose 5-phosphate = AMP + 5-phospho- alpha-D-ribose 1-diphosphate.
A3LTP2_PICST,FUNCTION: Tubulin is the major constituent of microtubules. It binds two moles of GTP, one at an exchangeable site on the beta chain and one at a non-exchangeable site on the alpha-chain (By similarity).
A3LTU4_PICST,Unknown
A3LUB4_PICST,SIMILARITY: Belongs to the thiolase family.
A3LUH0_PICST,Unknown
A3LUV9_PICST,Unknown
A3LUW1_PICST,SIMILARITY: Belongs to the class-I aminoacyl-tRNA synthetase family.
A3LV89_PICST,SIMILARITY: Belongs to the small GTPase superfamily. Rab family.
A3LVL9_PICST,CATALYTIC ACTIVITY: Thioredoxin + NADP(+) = thioredoxin disulfide + NADPH.
A3LVN8_PICST,Unknown
A3LVW8_PICST,Unknown
A3LXA6_PICST,SIMILARITY: Contains 1 PpiC domain.
A3LXA7_PICST,SIMILARITY: Contains 1 PpiC domain.
A3LXC4_PICST,Unknown
A3LXZ6_PICST,Unknown
A3LYF6_PICST,FUNCTION: Catalyzes the ferrous insertion into protoporphyrin IX (By similarity).
A3LZD3_PICST,Unknown
A3LZE4_PICST,Unknown
A3QX02_ASPFM,Unknown
A4F4L2_LEPMC,Unknown
A4QPV0_MAGO7,SIMILARITY: Belongs to the RNase T2 family.
A4QRN5_MAGO7,Unknown
A4QRX6_MAGO7,Unknown
A4QS87_MAGO7,Unknown
A4QSA8_MAGO7,Unknown
A4QT57_MAGO7,Unknown
A4QTS1_MAGO7,Unknown
A4QUY0_MAGO7,Unknown
A4QV79_MAGO7,Unknown
A4QVA7_MAGO7,Unknown
A4QVB5_MAGO7,Unknown
A4QVD7_MAGO7,Unknown
A4QVF8_MAGO7,COFACTOR: Zinc (By similarity).
A4QZV7_MAGO7,Unknown
A4R0V3_MAGO7,Unknown
A4R0W3_MAGO7,Unknown
A4R0Y1_MAGO7,Unknown
A4R178_MAGO7,Unknown
A4R1F0_MAGO7,Unknown
A4R2P0_MAGO7,SIMILARITY: Contains 1 SH3 domain.
A4R2T0_MAGO7,Unknown
A4R2T9_MAGO7,Unknown
A4R2V5_MAGO7,FUNCTION: Required for the retention of luminal endoplasmic reticulum proteins. Determines the specificity of the luminal ER protein retention system. Also required for normal vesicular traffic through the Golgi (By similarity).
A4R3H7_MAGO7,Unknown
A4R3I5_MAGO7,Unknown
A4R3S9_MAGO7,Unknown
A4R500_MAGO7,Unknown
A4R553_MAGO7,SIMILARITY: Contains 1 SH3 domain.
A4R566_MAGO7,Unknown
A4R575_MAGO7,SIMILARITY: Contains 1 CTLH domain.
A4R599_MAGO7,Unknown
A4R7D1_MAGO7,Unknown
A4R9C7_MAGO7,Unknown
A4RB72_MAGO7,CATALYTIC ACTIVITY: Deoxynucleoside triphosphate + DNA(n) = diphosphate + DNA(n+1).
A4RBC0_MAGO7,Unknown
A4RCH6_MAGO7,SIMILARITY: Contains 1 reverse transcriptase domain.
A4RDS9_MAGO7,Unknown
A4REC5_MAGO7,Unknown
A4RED5_MAGO7,Unknown
A4RF81_MAGO7,Unknown
A4RFC7_MAGO7,Unknown
A4RFD4_MAGO7,FUNCTION: Catalyzes the formation of S-adenosylmethionine from methionine and ATP (By similarity).
A4RFV9_MAGO7,Unknown
A4RG81_MAGO7,Unknown
A4RG88_MAGO7,Unknown
A4RGC8_MAGO7,SIMILARITY: Contains 1 reverse transcriptase domain.
A4RGG9_MAGO7,SIMILARITY: Belongs to the short-chain dehydrogenases/reductases (SDR) family.
A4RGM3_MAGO7,Unknown
A4RHH9_MAGO7,Unknown
A4RHW2_MAGO7,Unknown
A4RHZ6_MAGO7,Unknown
A4RI68_MAGO7,Unknown
A4RJR0_MAGO7,Unknown
A4RJV7_MAGO7,Unknown
A4RKI4_MAGO7,Unknown
A4RMS2_MAGO7,Unknown
A4RMU4_MAGO7,Unknown
A4RMW4_MAGO7,Unknown
A4RNY4_MAGO7,Unknown
A4RPA2_MAGO7,Unknown
A4RPA7_MAGO7,Unknown
A4UC81_MAGO7,Unknown
A4ULI4_MYCGR,COFACTOR: Heme group (By similarity).
A4ULI5_MYCGR,COFACTOR: Heme group (By similarity).
A4ULI6_MYCGR,COFACTOR: Heme group (By similarity).
A4ULI7_MYCGR,COFACTOR: Heme group (By similarity).
A4ULI8_MYCGR,COFACTOR: Heme group (By similarity).
A4ULI9_MYCGR,COFACTOR: Heme group (By similarity).
A4ULJ0_MYCGR,COFACTOR: Heme group (By similarity).
A4ULJ1_MYCGR,COFACTOR: Heme group (By similarity).
A4ULJ2_MYCGR,COFACTOR: Heme group (By similarity).
A5H456_MYCGR,Unknown
