KAF3077280.1	e72c7cf707f0ce7129fe004dd460f9f8	721	Pfam	PF00493	MCM P-loop domain	308	530	8.5E-105	T	04-07-2020	IPR001208	MCM domain	GO:0003677|GO:0005524|GO:0006270	
KAF3077280.1	e72c7cf707f0ce7129fe004dd460f9f8	721	Pfam	PF17855	MCM AAA-lid domain	548	637	5.9E-28	T	04-07-2020	IPR041562	MCM, AAA-lid domain		
KAF3077280.1	e72c7cf707f0ce7129fe004dd460f9f8	721	Pfam	PF17207	MCM OB domain	126	263	2.6E-35	T	04-07-2020	IPR033762	MCM OB domain		Reactome: R-HSA-176187|Reactome: R-HSA-176974|Reactome: R-HSA-68867|Reactome: R-HSA-68949|Reactome: R-HSA-68962
KAF3077280.1	e72c7cf707f0ce7129fe004dd460f9f8	721	Pfam	PF14551	MCM N-terminal domain	27	105	8.8E-16	T	04-07-2020	IPR027925	MCM N-terminal domain		Reactome: R-HSA-176187|Reactome: R-HSA-176974|Reactome: R-HSA-68867|Reactome: R-HSA-68949|Reactome: R-HSA-68962|Reactome: R-HSA-69052
KAF3068803.1	ea9b4caacb65c30c1835999090f8b5cc	393	Pfam	PF03839	Translocation protein Sec62	142	343	9.0E-72	T	04-07-2020	IPR004728	Translocation protein Sec62	GO:0015031|GO:0030176	
KAF3056951.1	29604b772ce45d9eefd130d6a621bf4e	296	Pfam	PF00828	Ribosomal proteins 50S-L15, 50S-L18e, 60S-L27A	67	190	2.8E-33	T	04-07-2020	IPR021131	Ribosomal protein L18e/L15P		
KAF3066916.1	28d3971647cb269bcb863b1588c1d18b	471	Pfam	PF02826	D-isomer specific 2-hydroxyacid dehydrogenase, NAD binding domain	168	351	2.6E-51	T	04-07-2020	IPR006140	D-isomer specific 2-hydroxyacid dehydrogenase, NAD-binding domain	GO:0051287|GO:0055114	
KAF3066916.1	28d3971647cb269bcb863b1588c1d18b	471	Pfam	PF00389	D-isomer specific 2-hydroxyacid dehydrogenase, catalytic domain	64	383	1.0E-35	T	04-07-2020	IPR006139	D-isomer specific 2-hydroxyacid dehydrogenase, catalytic domain	GO:0016616|GO:0051287|GO:0055114	
KAF3073311.1	d4994d2d7369efca7251f5dcf9802530	1132	Pfam	PF08407	Chitin synthase N-terminal	134	212	7.4E-27	T	04-07-2020	IPR013616	Chitin synthase N-terminal	GO:0004100	KEGG: 00520+2.4.1.16|MetaCyc: PWY-6981
KAF3073311.1	d4994d2d7369efca7251f5dcf9802530	1132	Pfam	PF01644	Chitin synthase	213	381	8.5E-69	T	04-07-2020	IPR004834	Fungal chitin synthase	GO:0004100|GO:0006031	KEGG: 00520+2.4.1.16|MetaCyc: PWY-6981
KAF3073311.1	d4994d2d7369efca7251f5dcf9802530	1132	Pfam	PF00179	Ubiquitin-conjugating enzyme	983	1115	1.2E-34	T	04-07-2020	IPR000608	Ubiquitin-conjugating enzyme E2		Reactome: R-HSA-983168
KAF3074657.1	6aa505cd31dc643a3b5bbbbcad6b12a6	549	Pfam	PF05920	Homeobox KN domain	27	66	1.1E-15	T	04-07-2020	IPR008422	Homeobox KN domain	GO:0003677|GO:0006355	
KAF3066796.1	78aacccc172f584ae7ffbd148ae3d416	340	Pfam	PF00107	Zinc-binding dehydrogenase	167	226	3.2E-8	T	04-07-2020	IPR013149	Alcohol dehydrogenase, C-terminal	GO:0055114	
