Gene ID	HMMER	Hotpep	DIAMOND	Signalp	#ofTools
KOS16605.1	AA7(86-516)	N	N	N	1
KOS16713.1	AA7(34-468)	N	N	N	1
KOS16716.1	GH3(188-400)	GH3	GH3	N	3
KOS16717.1	GH75(13-252)	GH75	N	N	2
KOS16721.1	GH47(137-638)	GH47	GH47	N	3
KOS16723.1	GT69(82-334)	GT69	GT69	N	3
KOS16724.1	GT39(63-307)	GT39	GT39	N	3
KOS16762.1	CE10(94-365)	N	N	N	1
KOS16787.1	GT90(690-988)	GT90	N	N	2
KOS16810.1	GH17(65-313)	GH17	GH17	N	3
KOS16891.1	GT69(132-394)	GT69	GT69	N	3
KOS16937.1	CE10(445-672)	N	N	N	1
KOS16941.1	GT57(17-483)	GT57	GT57	N	3
KOS16951.1	GH16(43-242)	GH16	GH16	N	3
KOS16984.1	GT4(449-618)	N	GT4	N	2
KOS17008.1	GH18(34-321)	GH18	CBM1+GH18	N	3
KOS17015.1	GH95(16-781)	GH95	GH95	N	3
KOS17064.1	GH3(7-212)	GH3	GH3	N	3
KOS17078.1	GH31(372-819)	GH31	GH31	N	3
KOS17082.1	GH18(7-198)	GH18	N	N	2
KOS17093.1	GT21(51-362)	GT21	GT21	N	3
KOS17137.1	GH31(233-724)	GH31	GH31	N	3
KOS17142.1	GH2(113-742)	GH2	GH2	N	3
KOS17145.1	GH12(231-372)	N	N	N	1
KOS17146.1	GT2(224-401)	N	GT2	N	2
KOS17221.1	CE5(77-245)	CE5	N	N	2
KOS17281.1	CE9(18-409)	CE9	CE9	N	3
KOS17283.1	GH3(86-312)	N	GH3	N	2
KOS17288.1	CE10(113-455)	N	N	N	1
KOS17338.1	GT8(16-204)	GT8	N	N	2
KOS17381.1	GH55(31-727)	N	GH55	N	2
KOS17439.1	GH47(279-980)	GH47	GH47	N	3
KOS17452.1	GT33(42-456)	GT33	GT33	N	3
KOS17461.1	GH76(83-497)	GH76	GH76	N	3
KOS17488.1	GH92(218-710)	GH92	GH92	N	3
KOS17552.1	GH16(66-267)	GH16	N	N	2
KOS17567.1	AA9(1-169)	AA9	N	N	2
KOS17602.1	GT20(11-475)	GT20	GT20	N	3
KOS17658.1	GT4(235-406)	GT4	GT4	N	3
KOS17711.1	GH92(268-788)	GH92	GH92	N	3
KOS17805.1	GH72(21-334)+CBM43(386-471)	GH72	CBM43+GH72	N	3
KOS17925.1	CE10(122-393)	N	N	N	1
KOS17930.1	GH5_12(15-549)	GH5	GH5_12	N	3
KOS17948.1	GT35(163-878)	GT35	GT35	N	3
KOS17986.1	GH1(2-464)	GH1	GH1	N	3
KOS17994.1	GT90(349-651)	GT90	GT90	N	3
KOS18017.1	GH132(55-312)	GH132	N	N	2
KOS18019.1	GH2(4-742)	GH2	GH2	N	3
KOS18056.1	GH2(58-486)	GH2	GH2	N	3
KOS18058.1	GT2(113-282)	GT2	GT2	N	3
KOS18099.1	AA11(19-168)	AA11	N	N	2
KOS18115.1	AA3_2(16-584)	AA3	N	N	2
KOS18153.1	AA7(42-235)	N	AA7	N	2
KOS18154.1	AA7(32-222)	N	N	N	1
KOS18188.1	GH79(24-448)	GH79	N	N	2
KOS18206.1	AA4(2-227)	N	N	N	1
KOS18217.1	GH76(27-398)	GH76	GH76	N	3
KOS18235.1	CE10(85-371)	N	N	N	1
KOS18333.1	GH5_7(64-337)	GH5	CBM1+GH5_7	N	3
KOS18366.1	GH76(25-385)	GH76	GH76	N	3
KOS18396.1	CE10(9-162)	N	N	N	1
KOS18425.1	GH55(29-756)	GH55	GH55	N	3
KOS18439.1	GH47(37-594)	GH47	GH47	N	3
KOS18472.1	GH55(40-787)	GH28+GH55	GH55	N	3
KOS18481.1	AA2(62-243)	N	N	N	1
KOS18514.1	CE1(24-282)	N	N	N	1
KOS18566.1	GH16(64-291)	N	N	N	1
KOS18582.1	GH16(99-319)	N	N	N	1
KOS18590.1	GH88(59-427)	GH88	N	N	2
KOS18597.1	GH13_8(234-469)	GH13+CBM48	CBM48+GH13_8	N	3
KOS18612.1	AA3(195-725)	N	N	N	1
KOS18614.1	AA3_3(8-625)	AA3	AA3_3	N	3
KOS18658.1	GT62(71-335)	GT62	GT62	N	3
KOS18751.1	GH49(4-551)	GH49	GH49	N	3
KOS18783.1	GH17(369-634)	GH17	GH17	N	3
KOS18788.1	GH28(100-436)	GH28	GH28	N	3
KOS18877.1	GH38(283-541)	GH38	GH38	N	3
KOS18899.1	GT15(75-343)	GT15	GT15	N	3
KOS18944.1	GT66(22-668)	GT66	GT66	N	3
KOS18978.1	GT57(69-300)+GT57(339-571)	GT57	GT57	N	3
KOS19004.1	GH3(91-312)	GH3	GH3	N	3
KOS19016.1	GT3(18-654)	GT3	GT3	N	3
KOS19069.1	GT32(48-130)	GT32	GT32	N	3
KOS19144.1	AA7(192-386)	N	N	N	1
KOS19154.1	GT34(66-291)	GT34	N	N	2
KOS19333.1	GH16(80-219)	GH16	GH16	N	3
KOS19397.1	GT34(116-380)	GT34	GT34	N	3
KOS19398.1	GH16(88-331)	GH16	N	N	2
KOS19501.1	CE10(146-383)	N	N	N	1
KOS19511.1	GH7(19-450)	GH7+CBM1	CBM1+GH7	N	3
KOS19579.1	GH16(132-376)	GH16	GH16	N	3
KOS19608.1	AA5(555-1059)	AA5	AA5_1	N	3
KOS19631.1	GT17(69-350)	GT17	N	N	2
KOS19670.1	GH76(11-355)	GH76	GH76	N	3
KOS19680.1	GT22(20-477)	GT22	GT22	N	3
KOS19718.1	AA7(132-320)	N	N	N	1
KOS19727.1	GH18(499-857)	GH18+CBM18+CBM50	CBM18+GH18	N	3
KOS19740.1	CE4(89-221)	CE4	N	N	2
KOS19829.1	GH92(262-771)	GH92	GH92	N	3
KOS19842.1	GH115(34-612)	GH115	GH115	N	3
KOS19870.1	GH5_9(84-408)	GH5	GH5_9	N	3
KOS19884.1	GH71(47-437)+CBM24(543-615)	GH71+CBM24	CBM24+GH71	N	3
KOS19894.1	GH18(21-357)	GH18	GH18	N	3
KOS19918.1	GH31(246-812)	GH31	GH31	N	3
KOS19957.1	GH12(89-235)	GH12	N	N	2
KOS20006.1	GH1(4-475)	GH1	GH1	N	3
KOS20012.1	GH18(31-268)	GH18	GH18	N	3
KOS20029.1	GH3(34-245)	GH3	GH3	N	3
KOS20044.1	GH81(24-464)	GH81	GH81	N	3
KOS20108.1	GH16(50-306)	GH16	N	N	2
KOS20172.1	GH47(102-563)	GH47	GH47	N	3
KOS20232.1	AA7(32-458)	AA7	N	N	2
KOS20238.1	GH67(9-558)	GH67	GH67	N	3
KOS20403.1	GH18(30-262)	GH18	N	N	2
KOS20405.1	CE10(65-346)	N	N	N	1
KOS20422.1	AA1_2(38-376)	AA1	AA1_2	N	3
KOS20475.1	CE4(125-253)	CE4	CBM18+CE4	N	3
KOS20478.1	GH3(59-265)	GH3	GH3	N	3
KOS20539.1	GH20(157-499)	GH20	GH20	N	3
KOS20548.1	GH3(66-298)	GH3	GH3	N	3
KOS20631.1	GH125(86-523)	GH125	GH125	N	3
KOS20633.1	GT90(58-289)	GT90	N	N	2
KOS20639.1	GT62(50-313)	GT62	GT62	N	3
KOS20674.1	GH16(110-323)	N	N	N	1
KOS20680.1	GH89(86-700)	N	GH89	N	2
KOS20697.1	GH13_25(1090-1543)	GH133	GH133+GH13_25	N	3
KOS20729.1	GH95(28-771)	GH95	GH95	N	3
KOS20737.1	GH18(55-283)	GH18	N	N	2
KOS20761.1	GH18(7-224)	N	N	N	1
KOS20764.1	AA3_2(8-569)	AA3	AA3_2	N	3
KOS20825.1	GH18(71-393)	GH18	GH18	N	3
KOS20836.1	GH47(143-614)	GH47	GH47	N	3
KOS20845.1	GH55(28-753)	GH28+GH55	GH55	N	3
KOS20875.1	AA7(29-221)	N	N	N	1
KOS20885.1	AA1_3(62-388)	AA1	AA1_3	N	3
