PKK34585.1	MER0069149-iRhom1(Monodelphisdomestica)[S54.952]#S54#{peptidaseunit:405-857}~sourceENSMODP00000020743~	9.9e-13	45.1	82
PKK34618.1	MER0734253-familyC56non-peptidasehomologues(Pseudogymnoascuspannorum)[C56.UNW]#C56#{peptidaseunit:34-170}~sourceA0A094GIW6~	1.8e-40	64.8	125
PKK38607.1	MER0823399-familyM4unassignedpeptidases(Exophialaspinifera)[M04.UPW]#M04#{peptidaseunit:156-415}~sourceA0A0D2CDJ4~	1e-34	57.4	122
PKK39103.1	MER0273571-familyM41non-peptidasehomologues(Paenibacillusmucilaginosus)[M41.UNW]#M41#{peptidaseunit:30-196}~sourceYP_004641264~	3.4e-08	31.9	144
PKK39390.1	MER0480902-aminopeptidaseP3(Trichodermaatroviride)[M24.026]#M24B#{peptidaseunit:240-492}~sourceEHK48294~	3.2e-141	92.1	253
PKK40789.1	MER0496068-subfamilyA1Aunassignedpeptidases(Hypocreavirens)[A01.UPA]#A01A#{peptidaseunit:39-375}~sourceEHK18255~	4.8e-187	93.5	337
PKK40833.1	MER0384193-PepAcpeptidase(Hypocreavirens)[A01.081]#A01A#{peptidaseunit:128-445}~sourceEHK18695~	1.3e-191	98.4	318
PKK40853.1	MER1027628-familyS12unassignedpeptidases(Hypocreavirens)[S12.UPW]#S12#{peptidaseunit:97-339}~sourceG9N0V1~	3e-124	88.4	242
PKK40870.1	MER0976811-subfamilyS8Aunassignedpeptidases(Cordycepsmilitaris)[S08.UPA]#S08A#{peptidaseunit:119-341}~sourceG3JBC8~	4.1e-41	67.4	129
PKK40892.1	MER0625808-familyS9unassignedpeptidases(Thielaviaterrestris)[S09.UPW]#S09X#{peptidaseunit:97-505}~sourceXP_003654871~	6.9e-126	58.1	387
PKK40940.1	MER0064233-familyS33non-peptidasehomologues(Gibberellazeae)[S33.UNW]#S33#{peptidaseunit:30-290}~sourceXP_384796~	4.4e-62	46.3	255
PKK40992.1	MER0889738-familyM49unassignedpeptidases(Penicilliumroqueforti)[M49.UPW]#M49#{peptidaseunit:435-651}~sourceW6QL54~	1.8e-74	61.3	217
PKK41020.1	MER0033308-hypotheticalORFYnl320wp({Saccharomycescerevisiae})(Neurosporacrassa)[S09.A35]#S09X#{peptidaseunit:1-313}~sourceQ7SDX9~	1.4e-109	72.4	254
PKK41027.1	MER0726360-familyC48unassignedpeptidases(Cladophialophorapsammophila)[C48.UPW]#C48#{peptidaseunit:100-256}~sourceW9WCF8~	4.5e-09	35.8	106
PKK41035.1	MER0060264-familyS33non-peptidasehomologues(Gibberellazeae)[S33.UNW]#S33#{peptidaseunit:60-391}~sourceXP_381941~	7.7e-108	52.2	335
PKK41058.1	MER0976811-subfamilyS8Aunassignedpeptidases(Cordycepsmilitaris)[S08.UPA]#S08A#{peptidaseunit:119-341}~sourceG3JBC8~	2.4e-30	77.6	85
PKK41075.1	MER1026573-familyS15non-peptidasehomologues(Aspergillusparasiticus)[S15.UNW]#S15#{peptidaseunit:37-547}~sourceA0A0F0IS47~	2.7e-210	64.2	511
PKK41107.1	MER0135310-familyS9non-peptidasehomologues(Batrachochytriumdendrobatidis)[S09.UNW]#S09X#{peptidaseunit:241-408}~sourceBDEG_00552~	2.1e-16	29.3	167
PKK41131.1	MER0167329-familyC56non-peptidasehomologues(Podosporaanserina)[C56.UNW]#C56#{peptidaseunit:90-194}~sourceXP_001905990~	8.3e-38	66.7	105
PKK41194.1	MER0065442-familyS33unassignedpeptidases(Gibberellazeae)[S33.UPW]#S33#{peptidaseunit:54-341}~sourceXP_382060~	6.4e-85	51	288
PKK41239.1	MER0145977-familyS9non-peptidasehomologues(Cionasavignyi)[S09.UNW]#S09X#{peptidaseunit:260-473}~sourceENSCSAVP00000015613~	1.6e-66	57.8	218
PKK41249.1	MER0441432-GMPsynthase(Trichodermaatroviride)[C26.957]#C26#{peptidaseunit:8-244}~sourceEHK48869~	1.3e-134	97.5	237
PKK41275.1	MER0386052-familyC56non-peptidasehomologues(Hypocreavirens)[C56.UNW]#C56#{peptidaseunit:56-170}~sourceEHK21078~	4.1e-55	87.8	115
PKK41277.1	MER0625479-familyS33unassignedpeptidases(Myceliophthorathermophila)[S33.UPW]#S33#{peptidaseunit:3-241}~sourceXP_003665125~	8.4e-97	68.4	244
PKK41339.1	MER0108664-familyS33unassignedpeptidases(Burkholderiamultivorans)[S33.UPW]#S33#{peptidaseunit:4-314}~sourceBAG43115~	7.4e-109	62.6	310
PKK41341.1	MER0149423-familyS9non-peptidasehomologues(Cionaintestinalis)[S09.UNW]#S09X#{peptidaseunit:118-315}~sourceENSCINP00000018134~	1.4e-34	39.2	209
PKK41344.1	MER0064168-familyM67non-peptidasehomologues(Gibberellazeae)[M67.UNW]#M67X#{peptidaseunit:12-284}~sourceXP_385790~	7e-108	70.3	273
PKK41440.1	MER0480354-YFR006Wg.p.({Saccharomycescerevisiae})(Trichodermaatroviride)[M24.A09]#M24B#{peptidaseunit:171-457}~sourceEHK41626~	8.9e-140	85	287
PKK41465.1	MER0511172-familyS33non-peptidasehomologues(Macrophominaphaseolina)[S33.UNW]#S33#{peptidaseunit:54-356}~sourceEKG18007~	5.1e-97	54.6	306
PKK41508.1	MER0032487-familyM38unassignedpeptidases(Aspergillusoryzae)[M38.UPW]#M38#{peptidaseunit:108-398}~sourceAO070343000126~	3.8e-71	49.7	294
PKK41525.1	MER0209372-familyS33unassignedpeptidases(Botryotiniafuckeliana)[S33.UPW]#S33#{peptidaseunit:266-608}~sourceXP_001546622~	6.6e-120	66.2	352
PKK41532.1	MER0064675-familyS33unassignedpeptidases(Gibberellazeae)[S33.UPW]#S33#{peptidaseunit:5-231}~sourceXP_390262~	2e-45	40.1	227
