Gene	MobiDBLite	interpro	GO	PATHWAY	Pfam	SUPERFAMILY	Gene3D	SMART	CDD	PRINTS	ProSiteProfiles	ProSitePatterns	TIGRFAM	Hamap	Coils	PIRSF	SFLD
KAF3069522.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3062890.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KAF3077280.1	NA	IPR033762	GO:0003677;GO:0005524;GO:0006270;GO:0003688;GO:0005634;GO:0042555;GO:0006260	Reactome: R-HSA-176187|Reactome: R-HSA-176974|Reactome: R-HSA-68867|Reactome: R-HSA-68949|Reactome: R-HSA-68962	PF17207;PF14551;PF00493;PF17855	SSF50249;SSF52540	G3DSA:3.40.50.300;G3DSA:2.40.50.140;G3DSA:2.20.28.10;G3DSA:3.30.1640.10	SM00350	cd17756	PR01661;PR01657	PS50051	PS00847	NA	NA	NA	NA	NA
KAF3068803.1	mobidb-lite	IPR011553	GO:0015031;GO:0030176	NA	PF03839	NA	NA	NA	NA	NA	NA	NA	TIGR00869	NA	NA	NA	NA
KAF3056951.1	mobidb-lite	IPR021131	GO:0003735;GO:0006412;GO:0015934	Reactome: R-HSA-5368286|Reactome: R-HSA-5389840|Reactome: R-HSA-5419276	PF00828	SSF52080	G3DSA:3.100.10.10	NA	NA	NA	PS51257	NA	TIGR01071	MF_01341	NA	NA	NA
KAF3066916.1	NA	IPR006140	GO:0051287;GO:0055114;GO:0016616	NA	PF02826;PF00389	SSF55021;SSF52283;SSF51735	G3DSA:3.30.70.260;G3DSA:3.40.50.720	NA	cd12176	NA	PS51671	PS00670;PS00065;PS00671	NA	NA	NA	NA	NA
KAF3073311.1	mobidb-lite	IPR016135	GO:0004100;GO:0006031	MetaCyc: PWY-7511|Reactome: R-HSA-983168	PF08407;PF01644;PF00179	SSF54495;SSF53448	G3DSA:3.10.110.10	SM00212	cd00195;cd04190	NA	PS50127	PS00183	NA	NA	Coil	NA	NA
KAF3074657.1	mobidb-lite	IPR013087	GO:0003676;GO:0003677;GO:0006355	NA	PF05920	SSF46689	G3DSA:1.10.10.60	SM00355;SM00389	cd00086	NA	PS50157;PS50071	PS00028	NA	NA	NA	NA	NA
KAF3066796.1	NA	IPR013154	GO:0055114;GO:0016491	NA	PF08240;PF00107	SSF50129;SSF51735	G3DSA:3.40.50.720;G3DSA:3.90.180.10	SM00829	cd08249	NA	NA	NA	NA	NA	NA	NA	NA
KAF3073372.1	NA	IPR002347	NA	NA	PF00106	SSF51735	G3DSA:3.40.50.720	NA	NA	PR00081	NA	NA	NA	NA	NA	NA	NA
