Gene	interpro	PANTHER	MobiDBLite	Pfam	Phobius	TMHMM	GO	PRINTS	Gene3D	SUPERFAMILY	CDD	SMART	ProSitePatterns	ProSiteProfiles	SignalP_GRAM_POSITIVE	PATHWAY	PIRSF	Hamap	Coils	SFLD	TIGRFAM	SignalP_EUK	SignalP_GRAM_NEGATIVE	ProDom
snap_masked-NODE_5_length_247187_cov_44.829669-processed-gene-0.169-mRNA-1	IPR018613	PTHR31840	mobidb-lite	PF09747	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_29_length_164962_cov_46.753942-processed-gene-0.27-mRNA-1	IPR015927	PTHR12383:SF3;PTHR12383	NA	PF00717	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	TMhelix	GO:0006508;GO:0008236;GO:0016020;GO:0006465;GO:0006627;GO:0042720	PR00727	G3DSA:2.10.109.10	SSF51306	cd06530	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_13_length_215496_cov_47.709197-snap-gene-1.301-mRNA-1	IPR034015	PTHR11533;PTHR11533:SF174	NA	PF17900;PF09127;PF01433	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN	NA	GO:0008237;GO:0008270;GO:0006508	PR00756	G3DSA:1.10.390.10;G3DSA:1.25.40.320;G3DSA:2.60.40.1730;G3DSA:1.10.1740.60	SSF55486;SSF63737;SSF48371	cd09599	SM01263	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_23_length_181327_cov_50.490110-processed-gene-0.38-mRNA-1	IPR001138	PTHR31944:SF127;PTHR31944	mobidb-lite	PF00172;PF04082	NA	NA	GO:0000981;GO:0005634;GO:0006355;GO:0008270;GO:0003677;GO:0006351	NA	G3DSA:4.10.240.10	SSF57701	cd00067;cd12148	SM00066;SM00906	PS00463	PS50048	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_3_length_261062_cov_48.596903-processed-gene-1.14-mRNA-1	IPR009571	PTHR28019;PTHR28019:SF3	NA	PF06687	SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;TRANSMEMBRANE;SIGNAL_PEPTIDE_N_REGION;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE	TMhelix	GO:0005886	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_69_length_102371_cov_48.539973-processed-gene-0.253-mRNA-1	IPR036770	NA	NA	PF13857	NA	NA	NA	NA	G3DSA:1.25.40.20	SSF48403	cd00204	NA	NA	PS50297	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_79_length_96241_cov_40.202530-processed-gene-0.157-mRNA-1	IPR033118	PTHR31204:SF1;PTHR31204	mobidb-lite	PF10914	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	NA	NA	NA	NA	NA	NA	NA	PS51751	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_109_length_76433_cov_47.372671-augustus-gene-0.130-mRNA-1	IPR004331	PTHR10783;PTHR10783:SF84	NA	NA	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	NA	NA	NA	NA	cd14474	NA	NA	PS51382	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_140_length_61476_cov_48.949600-processed-gene-0.34-mRNA-1	IPR000504	PTHR45321	mobidb-lite	PF00076	NA	NA	GO:0003676	NA	G3DSA:3.30.70.330	SSF54928	cd12383	SM00360	NA	PS50102	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_12_length_215955_cov_40.277522-snap-gene-1.180-mRNA-1	IPR000146	PTHR11556;PTHR11556:SF1	NA	PF00316	NA	NA	GO:0005975;GO:0016791;GO:0042578;GO:0042132	PR00115	G3DSA:3.40.190.80;G3DSA:3.30.540.10	SSF56655	cd00354	NA	PS00124	NA	NA	KEGG: 00010+3.1.3.11|KEGG: 00030+3.1.3.11|KEGG: 00051+3.1.3.11|KEGG: 00680+3.1.3.11|KEGG: 00710+3.1.3.11|MetaCyc: PWY-5484|Reactome: R-HSA-70263	PIRSF000904;PIRSF500210	MF_01855	NA	NA	NA	NA	NA	NA
