Gene	MobiDBLite	Phobius	interpro	Pfam	TMHMM	PANTHER	GO	Coils	Gene3D	CDD	PATHWAY	SUPERFAMILY	ProSiteProfiles	SFLD	PRINTS	TIGRFAM	ProSitePatterns	SMART	PIRSF	Hamap	SignalP_EUK	SignalP_GRAM_POSITIVE	SignalP_GRAM_NEGATIVE	ProDom
maker-scaffold26-augustus-gene-0.256-mRNA-1	mobidb-lite	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	IPR003734	PF02582	TMhelix	PTHR16255:SF11;PTHR16255	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold310-snap-gene-0.0-mRNA-1	mobidb-lite	NA	IPR009643	PF06825	NA	PTHR19424;PTHR19424:SF0	GO:0003714	Coil	G3DSA:1.20.5.430	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-scaffold43-processed-gene-0.237-mRNA-1	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	IPR006121	PF00702;PF00122;PF00403	TMhelix	PTHR43520;PTHR43520:SF8	GO:0030001;GO:0046872;GO:0005507;GO:0000166;GO:0016021;GO:0006812;GO:0019829	NA	G3DSA:3.30.70.100;G3DSA:2.70.150.20;G3DSA:3.40.1110.10;G3DSA:3.40.50.1000	cd00371;cd02094	Reactome: R-HSA-936837	SSF81665;SSF55008;SSF81653;SSF56784;SSF81660	PS50846	SFLDF00027;SFLDG00002	PR00942;PR00119	TIGR00003;TIGR01494;TIGR01525	PS00154	NA	NA	NA	NA	NA	NA	NA
maker-scaffold39-augustus-gene-0.317-mRNA-1	NA	NA	IPR036525	PF03953;PF00091	NA	PTHR11588:SF248;PTHR11588	GO:0003924;GO:0005200;GO:0005525;GO:0005874;GO:0007017	Coil	G3DSA:3.40.50.1440;G3DSA:3.30.1330.20;G3DSA:1.10.287.600	NA	Reactome: R-HSA-380320	SSF55307;SSF52490	NA	NA	PR01162;PR01161	NA	NA	SM00865;SM00864	NA	NA	NA	NA	NA	NA
maker-scaffold85-augustus-gene-0.123-mRNA-1	mobidb-lite	NA	IPR001650	PF00270;PF00271	NA	PTHR24031;PTHR24031:SF331	GO:0003676;GO:0005524	NA	G3DSA:3.40.50.300	cd00079;cd00268	NA	SSF52540	PS51192;PS51194;PS51195	NA	NA	NA	PS00039	SM00490;SM00487	NA	NA	NA	NA	NA	NA
augustus_masked-scaffold181-processed-gene-0.158-mRNA-1	mobidb-lite	NA	IPR001650	PF00271;PF04851	NA	PTHR14025:SF20;PTHR14025	GO:0006281;GO:0043140;GO:0003677;GO:0005524;GO:0016787	NA	G3DSA:1.20.1320.20;G3DSA:3.40.50.300	cd00079;cd12091;cd00046	Reactome: R-HSA-6783310	SSF52540	PS51194;PS51192	NA	NA	NA	NA	SM00487;SM00490	NA	NA	NA	NA	NA	NA
maker-scaffold40-augustus-gene-0.233-mRNA-1	mobidb-lite	NA	IPR000225	PF00514;PF16186;PF01749	NA	PTHR23316;PTHR23316:SF53	GO:0005515;GO:0006606;GO:0061608;GO:0005634;GO:0005737;GO:0008565	Coil	G3DSA:1.25.10.10;G3DSA:1.20.5.690	NA	Reactome: R-HSA-1169408|Reactome: R-HSA-168276	SSF48371	PS50176;PS51214	NA	NA	NA	NA	SM00185	PIRSF005673	NA	NA	NA	NA	NA
maker-scaffold341-snap-gene-0.31-mRNA-1	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	IPR019334	PF10190	TMhelix	PTHR22779:SF6;PTHR22779	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-scaffold46-processed-gene-0.196-mRNA-1	NA	NA	IPR002347	PF00106	NA	PTHR43313:SF1;PTHR43313	NA	NA	G3DSA:3.40.50.720	cd05233	NA	SSF51735	NA	NA	PR00081	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold122-snap-gene-0.121-mRNA-1	mobidb-lite	NA	IPR001357	PF14377;PF16727;PF16589;PF11799;PF00817	NA	PTHR11076:SF12;PTHR11076	GO:0003684;GO:0006281;GO:0016779;GO:0042276	NA	G3DSA:1.20.58.1280;G3DSA:2.30.40.20;G3DSA:1.10.150.20;G3DSA:3.30.1490.100;G3DSA:3.30.70.270;G3DSA:3.40.50.10190	cd01701;cd00027	Reactome: R-HSA-110312|Reactome: R-HSA-5655862|Reactome: R-HSA-5656121|Reactome: R-HSA-5656169	SSF56672;SSF52113;SSF100879	PS50172;PS50173	NA	NA	NA	NA	SM00292	PIRSF036573	NA	NA	NA	NA	NA
augustus_masked-scaffold6-processed-gene-0.225-mRNA-1	mobidb-lite	NA	NA	NA	NA	PTHR42070	NA	Coil	NA	cd14688	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
