Gene	interpro	GO	Pfam	SUPERFAMILY	Gene3D	ProSitePatterns	MobiDBLite	ProSiteProfiles	Coils	PRINTS	PATHWAY	CDD	Hamap	SMART	TIGRFAM	PIRSF	SFLD
RFU78034.1	IPR006680	GO:0016787	PF04909	SSF51556	G3DSA:3.20.20.140	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU80656.1	IPR001926	GO:0006520;GO:0030170	PF00291	SSF53686	G3DSA:3.40.50.1100	PS00165	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU76787.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU76379.1	IPR002013	GO:0042578	PF02383	NA	NA	NA	NA	PS50275	Coil	NA	NA	NA	NA	NA	NA	NA	NA
RFU77427.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU72232.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU75500.1	IPR000266	GO:0003735;GO:0005840;GO:0006412	PF00366	SSF50249	G3DSA:2.40.50.140	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU76088.1	IPR017927	GO:0016491;GO:0055114	PF00970;PF00175	SSF52343;SSF63380	G3DSA:2.40.30.10;G3DSA:3.40.50.80	NA	NA	PS51384	NA	PR00371;PR00406	Reactome: R-HSA-1237044	cd06183	NA	NA	NA	NA	NA
RFU72295.1	IPR019783	NA	PF01172	SSF89895	G3DSA:3.30.1250.10	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU75268.1	IPR007849	NA	PF05176	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU76265.1	IPR015943	GO:0005515	NA	SSF50978	G3DSA:2.130.10.10	NA	mobidb-lite	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
RFU80074.1	IPR001848	GO:0003735;GO:0005840;GO:0006412;GO:0003723;GO:0015935	PF00338	SSF54999	G3DSA:3.30.70.600	PS00361	NA	NA	NA	PR00971	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72649|Reactome: R-HSA-72689|Reactome: R-HSA-72695|Reactome: R-HSA-72702|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	NA	MF_00508	SM01403	TIGR01046	NA	NA
RFU77933.1	IPR005606	GO:0005484;GO:0006890	PF03908	NA	NA	NA	mobidb-lite	NA	Coil	NA	Reactome: R-HSA-6811434	NA	NA	NA	NA	NA	NA
RFU77605.1	IPR036852	GO:0004252;GO:0006508;GO:0008236	PF09286	SSF52743;SSF54897	G3DSA:3.40.50.200	NA	mobidb-lite	PS51695	NA	NA	Reactome: R-HSA-381038	cd11377;cd04056	NA	SM00944	NA	NA	NA
RFU72200.1	IPR006593	NA	PF03188	NA	G3DSA:1.20.120.1770	NA	mobidb-lite	PS50939	NA	NA	NA	cd08761	NA	SM00665	NA	NA	NA
RFU73962.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU79326.1	IPR040976		PF17667	NA	NA	NA	mobidb-lite	NA	NA	NA	KEGG: 04150+2.7.11.1|KEGG: 04151+2.7.11.1|KEGG: 04714+2.7.11.1|KEGG: 04926+2.7.11.1|KEGG: 05163+2.7.11.1|KEGG: 05165+2.7.11.1|KEGG: 05170+2.7.11.1	NA	NA	NA	NA	NA	NA
RFU73305.1	IPR014807	NA	PF08695	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU79002.1	IPR007568	GO:0016021	PF04479	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU82152.1	IPR029058	NA	NA	SSF53474	G3DSA:3.40.50.1820	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
RFU73456.1	IPR024636	GO:0005515;GO:0018024;GO:0034968;GO:0048188	PF11767;PF11764;PF00856	SSF82199	G3DSA:2.170.270.10;G3DSA:3.30.70.330	NA	mobidb-lite	PS50280;PS51572;PS50868	Coil	NA	Reactome: R-HSA-3214841	cd12302	NA	SM00508;SM00317;SM01291	NA	PIRSF037104	NA
RFU75861.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU80800.1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU76848.1	IPR018004	GO:0003677;GO:0005515	PF13637;PF13606	SSF54616;SSF48403	G3DSA:3.10.260.10;G3DSA:1.25.40.20	NA	mobidb-lite	PS50088;PS50297;PS51299	NA	NA	NA	NA	NA	SM01252;SM00248	NA	NA	NA
RFU75174.1	IPR036864	GO:0000981;GO:0005634;GO:0006355;GO:0008270	NA	SSF57701	NA	NA	mobidb-lite	PS50048	NA	NA	NA	cd00067	NA	NA	NA	NA	NA
RFU75685.1	IPR015943	GO:0005515	NA	SSF101908	G3DSA:2.130.10.10	NA	NA	PS50082;PS50294	NA	NA	NA	NA	NA	NA	NA	NA	NA
