Gene	interpro	Pfam	MobiDBLite	SMART	Gene3D	SUPERFAMILY	PRINTS	GO	CDD	PIRSF	Coils	PATHWAY	ProSiteProfiles	ProSitePatterns	TIGRFAM	Hamap	SFLD
ETS00576.1	IPR006571	PF07534;PF08593	mobidb-lite	SM00584	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETS02523.1	IPR040632	PF17784	NA	NA	G3DSA:3.40.50.300	SSF52540	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETR99041.1	IPR036249	PF01494;PF07976	NA	NA	G3DSA:3.30.9.50;G3DSA:3.40.30.20;G3DSA:3.50.50.60	SSF54373;SSF52833;SSF51905	PR00420	GO:0071949	cd02979	NA	NA	NA	NA	NA	NA	NA	NA
ETS02349.1	IPR001382	PF01532	mobidb-lite	NA	G3DSA:1.50.10.10	SSF48225	PR00747	GO:0004571;GO:0005509;GO:0016020;GO:0003824	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETR99111.1	IPR011501	PF07540;PF03914	mobidb-lite	NA	NA	SSF48371	NA	NA	NA	PIRSF028977	NA	NA	NA	NA	NA	NA	NA
ETR99957.1	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ETR99796.1	IPR007219	PF04082	mobidb-lite	NA	NA	NA	NA	GO:0003677;GO:0005634;GO:0006351;GO:0008270	cd12148	NA	Coil	NA	NA	NA	NA	NA	NA
ETR97561.1	IPR003819	PF02668	NA	NA	G3DSA:3.60.130.10	SSF51197	NA	GO:0016491;GO:0055114	NA	NA	NA	Reactome: R-HSA-71262	NA	NA	NA	NA	NA
ETS00807.1	IPR010816	PF07217	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA
ETS01865.1	IPR041756	PF02225;PF04389	NA	NA	G3DSA:3.40.630.10;G3DSA:3.50.30.30	SSF53187;SSF52025	NA	GO:0004177;GO:0006508;GO:0016603	cd03876;cd02130;cd03880	NA	NA	MetaCyc: PWY-7942	NA	NA	NA	NA	NA
ETR97106.1	IPR035994	PF01048	NA	NA	NA	SSF53167	NA	GO:0003824;GO:0009116	cd09008	NA	NA	NA	NA	NA	NA	NA	NA
