Gene	interpro	GO	ProSiteProfiles	MobiDBLite	Pfam	PATHWAY	SMART	PANTHER	Coils	Phobius	TMHMM	ProSitePatterns	CDD	PRINTS	Gene3D	SUPERFAMILY	TIGRFAM	SignalP_EUK	SignalP_GRAM_NEGATIVE	SignalP_GRAM_POSITIVE	SFLD	Hamap	PIRSF	ProDom
augustus_masked-NQYR01000016.1-processed-gene-1.17-mRNA-1	IPR000467	GO:0003676	PS50174	mobidb-lite	PF07842;PF12457;PF01585	Reactome: R-HSA-72163	SM00443	PTHR23329;PTHR23329:SF1	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYR01000001.1-processed-gene-7.18-mRNA-1	IPR032805	NA	NA	mobidb-lite	PF13813	NA	NA	PTHR31595:SF1;PTHR31595	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYR01000003.1-processed-gene-16.18-mRNA-1	IPR018253	NA	PS50076	mobidb-lite	PF00226	NA	SM00271	PTHR24074:SF16;PTHR24074	Coil	NA	NA	PS00636	cd06257	PR00625	G3DSA:1.10.287.110	SSF46565	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYR01000005.1-processed-gene-3.23-mRNA-1	IPR007905	GO:0016021;GO:0016125;GO:0047750	PS51751	NA	PF05241	NA	NA	PTHR14207;PTHR14207:SF0	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYR01000001.1-augustus-gene-45.2-mRNA-1	IPR009000	GO:0005525;GO:0003924	PS51722	mobidb-lite	PF03144;PF00009	NA	NA	PTHR43721;PTHR43721:SF9	NA	NA	NA	NA	cd03694;cd04165;cd03708	NA	G3DSA:2.40.30.10;G3DSA:3.40.50.300	SSF50447;SSF50465;SSF52540	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYR01000001.1-augustus-gene-19.6-mRNA-1	IPR004328	GO:0005515	PS51180	mobidb-lite	PF03097;PF13949	NA	SM01041	PTHR23030:SF30;PTHR23030	Coil	NA	NA	NA	cd09237;cd09242	NA	G3DSA:1.20.140.50;G3DSA:1.25.40.280;G3DSA:1.20.120.560	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYR01000003.1-augustus-gene-19.15-mRNA-1	IPR036236	GO:0003676	PS50157	mobidb-lite	PF00096	NA	SM00355	PTHR44237:SF3;PTHR44237	NA	NA	NA	PS00028	NA	NA	G3DSA:3.30.160.60	SSF57667	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYR01000001.1-augustus-gene-1.9-mRNA-1	IPR002020	GO:0046912;GO:0004108;GO:0006101;GO:0006099	NA	NA	PF00285	Reactome: R-HSA-1268020|Reactome: R-HSA-71403	NA	PTHR11739;PTHR11739:SF15	NA	NA	NA	PS00480	NA	PR00143	G3DSA:1.10.230.10;G3DSA:1.10.580.10	SSF48256	TIGR01793	NA	NA	NA	NA	NA	NA	NA
maker-NQYR01000008.1-augustus-gene-7.39-mRNA-1	IPR005828	GO:0016021;GO:0022857;GO:0055085;GO:0016020;GO:0005215	PS50850	mobidb-lite	PF00083	Reactome: R-HSA-189200	NA	PTHR23500:SF50;PTHR23500	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	PS00216;PS00217	cd06174	PR00171	G3DSA:1.20.1250.20	SSF103473	TIGR00879	NA	NA	NA	NA	NA	NA	NA
maker-NQYR01000009.1-augustus-gene-8.8-mRNA-1	IPR036132	GO:0015078;GO:0015991;GO:0033180	NA	NA	PF03223	Reactome: R-HSA-1222556|Reactome: R-HSA-77387|Reactome: R-HSA-917977|Reactome: R-HSA-983712	NA	PTHR10137;PTHR10137:SF0	Coil	NA	NA	NA	cd14785	NA	G3DSA:1.20.1460.10;G3DSA:3.30.70.100;G3DSA:3.30.70.1180	SSF118203	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYR01000013.1-augustus-gene-1.6-mRNA-1	IPR001241	GO:0003677;GO:0003918;GO:0005524;GO:0006265;GO:0006259	PS50880	mobidb-lite	PF01751;PF00521;PF02518;PF00204;PF16898	Reactome: R-HSA-4615885	SM00433;SM00434	PTHR10169;PTHR10169:SF38	Coil	NA	NA	PS00177	cd00187;cd03365;cd00075;cd03481	PR00418;PR01158	G3DSA:3.30.230.10;G3DSA:1.10.268.10;G3DSA:3.30.1360.40;G3DSA:3.90.199.10;G3DSA:3.40.50.670;G3DSA:3.30.565.10;G3DSA:3.30.1490.30	SSF54211;SSF56719;SSF55874	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYR01000013.1-augustus-gene-2.40-mRNA-1	IPR036291	NA	NA	NA	NA	NA	NA	PTHR14097:SF8;PTHR14097	NA	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE	NA	NA	NA	NA	G3DSA:3.40.50.720	SSF51735	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYR01000001.1-processed-gene-47.26-mRNA-1	IPR018935	GO:0004674;GO:0005524;GO:0006672;GO:0016021;GO:0016811	NA	mobidb-lite	PF01163;PF05875	KEGG: 04150+2.7.11.1|KEGG: 04151+2.7.11.1|KEGG: 04714+2.7.11.1|KEGG: 04926+2.7.11.1|KEGG: 05163+2.7.11.1|KEGG: 05165+2.7.11.1|KEGG: 05170+2.7.11.1|Reactome: R-HSA-6791226	SM00090	PTHR10593:SF23;PTHR10593	Coil	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	PS01245	cd05147	NA	G3DSA:1.10.510.10;G3DSA:3.30.200.20	SSF56112	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYR01000008.1-augustus-gene-1.46-mRNA-1	NA	NA	NA	mobidb-lite	NA	NA	NA	PTHR23124;PTHR23124:SF121	NA	SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION	NA	NA	NA	NA	NA	NA	NA	SignalP-noTM	NA	NA	NA	NA	NA	NA
augustus_masked-NQYR01000003.1-processed-gene-8.22-mRNA-1	IPR028094	NA	NA	mobidb-lite	PF14474	NA	SM01312	PTHR41391	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYR01000006.1-augustus-gene-25.30-mRNA-1	IPR018535	NA	NA	NA	PF09362	NA	NA	PTHR43662	NA	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION	NA	NA	NA	NA	NA	NA	NA	SignalP-noTM	SignalP-noTM	SignalP-TM	NA	NA	NA	NA
maker-NQYR01000010.1-augustus-gene-14.50-mRNA-1	IPR001619	GO:0006904;GO:0016192	NA	NA	PF00995	NA	NA	PTHR11679;PTHR11679:SF1	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	G3DSA:1.25.40.850;G3DSA:3.40.50.2060;G3DSA:3.40.50.1910;G3DSA:3.90.830.10	SSF56815	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYR01000012.1-augustus-gene-4.9-mRNA-1	IPR023214	GO:0000287;GO:0004012;GO:0005524;GO:0015914;GO:0016021;GO:0000166	NA	mobidb-lite	PF00122;PF16209;PF13246;PF16212	Reactome: R-HSA-936837	NA	PTHR24092;PTHR24092:SF55	Coil	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	PS00154	cd02073	PR00119	G3DSA:3.40.50.1000;G3DSA:3.40.1110.10;G3DSA:2.70.150.10	SSF56784;SSF81653;SSF81660;SSF81665	TIGR01652;TIGR01494	NA	NA	NA	SFLDS00003;SFLDF00027	NA	NA	NA
augustus_masked-NQYR01000005.1-processed-gene-9.7-mRNA-1	IPR005225	GO:0005525;GO:0003743;GO:0005622;GO:0006413;GO:0003924	PS51722	mobidb-lite	PF11987;PF00009	Reactome: R-HSA-5368286	NA	PTHR43381:SF1;PTHR43381	Coil	NA	NA	PS01176	cd03692;cd01887;cd03702	NA	G3DSA:3.40.50.300;G3DSA:2.40.30.10;G3DSA:3.40.50.10050	SSF52156;SSF50447;SSF52540	TIGR00231;TIGR00487	NA	NA	NA	NA	MF_00100_B	NA	NA
maker-NQYR01000001.1-augustus-gene-28.15-mRNA-1	IPR001810	GO:0005515	PS50181	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYR01000005.1-augustus-gene-15.51-mRNA-1	IPR003697	GO:0047429	NA	mobidb-lite	PF02545	NA	NA	PTHR43213;PTHR43213:SF5	NA	NA	NA	NA	cd00555	NA	G3DSA:3.90.950.10	SSF52972	TIGR00172	NA	NA	NA	NA	NA	NA	NA
maker-NQYR01000008.1-augustus-gene-11.37-mRNA-1	IPR003960	GO:0005524;GO:0004222;GO:0006508;GO:0016020	NA	mobidb-lite	PF17862;PF00004;PF01434	Reactome: R-HSA-8949664	SM00382	PTHR23076	NA	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	PS00674	cd00009	NA	G3DSA:1.10.8.60;G3DSA:3.40.50.300;G3DSA:1.20.58.760	SSF52540;SSF140990	TIGR01241	NA	NA	NA	NA	MF_01458	NA	NA
maker-NQYR01000006.1-augustus-gene-5.16-mRNA-1	IPR001900	GO:0003723;GO:0004540	NA	mobidb-lite	PF00773;PF17877;PF17849	NA	SM00955	PTHR23355:SF9;PTHR23355	Coil	NA	NA	NA	NA	NA	G3DSA:2.40.50.140;G3DSA:2.40.50.700;G3DSA:2.40.50.690	SSF50249	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYR01000013.1-augustus-gene-1.0-mRNA-1	IPR005821	GO:0005216;GO:0006811;GO:0016020;GO:0055085	NA	mobidb-lite	PF00520	NA	NA	PTHR35859;PTHR35859:SF4	Coil	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYR01000003.1-processed-gene-31.23-mRNA-1	IPR007594	GO:0005319;GO:0006869;GO:0016021	NA	NA	PF04506	Reactome: R-HSA-446193|Reactome: R-HSA-4570571	NA	PTHR13117	NA	SIGNAL_PEPTIDE_C_REGION;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYR01000010.1-augustus-gene-3.7-mRNA-1	IPR021109	GO:0004190;GO:0006508	PS51767	NA	PF00026	NA	NA	PTHR13683:SF328;PTHR13683	NA	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION	NA	PS00141	cd05471	PR00792	G3DSA:2.40.70.10	SSF50630	NA	SignalP-noTM	NA	NA	NA	NA	NA	NA
augustus_masked-NQYR01000009.1-processed-gene-2.29-mRNA-1	IPR027417	GO:0005515	PS50005;PS50293	NA	PF13432;PF13424;PF13174	NA	SM00028	PTHR19959	NA	NA	NA	NA	NA	NA	G3DSA:1.25.40.10;G3DSA:3.40.50.300	SSF52540;SSF48452	NA	NA	NA	NA	NA	NA	NA	NA
maker-NQYR01000011.1-augustus-gene-0.26-mRNA-1	IPR020846	GO:0016021;GO:0022857;GO:0055085;GO:0016020;GO:0005215	PS50850	mobidb-lite	PF00083	Reactome: R-HSA-189200	NA	PTHR23500;PTHR23500:SF35	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	PS00217;PS00216	cd06174	PR00171	G3DSA:1.20.1250.20	SSF103473	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NQYR01000014.1-processed-gene-4.6-mRNA-1	IPR026899	GO:0000148;GO:0003843;GO:0006075;GO:0016020	NA	mobidb-lite	PF02364;PF14288	KEGG: 00500+2.4.1.34|MetaCyc: PWY-6773	SM01205	PTHR12741:SF15;PTHR12741	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
