Gene	interpro	GO	PATHWAY	TIGRFAM	PRINTS	SUPERFAMILY	PANTHER	Gene3D	PIRSF	Hamap	Pfam	ProSitePatterns	CDD	MobiDBLite	SFLD	SMART	ProSiteProfiles	Phobius	TMHMM	SignalP_GRAM_NEGATIVE	SignalP_GRAM_POSITIVE	Coils	SignalP_EUK	ProDom
OPB37602.1	IPR000860	GO:0004418;GO:0033014;GO:0018160	KEGG: 00860+2.5.1.61|MetaCyc: PWY-5188|MetaCyc: PWY-5189|Reactome: R-HSA-189451	TIGR00212	PR00151	SSF54782;SSF53850	PTHR11557;PTHR11557:SF0	G3DSA:3.40.190.10;G3DSA:3.30.160.40	PIRSF001438	MF_00260	PF01379;PF03900	PS00533	cd13645	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB44123.1	IPR033749	GO:0008299	NA	NA	NA	SSF48576	PTHR12001;PTHR12001:SF44	G3DSA:1.10.600.10	NA	NA	PF00348	PS00723;PS00444	cd00685	mobidb-lite	SFLDS00005	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPB36107.1	IPR013736	GO:0008239;GO:0016787	NA	TIGR00976	NA	SSF53474;SSF49785	PTHR43056:SF1;PTHR43056	G3DSA:3.40.50.1820;G3DSA:2.60.120.260;G3DSA:1.10.3020.10	NA	NA	PF08530;PF02129	NA	NA	NA	NA	SM00939	NA	NA	NA	NA	NA	NA	NA	NA
OPB40386.1	IPR002922	GO:0004807;GO:0003824;GO:0009228	KEGG: 00010+5.3.1.1|KEGG: 00051+5.3.1.1|KEGG: 00562+5.3.1.1|KEGG: 00710+5.3.1.1|MetaCyc: PWY-1042|MetaCyc: PWY-5484|MetaCyc: PWY-6142|MetaCyc: PWY-7003|Reactome: R-HSA-70171|Reactome: R-HSA-70263	TIGR00292	NA	SSF51905;SSF51351	PTHR43422:SF3;PTHR43422	G3DSA:3.50.50.60;G3DSA:3.20.20.70	NA	MF_03158	PF01946;PF00121	NA	cd00311	NA	NA	NA	PS51440	NA	NA	NA	NA	NA	NA	NA
OPB39864.1	IPR011989	GO:0006886;GO:0016192;GO:0030117;GO:0030131;GO:0015031;GO:0030122;GO:0035615;GO:0072583	Reactome: R-HSA-167590|Reactome: R-HSA-177504|Reactome: R-HSA-182218|Reactome: R-HSA-2132295|Reactome: R-HSA-3928665|Reactome: R-HSA-416993|Reactome: R-HSA-437239|Reactome: R-HSA-5099900|Reactome: R-HSA-5140745|Reactome: R-HSA-8856825|Reactome: R-HSA-8856828|Reactome: R-HSA-8866427|Reactome: R-HSA-8964038	NA	NA	SSF49348;SSF48371;SSF55711	PTHR22780;PTHR22780:SF4	G3DSA:2.60.40.1230;G3DSA:1.25.10.10;G3DSA:3.30.310.10	PIRSF037091	NA	PF01602;PF02883;PF02296	NA	NA	NA	NA	SM00809	NA	NA	NA	NA	NA	NA	NA	NA
OPB40554.1	IPR003593	GO:0005524;GO:0016887;GO:0016021;GO:0042626;GO:0055085;GO:0016020	Reactome: R-HSA-1369062	NA	NA	SSF52540	PTHR19241;PTHR19241:SF216	G3DSA:3.40.50.300	NA	NA	PF00005;PF06422;PF01061;PF14510	PS00211	cd03233;cd03232	mobidb-lite	NA	SM00382	PS50893	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA
OPB43351.1	IPR036318	GO:0050660;GO:0016491;GO:0055114;GO:0071949	NA	NA	NA	SSF56176	PTHR13878:SF50;PTHR13878	G3DSA:3.30.465.40;G3DSA:3.40.462.20	NA	NA	PF08031;PF01565	NA	NA	NA	NA	NA	PS51387	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE	NA	SignalP-noTM	SignalP-TM	Coil	SignalP-noTM	NA
OPB38443.1	IPR007461	NA	NA	NA	NA	NA	PTHR15629:SF8;PTHR15629	NA	NA	NA	PF04366	NA	cd11524	mobidb-lite	NA	NA	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA
OPB43395.1	IPR019819	NA	NA	NA	NA	SSF53474	PTHR11559;PTHR11559:SF206	G3DSA:3.40.50.1820	NA	NA	PF00135	PS00941;PS00122	NA	NA	NA	NA	NA	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION	NA	SignalP-noTM	SignalP-TM	NA	SignalP-noTM	NA
OPB44266.1	IPR001680	GO:0005515	NA	NA	NA	SSF50978	PTHR15271	G3DSA:2.130.10.10	NA	NA	PF12894;PF00400	NA	NA	mobidb-lite	NA	SM00320	PS50082;PS50294	NA	NA	NA	NA	NA	NA	NA
OPB45088.1	IPR002164	GO:0005634;GO:0006334	NA	NA	NA	SSF143113	PTHR11875;PTHR11875:SF7	G3DSA:3.30.1120.90	NA	NA	PF00956	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA
OPB40896.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN	NA	SignalP-noTM	SignalP-TM	NA	SignalP-noTM	NA
