Gene	interpro	Gene3D	SUPERFAMILY	Pfam	PRINTS	MobiDBLite	Coils	CDD	GO	PATHWAY	ProSitePatterns	SMART	ProSiteProfiles	PIRSF	TIGRFAM	Hamap	SFLD
PTB63394.1	IPR036770	G3DSA:1.25.40.20	SSF140860;SSF48403	PF12796	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB69762.1	NA	NA	NA	NA	PR01217	mobidb-lite	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB70810.1	IPR013154	G3DSA:3.90.180.10;G3DSA:3.40.50.720	SSF50129;SSF51735	PF08240;PF13823	NA	NA	NA	cd08283	GO:0055114;GO:0008270;GO:0016491	Reactome: R-HSA-71384	PS00059	NA	NA	NA	NA	NA	NA
PTB66698.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB65016.1	IPR031728	G3DSA:3.20.20.80;G3DSA:2.60.40.1180	SSF51445	PF16862	NA	NA	NA	NA		KEGG: 00040+3.2.1.31|KEGG: 00531+3.2.1.31|KEGG: 00860+3.2.1.31|KEGG: 00944+3.2.1.31|KEGG: 00983+3.2.1.31|MetaCyc: PWY-7247|MetaCyc: PWY-7445	NA	NA	NA	NA	NA	NA	NA
PTB63980.1	IPR024624	G3DSA:2.30.110.10	SSF50475	PF12766	NA	NA	NA	NA	GO:0010181;GO:0048037	NA	NA	NA	NA	NA	NA	NA	NA
PTB64621.1	IPR005493	G3DSA:3.50.30.100	SSF89562	PF03737	NA	NA	NA	cd16841	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB71004.1	IPR024420	NA	NA	PF12739	NA	mobidb-lite	NA	NA		Reactome: R-HSA-8876198	NA	NA	NA	NA	NA	NA	NA
PTB67193.1	IPR029064	G3DSA:3.30.1330.30	SSF55315	PF01248	PR00883;PR00881	NA	Coil	NA	GO:0003723;GO:0005730;GO:0042254;GO:1990904	Reactome: R-HSA-6790901	PS01082	NA	NA	NA	NA	NA	NA
PTB68121.1	IPR029061	G3DSA:3.40.50.970;G3DSA:3.40.50.920	SSF52518;SSF52922	PF00456;PF02779	NA	NA	NA	cd02012;cd07033	GO:0003824	KEGG: 00730+2.2.1.7|KEGG: 00900+2.2.1.7|MetaCyc: PWY-6891|MetaCyc: PWY-6892|MetaCyc: PWY-7560	PS00802	SM00861	NA	NA	NA	NA	NA
PTB61807.1	IPR000073	NA	SSF53474	PF12146	PR00111	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB69093.1	IPR021047	NA	NA	PF11735	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB68468.1	IPR020843	G3DSA:3.40.50.720;G3DSA:3.90.180.10	SSF50129;SSF51735	PF13602;PF08240	NA	NA	NA	cd08267	GO:0016491;GO:0055114	NA	NA	SM00829	NA	NA	NA	NA	NA
PTB63594.1	IPR002893	G3DSA:3.30.60.180	SSF144232	PF01753	NA	mobidb-lite	Coil	NA	NA	NA	NA	NA	PS50865	NA	NA	NA	NA
PTB61917.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB70952.1	IPR002241	G3DSA:3.20.20.70;G3DSA:2.60.40.1180	SSF51445;SSF51011	PF17801;PF16499	NA	NA	NA	cd14792	GO:0004553;GO:0005975;GO:0003824	KEGG: 00052+3.2.1.22|KEGG: 00561+3.2.1.22|KEGG: 00600+3.2.1.22|KEGG: 00603+3.2.1.22|MetaCyc: PWY-6527	NA	NA	NA	NA	NA	NA	NA
PTB70119.1	IPR036881	G3DSA:2.60.40.10;G3DSA:2.60.120.260;G3DSA:3.20.20.300;G3DSA:3.40.50.1700	SSF52279;SSF51445	PF00933;PF01915;PF07691;PF14310	PR00133	NA	Coil	NA	GO:0004553;GO:0005975	NA	NA	SM00758;SM01217	PS51820	NA	NA	NA	NA
PTB67006.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	PS51257	NA	NA	NA	NA
PTB69207.1	IPR016509	NA	NA	PF12351	NA	NA	NA	NA	GO:0000753;GO:0016020;GO:0032220	NA	NA	NA	NA	PIRSF007138	NA	NA	NA
PTB62569.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB68950.1	IPR003959	G3DSA:3.40.50.300	SSF52540	PF00004	NA	mobidb-lite	NA	cd00009	GO:0005524	NA	NA	NA	NA	NA	NA	NA	NA
PTB65857.1	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB66077.1	IPR000679	G3DSA:3.30.450.20;G3DSA:3.30.50.10	SSF55785;SSF57716	PF08446;PF00320;PF13426;PF08447	NA	mobidb-lite	NA	cd00130;cd00202	GO:0006355;GO:0008270;GO:0043565;GO:0005515	Reactome: R-HSA-383280	PS00344	SM00086;SM00401;SM00091	PS50114;PS50112	NA	TIGR00229	NA	NA
PTB63955.1	IPR001736	NA	SSF56024	PF00614	NA	mobidb-lite	NA	cd09138;cd09141	GO:0003824;GO:0004630;GO:0006654;GO:0048017	Reactome: R-HSA-1483148	NA	SM00155	PS50035	PIRSF009376	NA	NA	NA
PTB68826.1	IPR024526	NA	NA	PF12720	NA	mobidb-lite	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB63169.1	IPR036236	G3DSA:3.30.160.60	SSF57667	NA	NA	mobidb-lite	NA	NA	GO:0003676	NA	PS00028	NA	PS50157	NA	NA	NA	NA
PTB64116.1	IPR036915	G3DSA:1.10.472.10	SSF47954	PF00134;PF02984	NA	mobidb-lite	NA	cd00043	GO:0042025	NA	PS00292	SM00385;SM01332	NA	PIRSF001771	NA	NA	NA
PTB69089.1	IPR008271	G3DSA:1.10.510.10;G3DSA:3.30.200.20	SSF56112	PF00069	NA	NA	NA	cd07835	GO:0004672;GO:0006468;GO:0005524	NA	PS00108;PS00107	SM00220	PS50011	NA	NA	NA	NA
