Gene	interpro	Pfam	GO	PIRSF	Phobius	Gene3D	CDD	TMHMM	PANTHER	SUPERFAMILY	MobiDBLite	SignalP_EUK	ProSitePatterns	Coils	ProSiteProfiles	SMART	PATHWAY	TIGRFAM	SignalP_GRAM_POSITIVE	PRINTS	Hamap	SignalP_GRAM_NEGATIVE	ProDom	SFLD
augustus_masked-NODE_7_length_981326_cov_21.713968-processed-gene-3.15-mRNA-1	IPR028058	PF14852;PF14853	GO:0000266;GO:0005515	PIRSF008835	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	G3DSA:1.25.40.10	cd12212	TMhelix	PTHR13247;PTHR13247:SF0	SSF48452	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_2_length_1742724_cov_22.765721-augustus-gene-1.39-mRNA-1	IPR007484	PF04389	NA	NA	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION	G3DSA:3.40.630.10	cd03879	NA	PTHR12147:SF21;PTHR12147	SSF53187	mobidb-lite	SignalP-noTM	PS00018	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_29_length_384920_cov_25.747976-augustus-gene-2.74-mRNA-1	IPR002478	PF01509;PF08068;PF16198;PF01472	GO:0003723;GO:0006396;GO:0001522;GO:0009451;GO:0009982	NA	NA	G3DSA:3.30.2350.10;G3DSA:2.30.130.70	cd02572	NA	PTHR23127	SSF88697;SSF55120	mobidb-lite	NA	NA	Coil	PS50890	SM00359;SM01136	Reactome: R-HSA-171319|Reactome: R-HSA-6790901	TIGR00451;TIGR00425	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_26_length_427138_cov_26.846437-processed-gene-0.5-mRNA-1	IPR002110	PF12796;PF01529	GO:0005515	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	G3DSA:1.25.40.20	cd00204	TMhelix	PTHR24161;PTHR24161:SF17	SSF48403	mobidb-lite	NA	NA	NA	PS50088;PS50216;PS50297	SM00248	NA	NA	SignalP-TM	NA	NA	NA	NA	NA
augustus_masked-NODE_55_length_104661_cov_25.729284-processed-gene-0.5-mRNA-1	IPR007123	PF00626;PF04815;PF04810;PF08033;PF04811	GO:0006886;GO:0006888;GO:0030127;GO:0008270	NA	NA	G3DSA:3.40.20.10;G3DSA:1.20.120.730;G3DSA:2.60.40.1670;G3DSA:3.40.50.410;G3DSA:2.30.30.380	NA	NA	PTHR13803;PTHR13803:SF13	SSF81995;SSF82754;SSF81811;SSF53300;SSF82919	mobidb-lite	NA	NA	NA	NA	NA	Reactome: R-HSA-1655829|Reactome: R-HSA-204005|Reactome: R-HSA-2132295|Reactome: R-HSA-5694530|Reactome: R-HSA-983170	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_2_length_1742724_cov_22.765721-processed-gene-16.38-mRNA-1	IPR003734	PF02582	NA	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	NA	TMhelix	PTHR16255:SF4;PTHR16255	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_13_length_662468_cov_22.365061-augustus-gene-5.5-mRNA-1	IPR026183	PF09728	GO:0019905	NA	NA	NA	NA	NA	PTHR16127;PTHR16127:SF13	NA	mobidb-lite	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_31_length_340603_cov_23.599725-augustus-gene-2.53-mRNA-1	IPR000608	PF00179		NA	NA	G3DSA:3.10.110.10	cd00195	NA	PTHR24067;PTHR24067:SF154	SSF54495	NA	NA	PS00183	NA	PS50127	SM00212	Reactome: R-HSA-983168	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_1_length_1806559_cov_23.166471-processed-gene-9.32-mRNA-1	IPR003439	PF00005;PF12698	GO:0005524;GO:0016887;GO:0016021;GO:0042626;GO:0055085	NA	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	G3DSA:3.40.50.300	cd03263	TMhelix	PTHR19229;PTHR19229:SF184	SSF52540	mobidb-lite	NA	PS00211	NA	PS50893	SM00382	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_24_length_437981_cov_25.163338-augustus-gene-1.3-mRNA-1	IPR001128	PF00067	GO:0005506;GO:0016705;GO:0020037;GO:0055114;GO:0004497	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE	G3DSA:1.10.630.10	NA	TMhelix	PTHR24305:SF148;PTHR24305	SSF48264	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-TM	PR00385;PR00465	NA	NA	NA	NA
