go_id,clade_groups,Term,Ontol,BH.correction,num_ortho,Term_s,pval_s
GO:0006355,Trichoderma,"regulation of transcription, DNA-templated",Biological Process,6.295229999999999e-60,517.8235294117648,"regulation of transcription, DNA-templated",****
GO:0006355,Hypomyces_Cladobotryum,"regulation of transcription, DNA-templated",Biological Process,6.295229999999999e-60,202,"regulation of transcription, DNA-templated",****
GO:0055114,Trichoderma,oxidation-reduction process,Biological Process,3.46135e-13,695.1764705882352,oxidation-reduction process,****
GO:0055114,Hypomyces_Cladobotryum,oxidation-reduction process,Biological Process,3.46135e-13,437,oxidation-reduction process,****
GO:0070941,Trichoderma,eisosome assembly,Biological Process,1.66202e-5,47,eisosome assembly,****
GO:0070941,Hypomyces_Cladobotryum,eisosome assembly,Biological Process,1.66202e-5,26,eisosome assembly,****
GO:0055085,Trichoderma,transmembrane transport,Biological Process,0.0045596,459.47058823529414,transmembrane transport,**
GO:0055085,Hypomyces_Cladobotryum,transmembrane transport,Biological Process,0.0045596,270,transmembrane transport,**
GO:0000981,Trichoderma,"DNA-binding transcription factor activity, RNA polymerase II-specific",Molecular Function,4.8113099999999994e-77,463.11764705882354,DNA-binding transcription factor activity,****
GO:0000981,Hypomyces_Cladobotryum,"DNA-binding transcription factor activity, RNA polymerase II-specific",Molecular Function,4.8113099999999994e-77,175,DNA-binding transcription factor activity,****
GO:0008270,Trichoderma,zinc ion binding,Molecular Function,7.926259999999999e-54,715.1764705882352,zinc ion binding,****
GO:0008270,Hypomyces_Cladobotryum,zinc ion binding,Molecular Function,7.926259999999999e-54,268.3333333333333,zinc ion binding,****
GO:0071949,Trichoderma,FAD binding,Molecular Function,3.67517e-4,167,FAD binding,***
GO:0071949,Hypomyces_Cladobotryum,FAD binding,Molecular Function,3.67517e-4,128.66666666666666,FAD binding,***
GO:0020037,Trichoderma,heme binding,Molecular Function,5.08303e-4,162.05882352941177,heme binding,***
GO:0020037,Hypomyces_Cladobotryum,heme binding,Molecular Function,5.08303e-4,150,heme binding,***
GO:0003677,Trichoderma,DNA binding,Molecular Function,7.5262e-4,451.3529411764706,DNA binding,***
GO:0003677,Hypomyces_Cladobotryum,DNA binding,Molecular Function,7.5262e-4,157,DNA binding,***
GO:0016705,Trichoderma,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen",Molecular Function,0.0010939,133.58823529411765,oxidoreductase activity,**
GO:0016705,Hypomyces_Cladobotryum,"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen",Molecular Function,0.0010939,119.66666666666667,oxidoreductase activity,**
GO:0005506,Trichoderma,iron ion binding,Molecular Function,0.00124462,130,iron ion binding,**
GO:0005506,Hypomyces_Cladobotryum,iron ion binding,Molecular Function,0.00124462,121.33333333333333,iron ion binding,**
GO:0016829,Trichoderma,lyase activity,Molecular Function,0.00963955,22.235294117647058,lyase activity,**
GO:0016829,Hypomyces_Cladobotryum,lyase activity,Molecular Function,0.00963955,12.666666666666666,lyase activity,**
