id,significant,heatmap_order,desc,type,Description,representation_all,Coral,Higher,Hypomyces_Cladobotryum,Leafcutter,Lower,<NA>
Q9P8W9_CRYNE,FALSE,1,FUNCTION: PPIases accelerate the folding of proteins (By similarity).,VIRULENCE,NA,0.7555555555555555,0.6666666666666666,0.6666666666666666,1,0.4444444444444444,0.5,1
Q5RLJ7_CRYNV,FALSE,2,Unknown,VIRULENCE,NA,0.8444444444444444,1,0.5,1,0.5555555555555556,1,1
Y1220_ASPFU,FALSE,3,FUNCTION: Probable aspartic-type endopeptidase which contributes to virulence (By similarity).,VIRULENCE,NA,0.8888888888888888,1,0.8333333333333334,1,0.7777777777777778,1,0.8823529411764706
GT24,TRUE,4,UDP-Glc: glycoprotein alpha-glucosyltransferase (EC 2.4.1.-).,CAZYME,NA,0.8222222222222222,0.6666666666666666,0.8333333333333334,1,0.6666666666666666,1,0.8823529411764706
Q5AEW4_CANAL,TRUE,5,CAUTION: The sequence shown here is derived from an EMBL/GenBank/DDBJ whole genome shotgun (WGS) entry which is preliminary data.,VIRULENCE,NA,0.8222222222222222,0.6666666666666666,0.8333333333333334,1,0.6666666666666666,1,0.8823529411764706
AA9,FALSE,6,"AA9 (formerly GH61) proteins are copper-dependent lytic polysaccharide monooxygenases (LPMOs); cleavage of cellulose chains with oxidation of various carbons (C-1, C-4 and C-6) has been reported several times in the literature;",CAZYME,NA,0.8222222222222222,0.8333333333333334,0.8333333333333334,0.6666666666666666,0.8888888888888888,NA,1
GH30_3,FALSE,7,NA,NA,NA,0.8222222222222222,0.8333333333333334,0.8333333333333334,1,0.5555555555555556,0.5,1
GH65,FALSE,8,"alpha,alpha-trehalase (EC 3.2.1.28); maltose phosphorylase (EC 2.4.1.8); trehalose phosphorylase (EC 2.4.1.64); kojibiose phosphorylase (EC 2.4.1.230); trehalose-6-phosphate phosphorylase (EC 2.4.1.216); nigerose phosphorylase (EC 2.4.1.279); 3-O-alpha-glucopyranosyl-L-rhamnose phosphorylase (EC 2.4.1.282); 2-O-alpha-glucopyranosylglycerol: phosphate beta-glucosyltransferase (EC 2.4.1.-); alpha-glucosyl-1,2-beta-galactosyl-L-hydroxylysine alpha-glucosidase (EC 3.2.1.107)",CAZYME,NA,0.8444444444444444,0.8333333333333334,0.5,1,0.8888888888888888,0.5,1
Q5XTQ4_BOTFU,FALSE,9,Unknown,VIRULENCE,NA,0.8888888888888888,0.6666666666666666,0.8333333333333334,1,0.7777777777777778,1,1
A0ST43_CERNC,FALSE,10,Unknown,VIRULENCE,NA,0.8888888888888888,0.5,0.6666666666666666,1,1,1,1
abH32,FALSE,11,NA,LED,NA,0.9111111111111111,0.8333333333333334,0.8333333333333334,1,0.7777777777777778,1,1
MER0064741,FALSE,12,NA,MEROPS,NA,0.8666666666666667,1,0.6666666666666666,1,0.8888888888888888,1,0.8235294117647058
GH75,TRUE,13,chitosanase (EC 3.2.1.132),CAZYME,NA,0.9333333333333333,1,0.5,1,1,1,1
abH13,TRUE,14,NA,LED,NA,0.9333333333333333,1,0.6666666666666666,1,0.8888888888888888,1,1
GH5_5,TRUE,15,NA,NA,NA,0.9555555555555556,1,0.6666666666666666,1,1,1,1
CE10,FALSE,16,arylesterase (EC 3.1.1.-);  carboxyl esterase (EC 3.1.1.3); acetylcholinesterase (EC 3.1.1.7); cholinesterase (EC 3.1.1.8); sterol esterase (EC 3.1.1.13); brefeldin A esterase (EC 3.1.1.-).,CAZYME,NA,0.9333333333333333,1,0.8333333333333334,1,1,0.5,1
abH04,TRUE,17,NA,LED,NA,0.9777777777777777,1,0.8333333333333334,1,1,1,1
abH03,TRUE,18,NA,LED,NA,0.9777777777777777,1,0.8333333333333334,1,1,1,1
abH01,TRUE,19,NA,LED,NA,0.9777777777777777,1,0.8333333333333334,1,1,1,1
abH02,TRUE,20,NA,LED,NA,0.9777777777777777,1,0.8333333333333334,1,1,1,1
GH36,FALSE,21,alpha-galactosidase (EC 3.2.1.22); alpha-N-acetylgalactosaminidase (EC 3.2.1.49); stachyose synthase (EC 2.4.1.67); raffinose synthase (EC 2.4.1.82),CAZYME,NA,0.8888888888888888,0.6666666666666666,1,0.6666666666666666,1,1,0.8823529411764706
GH12,FALSE,22,"endoglucanase (EC 3.2.1.4); xyloglucan hydrolase (EC 3.2.1.151); beta-1,3-1,4-glucanase (EC 3.2.1.73); xyloglucan endotransglycosylase (EC 2.4.1.207)",CAZYME,NA,0.9111111111111111,0.8333333333333334,0.8333333333333334,0.6666666666666666,0.8888888888888888,1,1
OPSB_ASPFU,FALSE,23,FUNCTION: Probable GPI-anchored aspartic-type endopeptidase which contributes to virulence (By similarity).,VIRULENCE,NA,0.9555555555555556,0.6666666666666666,1,1,1,1,1
Q8J0U4_LEPMC,FALSE,24,Unknown,VIRULENCE,NA,0.9333333333333333,0.8333333333333334,1,0.6666666666666666,1,1,0.9411764705882353
Q5APK9_CANAL,FALSE,25,CAUTION: The sequence shown here is derived from an EMBL/GenBank/DDBJ whole genome shotgun (WGS) entry which is preliminary data.,VIRULENCE,NA,0.8888888888888888,0.8333333333333334,1,1,1,0.5,0.8823529411764706
abH22,FALSE,26,NA,LED,NA,0.9333333333333333,1,1,1,0.8888888888888888,0.5,1
GH64,TRUE,27,"beta-1,3-glucanase (EC 3.2.1.39)",CAZYME,NA,0.9555555555555556,1,1,1,1,0.5,1
GH95,TRUE,28,"alpha-L-fucosidase (EC 3.2.1.51); alpha-1,2-L-fucosidase (EC 3.2.1.63); alpha-L-galactosidase (EC 3.2.1.-)",CAZYME,NA,0.9777777777777777,1,1,1,1,0.75,1
GH63,FALSE,29,"processing alpha-glucosidase (EC 3.2.1.106); alpha-1,3-glucosidase (EC 3.2.1.84); alpha-glucosidase (EC 3.2.1.20); mannosylglycerate alpha-mannosidase / mannosylglycerate hydrolase (EC 3.2.1.170)",CAZYME,NA,0.8888888888888888,0.6666666666666666,0.8333333333333334,1,0.8888888888888888,0.75,1
AA1_2,FALSE,30,NA,NA,NA,0.9333333333333333,0.8333333333333334,1,1,0.7777777777777778,1,1
Q6WER3_GIBZA,FALSE,31,Unknown,VIRULENCE,NA,0.9333333333333333,0.8333333333333334,1,0.6666666666666666,1,1,0.9411764705882353
GH89,FALSE,32,alpha-N-acetylglucosaminidase (EC 3.2.1.50),CAZYME,NA,0.9333333333333333,1,1,1,1,0.75,0.8823529411764706
GH31,FALSE,33,"alpha-glucosidase (EC 3.2.1.20); alpha-galactosidase (EC 3.2.1.22); alpha-mannosidase (EC 3.2.1.24); alpha-1,3-glucosidase (EC 3.2.1.84); sucrase-isomaltase (EC 3.2.1.48) (EC 3.2.1.10); alpha-xylosidase (EC 3.2.1.177); alpha-glucan lyase (EC 4.2.2.13); isomaltosyltransferase (EC 2.4.1.-); oligosaccharide alpha-1,4-glucosyltransferase (EC 2.4.1.161); sulfoquinovosidase (EC 3.2.1.-)",CAZYME,NA,0.9555555555555556,1,1,1,1,1,0.8823529411764706
Q5AJC0_CANAL,FALSE,34,CAUTION: The sequence shown here is derived from an EMBL/GenBank/DDBJ whole genome shotgun (WGS) entry which is preliminary data.,VIRULENCE,NA,0.9777777777777777,1,1,1,1,1,0.9411764705882353
Q9HFZ2_CANAL,TRUE,35,Unknown,VIRULENCE,NA,0.9555555555555556,1,1,1,1,0.75,0.9411764705882353
abH16,TRUE,36,NA,LED,NA,0.9777777777777777,1,1,1,1,0.75,1
abH19,TRUE,37,NA,LED,NA,0.9555555555555556,1,0.8333333333333334,1,1,0.75,1
GH132,TRUE,38,"Activity on beta-1,3-glucan (curdlan) shown for the Aspergillus fumigatus Sun4 protein; activity on laminarioligosaccharides shown for Aspergillus fumigatus Sun4 protein and Candida albicans Sun41 protein; transglycosylation activity reported in PMID 23508952.",CAZYME,NA,0.9333333333333333,0.8333333333333334,0.8333333333333334,1,1,1,0.9411764705882353
3003392,TRUE,39,Mycobacterium tuberculosis katG mutations conferring resistance to isoniazid,CARD,"katG is a catalase-peroxidase that catalyzes the activation of isoniazid. Isoniazid inhibits mycolic acid synthesis, which prevents cell wall synthesis in mycobacteria. Mutations in katG results in inability to activate isoniazid. Over 280 different mutations have been documented in PubMed for katG, with mutations to Ser315 being the most prevalent.",0.9777777777777777,1,1,1,1,1,0.9411764705882353
KATG_PENMA,TRUE,40,FUNCTION: Bifunctional enzyme with both catalase and broad- spectrum peroxidase activity (By similarity). May be involved in protection from the host during host infection.,VIRULENCE,NA,0.9777777777777777,1,1,1,1,1,0.9411764705882353
Q4PDC7_USTMA,TRUE,41,CAUTION: The sequence shown here is derived from an EMBL/GenBank/DDBJ whole genome shotgun (WGS) entry which is preliminary data.,VIRULENCE,NA,0.9777777777777777,0.8333333333333334,1,1,1,1,1
A4QPV0_MAGO7,TRUE,42,SIMILARITY: Belongs to the RNase T2 family.,VIRULENCE,NA,0.9777777777777777,1,1,0.6666666666666666,1,1,1
SED1_ASPFU,TRUE,43,FUNCTION: Secreted tripeptidyl-peptidase which degrades proteins at acidic pHs and is involved in virulence.,VIRULENCE,NA,1,1,1,1,1,1,1
Q99324_SEPLY,TRUE,44,Unknown,VIRULENCE,NA,1,1,1,1,1,1,1
Q8J1Y3_BEABA,TRUE,45,SIMILARITY: Belongs to the glycosyl hydrolase 18 family.,VIRULENCE,NA,1,1,1,1,1,1,1
Q59NY2_CANAL,TRUE,46,CAUTION: The sequence shown here is derived from an EMBL/GenBank/DDBJ whole genome shotgun (WGS) entry which is preliminary data.,VIRULENCE,NA,1,1,1,1,1,1,1
Q2VLJ1_GIBZA,TRUE,47,Unknown,VIRULENCE,NA,1,1,1,1,1,1,1
Q2KN79_FUSOX,TRUE,48,Unknown,VIRULENCE,NA,1,1,1,1,1,1,1
PEPA_ASPFC,TRUE,49,FUNCTION: Secreted aspartic endopeptidase that allows assimilation of proteinaceous substrates. Can catalyze hydrolysis of the major structural proteins of basement membrane,VIRULENCE,NA,1,1,1,1,1,1,1
ORYZ_ASPFC,TRUE,50,FUNCTION: Secreted alkaline protease that allows assimilation of proteinaceous substrates (By similarity). Acts as a significant virulence factor in invasive aspergillosis. Involved in immune evasion from the human and mice complement systems during infection. Efficiently cleaves important components of the complement cascade such as such as C3,VIRULENCE,NA,1,1,1,1,1,1,1
O59928_HYPVI,TRUE,51,SIMILARITY: Belongs to the glycosyl hydrolase 18 family.,VIRULENCE,NA,1,1,1,1,1,1,1
GH92,TRUE,52,"mannosyl-oligosaccharide alpha-1,2-mannosidase (EC 3.2.1.113); mannosyl-oligosaccharide alpha-1,3-mannosidase (EC 3.2.1.-);",CAZYME,NA,1,1,1,1,1,1,1
GH76,TRUE,53,"alpha-1,6-mannanase (EC 3.2.1.101)",CAZYME,NA,1,1,1,1,1,1,1
GH72,TRUE,54,"beta-1,3-glucanosyltransglycosylase (EC 2.4.1.-)",CAZYME,NA,1,1,1,1,1,1,1
GH55,TRUE,55,"exo-beta-1,3-glucanase (EC 3.2.1.58); endo-beta-1,3-glucanase (EC 3.2.1.39)",CAZYME,NA,1,1,1,1,1,1,1
GH47,TRUE,56,alpha-mannosidase (EC 3.2.1.113),CAZYME,NA,1,1,1,1,1,1,1
GH3,TRUE,57,"beta-glucosidase (EC 3.2.1.21); xylan 1,4-beta-xylosidase (EC 3.2.1.37); beta-glucosylceramidase (EC 3.2.1.45); beta-N-acetylhexosaminidase (EC 3.2.1.52); alpha-L-arabinofuranosidase (EC 3.2.1.55); glucan 1,3-beta-glucosidase (EC 3.2.1.58); glucan 1,4-beta-glucosidase (EC 3.2.1.74); isoprimeverose-producing oligoxyloglucan hydrolase (EC 3.2.1.120); coniferin beta-glucosidase (EC 3.2.1.126); exo-1,3-1,4-glucanase (EC 3.2.1.-); beta-N-acetylglucosaminide phosphorylases (EC 2.4.1.-)",CAZYME,NA,1,1,1,1,1,1,1
