tool,annotation,Coral,Higher,Hypomyces_Cladobotryum,Leafcutter,Lower,Trichoderma
MEROPS,MER0378941,0,0,1,0,0,1
MEROPS,MER0840616,1,1,1,1,0,1
MEROPS,MER0064675,0,0,1,0,0,0
MEROPS,MER0032527,0,0,1,0,1,1
MEROPS,MER0231449,1,0,0,0,0,0
MEROPS,MER0273140,1,0,1,0,0,1
MEROPS,MER0449810,0,0,1,0,1,1
MEROPS,MER0060251,0,1,0,1,1,1
MEROPS,MER0336375,0,1,1,1,0,1
MEROPS,MER0196654,0,1,0,1,1,0
MEROPS,MER0211267,0.5,1,0,1,0,0
NA,NA,NA,NA,NA,NA,NA,NA
MEROPS,MER0216173,0,0,1,0,0,1
MEROPS,MER0460383,1,1,1,1,0,0
MEROPS,MER1286597,1,1,0,1,0.5,0
MEROPS,MER0882052,0.5,1,0,1,0,1
MEROPS,MER0228619,0,0,1,0,0,1
MEROPS,MER1073277,0,0,1,0,1,0
MEROPS,MER0093089,0,0,3,0,0,1
MEROPS,MER0349890,0,0,1,0,0,0
MEROPS,MER1228871,0,1,0,1,0,0
MEROPS,MER0064212,0,0,1,0,1,0
MEROPS,MER0279945,0,0,0,0,1,0
MEROPS,MER0470378,1,1,0,1,0,1
MEROPS,MER0229183,0,0,1,0,0.5,1
MEROPS,MER0211021,1,1,1,1,0,1
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
MEROPS,MER1363300,4,2,1,1,1.5,1
MEROPS,MER1171441,1,1,0,1,0.5,0
MEROPS,MER1166028,1,1,0,1,0,0
MEROPS,MER1073675,0,1,1,1,1,0
MEROPS,MER1073108,0,0,1,0,1,2
MEROPS,MER1068763,0,0,0,0,0,1
MEROPS,MER0998632,0,1,1,1,1,0
MEROPS,MER0897711,0,0,1,0,0,1
MEROPS,MER0886703,0.5,1,1,1,1,0
MEROPS,MER0511213,0,0,1,0,0,0
MEROPS,MER0495465,1,1,1,1,0,0
MEROPS,MER0447929,1,1,0,1,0,1
MEROPS,MER0446788,0,0,1,0,0.5,1
MEROPS,MER0442673,1,1,0,1,0,0
MEROPS,MER0383686,1,1,1,1,1,0
MEROPS,MER0383630,1,1,0,1,0,0
MEROPS,MER0348177,0,0,1,0,1,1
MEROPS,MER0330953,1,0.5,0,1,0,0
MEROPS,MER0330937,0,0,0,0,1,0
MEROPS,MER0305143,0,0,0,1,0,0
MEROPS,A01.027,0,1,1,1,1,0
MEROPS,MER0113012,0,1,1,1,1,0
MEROPS,MER0060258,1,1,1,1,1,1
MEROPS,MER0314821,1,1,1,1,0,0
MEROPS,MER1298228,1,1,0,1,0,0
MEROPS,MER0149148,1,1,0,1,0,0
MEROPS,MER0293630,1,0,0,0,0,0
NA,NA,NA,NA,NA,NA,NA,NA
MEROPS,MER0060264,1,0,0,0,1,2
MEROPS,MER1184257,0,0,1,0,1,0
MEROPS,MER0214216,0.5,0,1,0,1,1
MEROPS,MER0383814,0,0,0,0,1,0
MEROPS,MER0263582,1,1,0,1,0,0
MEROPS,MER0378848,1,0,0,0,0,0
MEROPS,MER0313357,1,1,0,1,0,0
MEROPS,MER0282573,1,1,2,1,1,1
NA,NA,NA,NA,NA,NA,NA,NA
MEROPS,MER0243771,0,0,1,0,0,0
MEROPS,S09.951,0,1,1,1,1,0
MEROPS,MER0079834,1,0,2,0,1,0
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
MEROPS,MER0455281,0,1,1,1,1,1
MEROPS,MER0152984,1,1,1,1,1,1
MEROPS,MER0131793,0,0,0,0,0,1
NA,NA,NA,NA,NA,NA,NA,NA
