Gene	interpro	SUPERFAMILY	PANTHER	Gene3D	ProSiteProfiles	GO	SFLD	CDD	Pfam	ProSitePatterns	PATHWAY	SignalP_GRAM_POSITIVE	TIGRFAM	Coils	MobiDBLite	SMART	Phobius	TMHMM	PIRSF	SignalP_GRAM_NEGATIVE	SignalP_EUK	PRINTS	Hamap	ProDom
snap_masked-RZGP01000007.1-processed-gene-34.190-mRNA-1	IPR036249	SSF52833;SSF47616	PTHR44051:SF5;PTHR44051	G3DSA:3.40.30.10;G3DSA:1.20.1050.10	PS50405;PS50404	GO:0005515	SFLDG00358;SFLDS00019	cd03048	PF00043;PF13417	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-RZGP01000002.1-augustus-gene-6.113-mRNA-1	IPR006094	SSF56176	PTHR42973:SF21;PTHR42973	G3DSA:3.30.465.40	PS51387	GO:0016491;GO:0050660;GO:0055114;GO:0071949	NA	NA	PF01565	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-RZGP01000006.1-snap-gene-15.65-mRNA-1	IPR016162	SSF53720	PTHR42862	G3DSA:3.40.605.10;G3DSA:3.40.309.10	NA	GO:0016491;GO:0055114;GO:0016620;GO:0003842;GO:0010133	NA	cd07123	PF00171	PS00687;PS00070	KEGG: 00250+1.2.1.88|KEGG: 00330+1.2.1.88|MetaCyc: PWY-6853|Reactome: R-HSA-389661|Reactome: R-HSA-70688	SignalP-TM	TIGR01236	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-RZGP01000003.1-processed-gene-21.28-mRNA-1	IPR019734	SSF48452	PTHR12558:SF9;PTHR12558	NA	PS50005;PS50293	GO:0005515	NA	NA	PF13432;PF13181;PF12895	NA	NA	NA	NA	Coil	mobidb-lite	SM00028	NA	NA	NA	NA	NA	NA	NA	NA
maker-RZGP01000006.1-snap-gene-47.54-mRNA-1	IPR004254	NA	PTHR20855:SF52;PTHR20855	NA	NA	GO:0016021	NA	NA	PF03006	NA	NA	NA	NA	NA	mobidb-lite	NA	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	NA	NA	NA	NA	NA	NA
maker-RZGP01000008.1-snap-gene-29.52-mRNA-1	IPR025856	NA	PTHR13428:SF7;PTHR13428	NA	NA		NA	cd12935	PF12949;PF09402	NA	Reactome: R-HSA-2993913|Reactome: R-HSA-2995383|Reactome: R-HSA-4419969	NA	NA	Coil	mobidb-lite	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA
snap_masked-RZGP01000008.1-processed-gene-13.144-mRNA-1	IPR001611	SSF52075	PTHR15454;PTHR15454:SF17	G3DSA:3.80.10.10	PS51450	GO:0005515	NA	NA	PF13855	NA	NA	NA	NA	NA	mobidb-lite	SM00369	NA	NA	NA	NA	NA	NA	NA	NA
maker-RZGP01000002.1-snap-gene-39.30-mRNA-1	IPR011701	SSF103473	PTHR23514:SF3;PTHR23514	G3DSA:1.20.1250.20	PS50850	GO:0016021;GO:0055085	NA	cd06174	PF07690	NA	NA	NA	NA	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	NA	NA	NA	NA	NA	NA
maker-RZGP01000002.1-snap-gene-12.192-mRNA-1	IPR004840	NA	PTHR43341:SF9;PTHR43341	G3DSA:1.20.1740.10	NA	GO:0006865;GO:0016021;GO:0055085;GO:0016020;GO:0022857	NA	NA	PF00324	PS00218	NA	NA	NA	NA	mobidb-lite	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	PIRSF006060	NA	NA	NA	NA	NA
snap_masked-RZGP01000005.1-processed-gene-42.7-mRNA-1	IPR011047	SSF50998	PTHR21573	G3DSA:2.130.10.10	NA	GO:0005515;GO:0072546	NA	NA	PF07774;PF13360	NA	NA	NA	NA	NA	NA	SM00564	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;TRANSMEMBRANE;SIGNAL_PEPTIDE_N_REGION;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION	NA	NA	SignalP-noTM	SignalP-noTM	NA	NA	NA
snap_masked-RZGP01000005.1-processed-gene-34.43-mRNA-1	IPR002735	SSF100966;SSF75689;SSF48371	PTHR23001;PTHR23001:SF7	G3DSA:2.20.25.350;G3DSA:1.25.40.180;G3DSA:3.30.30.50	PS51363	GO:0003743;GO:0006413;GO:0005515	NA	cd11561	PF01873;PF02020	NA	Reactome: R-HSA-72702|Reactome: R-HSA-72706	NA	NA	NA	mobidb-lite	SM00515;SM00653	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-RZGP01000005.1-processed-gene-16.3-mRNA-1	IPR008427	NA	PTHR35607	NA	NA	NA	NA	NA	PF05730	NA	NA	NA	NA	NA	mobidb-lite	SM00747	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE	NA	NA	SignalP-noTM	SignalP-noTM	NA	NA	NA
maker-RZGP01000005.1-snap-gene-30.33-mRNA-1	IPR036770	SSF53474;SSF48403;SSF52540	PTHR10039;PTHR10039:SF5	G3DSA:1.25.40.20;G3DSA:3.40.50.1820;G3DSA:3.40.50.300	NA	GO:0032126;GO:0070941	NA	cd00204	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-RZGP01000003.1-processed-gene-25.135-mRNA-1	IPR001680	SSF50978	PTHR44111	G3DSA:2.130.10.10	PS50082;PS50294	GO:0005515;GO:0002098;GO:0033588	NA	NA	PF00400	PS00678	Reactome: R-HSA-3214847	NA	NA	NA	NA	SM00320	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-RZGP01000002.1-processed-gene-28.37-mRNA-1	IPR029060	SSF88723;SSF47807	PTHR16171:SF7;PTHR16171	G3DSA:3.40.50.1010	NA	GO:0004518;GO:0006281;GO:0003697;GO:0004519;GO:0005634;GO:0006289;GO:0016788;GO:0003677;GO:0003824	NA	cd09904;cd09868	PF00752;PF00867	PS00842	Reactome: R-HSA-5696395|Reactome: R-HSA-5696400|Reactome: R-HSA-6782135	NA	NA	Coil	mobidb-lite	SM00485;SM00484;SM00279	NA	NA	NA	NA	NA	PR00066;PR00853	NA	NA
snap_masked-RZGP01000002.1-processed-gene-54.9-mRNA-1	IPR012338	SSF56601	PTHR22935:SF85;PTHR22935	G3DSA:3.40.710.10	NA	NA	NA	NA	PF00144	NA	NA	NA	NA	NA	NA	NA	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE	NA	NA	NA	SignalP-noTM	NA	NA	NA
snap_masked-RZGP01000002.1-processed-gene-69.34-mRNA-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-RZGP01000006.1-snap-gene-28.172-mRNA-1	IPR004813	NA	PTHR22601:SF9;PTHR22601	NA	NA	GO:0055085	NA	NA	PF03169	NA	NA	NA	TIGR00727;TIGR00728	NA	NA	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA
maker-RZGP01000007.1-snap-gene-21.219-mRNA-1	IPR000644	SSF81340;SSF54631	PTHR11689:SF93;PTHR11689	G3DSA:3.10.580.20;G3DSA:3.90.1280.20;G3DSA:1.10.3080.10	PS51371	GO:0005247;GO:0006821;GO:0016020;GO:0055085	NA	cd03684;cd04591	PF00654;PF00571	NA	Reactome: R-HSA-2672351	NA	NA	NA	NA	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	PR00762	NA	NA
snap_masked-RZGP01000007.1-processed-gene-4.56-mRNA-1	IPR001763	SSF52799;SSF52821	PTHR19134:SF364;PTHR19134	G3DSA:3.40.250.10	PS50206;PS50056;PS50055	GO:0004725;GO:0006470;GO:0016311;GO:0016791	NA	cd01446;cd00047	PF00581;PF00102	PS00383	NA	NA	NA	NA	mobidb-lite	SM00194;SM00404;SM00450	NA	NA	NA	NA	NA	PR00700	NA	NA
maker-RZGP01000007.1-snap-gene-3.22-mRNA-1	IPR014043	SSF53901;SSF52151;SSF55048	PTHR43775:SF10;PTHR43775	G3DSA:3.40.47.10;G3DSA:3.30.70.3290;G3DSA:3.40.366.10;G3DSA:3.30.70.250	NA	GO:0003824;GO:0016740	NA	cd00833	PF00698;PF02801;PF16197;PF00109	NA	Reactome: R-HSA-163765|Reactome: R-HSA-199220|Reactome: R-HSA-2426168|Reactome: R-HSA-75105	NA	NA	NA	mobidb-lite	SM00825;SM00827	NA	NA	NA	NA	NA	NA	NA	NA
maker-RZGP01000006.1-augustus-gene-22.0-mRNA-1	IPR005599	NA	PTHR22760;PTHR22760:SF1	NA	NA	GO:0016757;GO:0005788;GO:0006488;GO:0052824	NA	NA	PF03901	NA	KEGG: 00510+2.4.1.260|KEGG: 00513+2.4.1.260|Reactome: R-HSA-446193|Reactome: R-HSA-4720489	NA	NA	NA	NA	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA
augustus_masked-RZGP01000007.1-processed-gene-40.107-mRNA-1	IPR036396	SSF48264	PTHR24305;PTHR24305:SF92	G3DSA:1.10.630.10	NA	GO:0005506;GO:0016705;GO:0020037;GO:0055114	NA	NA	PF00067	PS00086	NA	NA	NA	NA	NA	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	PR00463;PR00385	NA	NA
maker-RZGP01000009.1-snap-gene-1.201-mRNA-1	IPR036188	SSF51905	PTHR42923;PTHR42923:SF16	G3DSA:3.50.50.60	NA	GO:0016491;GO:0055114	NA	NA	PF01593	NA	NA	NA	NA	NA	NA	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA
maker-RZGP01000008.1-augustus-gene-24.194-mRNA-1	IPR001623	SSF46565;SSF49493;SSF57938	PTHR43888	G3DSA:1.10.287.110;G3DSA:2.60.260.20;G3DSA:2.10.230.10	PS50076;PS51188	GO:0031072;GO:0051082;GO:0005524;GO:0006457;GO:0009408	NA	cd10719;cd10747;cd06257	PF01556;PF00684;PF00226	PS00636	NA	NA	NA	NA	mobidb-lite	SM00271	NA	NA	NA	NA	NA	PR00625	MF_01152	NA
maker-RZGP01000008.1-snap-gene-54.28-mRNA-1	IPR011032	SSF50129;SSF51735	PTHR42975	G3DSA:3.40.50.720;G3DSA:3.90.180.10	NA	GO:0016491;GO:0008270;GO:0055114	NA	cd05286	PF00107;PF08240	PS01162	NA	NA	NA	NA	NA	SM00829	NA	NA	NA	NA	NA	NA	NA	NA
