Gene	interpro	Pfam	Phobius	SUPERFAMILY	TMHMM	PANTHER	MobiDBLite	Gene3D	Coils	GO	SMART	PATHWAY	PRINTS	ProSitePatterns	CDD	ProSiteProfiles	SignalP_GRAM_POSITIVE	PIRSF	Hamap	TIGRFAM	SignalP_EUK	SignalP_GRAM_NEGATIVE	SFLD	ProDom
PTB53266.1	IPR007577	PF04488	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	SSF53448	TMhelix	PTHR32385;PTHR32385:SF15	mobidb-lite	G3DSA:3.90.550.20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB57511.1	IPR015362	PF09282	NA	SSF101931	NA	PTHR22959	mobidb-lite	NA	Coil	GO:1903259	SM01273	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB52973.1	IPR038299	PF16901;PF01266	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN	SSF54373;SSF51905	NA	PTHR11985;PTHR11985:SF15	NA	G3DSA:1.10.8.870;G3DSA:3.50.50.60;G3DSA:3.30.9.10	NA	GO:0004368;GO:0006072;GO:0009331;GO:0055114;GO:0016491	NA	KEGG: 00564+1.1.5.3|MetaCyc: PWY-4261|MetaCyc: PWY-6118|MetaCyc: PWY-6952|Reactome: R-HSA-1483166|Reactome: R-HSA-163560	PR01001	PS00978	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB56168.1	IPR027131	PF02463	NA	SSF52540	NA	PTHR19306;PTHR19306:SF1	mobidb-lite	G3DSA:3.40.50.300	Coil	GO:0000724;GO:0006281;GO:0007062;GO:0030915	NA	Reactome: R-HSA-3108214	NA	NA	cd03277	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB49534.1	IPR020846	PF07690	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	SSF103473	TMhelix	PTHR43791;PTHR43791:SF26	NA	G3DSA:1.20.1250.20	NA	GO:0016021;GO:0055085	NA	NA	NA	NA	cd06174	PS50850	NA	NA	NA	NA	NA	NA	NA	NA
PTB50794.1	IPR029058	NA	NA	SSF53474	NA	PTHR42654:SF3;PTHR42654	mobidb-lite	G3DSA:3.40.50.1820	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB53584.1	IPR013057	PF01490	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	TMhelix	PTHR22950:SF8;PTHR22950	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB48974.1	NA	NA	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	NA	TMhelix	PTHR35896;PTHR35896:SF3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB55822.1	NA	NA	NA	NA	NA	PTHR39610:SF1;PTHR39610	mobidb-lite	NA	Coil	NA	NA	NA	NA	NA	cd14653	NA	SignalP-TM	NA	NA	NA	NA	NA	NA	NA
PTB49370.1	IPR011990	PF13975;PF13650	NA	SSF48452;SSF50630	NA	PTHR15696;PTHR15696:SF17	mobidb-lite	G3DSA:2.40.70.10	NA	GO:0005515	NA	NA	NA	NA	cd00303	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB54802.1	NA	NA	NA	NA	NA	PTHR42105	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB57519.1	IPR001781	PF00412;PF00620	NA	SSF57716;SSF48350	NA	PTHR24215:SF10;PTHR24215	mobidb-lite	G3DSA:2.10.110.10;G3DSA:1.10.555.10	NA	GO:0007165	SM00324;SM00132	Reactome: R-HSA-194840	NA	PS00478	cd09392;cd09393;cd09391	PS50023;PS50238	NA	NA	NA	NA	NA	NA	NA	NA
PTB58273.1	IPR001736	PF13091	NA	SSF56024	NA	PTHR12586;PTHR12586:SF1	NA	G3DSA:3.30.870.10	NA	GO:0003824;GO:0008444;GO:0032049	SM00155	Reactome: R-HSA-1483148	NA	NA	cd09137;cd09135	PS50035	SignalP-TM	PIRSF000850	NA	NA	NA	NA	NA	NA
PTB50332.1	IPR002048	PF00924	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	SSF50182	TMhelix	PTHR31323:SF7;PTHR31323	mobidb-lite	NA	NA	GO:0005509;GO:0016020;GO:0055085	SM00054	NA	NA	PS00018	NA	PS50222	NA	PIRSF017209	NA	NA	NA	NA	NA	NA
PTB54785.1	NA	NA	NA	NA	NA	PTHR38120	mobidb-lite	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB52384.1	IPR002355	PF00394;PF07731;PF07732	NA	SSF49503	NA	PTHR11709:SF145;PTHR11709	NA	G3DSA:2.60.40.420	NA	GO:0005507;GO:0055114;GO:0016491	NA	NA	NA	PS00080;PS00079	cd13901;cd13880	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTB53500.1	IPR036259	PF07690	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION	SSF103473	TMhelix	PTHR23502;PTHR23502:SF131	NA	G3DSA:1.20.1250.20	NA	GO:0016021;GO:0055085	NA	NA	NA	NA	cd06174	PS50850	NA	NA	NA	NA	NA	NA	NA	NA
PTB51559.1	IPR007248	PF04117	SIGNAL_PEPTIDE_C_REGION;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;TRANSMEMBRANE;SIGNAL_PEPTIDE	NA	TMhelix	PTHR11266:SF36;PTHR11266	mobidb-lite	NA	NA	GO:0016021	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
