Gene	MobiDBLite	Gene3D	CDD	interpro	SUPERFAMILY	PANTHER	GO	Pfam	ProSiteProfiles	Phobius	SignalP_EUK	SignalP_GRAM_POSITIVE	TMHMM	SMART	Coils	ProSitePatterns	PATHWAY	PIRSF	PRINTS	Hamap	SignalP_GRAM_NEGATIVE	SFLD	TIGRFAM	ProDom
maker-scaffold95-augustus-gene-0.34-mRNA-1	mobidb-lite	G3DSA:3.90.1200.10;G3DSA:3.30.200.20	cd05157	IPR011009	SSF56112	PTHR22603:SF67;PTHR22603	GO:0016773	PF04428;PF01633	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold5-snap-gene-1.2-mRNA-1	mobidb-lite	NA	NA	IPR007557	NA	PTHR43830;PTHR43830:SF3	NA	PF04468	PS51411	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-scaffold32-processed-gene-0.146-mRNA-1	NA	NA	NA	NA	SSF159245	NA	NA	NA	NA	SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION	SignalP-noTM	SignalP-TM	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-scaffold48-processed-gene-0.66-mRNA-1	mobidb-lite	NA	NA	IPR007248	NA	PTHR11266:SF23;PTHR11266	GO:0016021	PF04117	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	NA	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold43-snap-gene-0.280-mRNA-1	mobidb-lite	G3DSA:1.10.260.100;G3DSA:1.25.40.10	NA	IPR013026	SSF48452	PTHR22904;PTHR22904:SF488	GO:0005515	PF17830;PF13181;PF13424	PS50293;PS50005	NA	NA	NA	NA	SM00028;SM00727	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold115-augustus-gene-0.203-mRNA-1	mobidb-lite	G3DSA:3.10.20.90;G3DSA:1.20.225.20	cd01769	IPR032752	SSF54236	PTHR13609:SF4;PTHR13609	GO:0005515	PF16455;PF00240	PS50053	NA	NA	NA	NA	SM00213	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-scaffold84-augustus-gene-0.13-mRNA-1	mobidb-lite	G3DSA:3.40.50.300;G3DSA:1.20.1560.10	cd03253	IPR027417	SSF52540;SSF90123	PTHR24221;PTHR24221:SF406	GO:0005524;GO:0016021;GO:0042626;GO:0055085;GO:0016887	PF00664;PF00005	PS50893;PS50929	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	TMhelix	SM00382	Coil	PS00211	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-scaffold143-processed-gene-0.14-mRNA-1	mobidb-lite	G3DSA:3.20.20.70	cd04824	IPR030656	SSF51569	PTHR11458	GO:0004655;GO:0033014;GO:0046872;GO:0003824	PF00490	NA	NA	NA	NA	NA	SM01004	NA	PS00169	KEGG: 00860+4.2.1.24|MetaCyc: PWY-5188|MetaCyc: PWY-5189|Reactome: R-HSA-189451|Reactome: R-HSA-6798695	PIRSF001415	PR00144	NA	NA	NA	NA	NA
augustus_masked-scaffold12-processed-gene-1.139-mRNA-1	mobidb-lite	G3DSA:1.10.357.140	cd13957	IPR006369	NA	PTHR43448;PTHR43448:SF2	GO:0008495;GO:0016021;GO:0048034;GO:0006783;GO:0031966;GO:0016765	PF01040	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	NA	TMhelix	NA	NA	PS00943	Reactome: R-HSA-189451	PIRSF001773	NA	MF_00154	NA	NA	NA	NA
augustus_masked-scaffold58-processed-gene-0.368-mRNA-1	NA	G3DSA:3.20.20.70	cd01335	IPR007197	SSF102114	PTHR21339	GO:0003824;GO:0051536	PF04055;PF13353	NA	SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE	SignalP-noTM	NA	TMhelix	SM00729	NA	NA	NA	NA	NA	NA	SignalP-noTM	SFLDF00318;SFLDS00029;SFLDG01067	NA	NA
