Gene	Gene3D	TMHMM	Phobius	PANTHER	SUPERFAMILY	interpro	GO	PATHWAY	Pfam	PIRSF	MobiDBLite	SMART	Coils	ProSiteProfiles	CDD	SignalP_EUK	SignalP_GRAM_NEGATIVE	SignalP_GRAM_POSITIVE	ProSitePatterns	Hamap	PRINTS	TIGRFAM	SFLD	ProDom
maker-NODE_15_length_126495_cov_31.200027-augustus-gene-0.35-mRNA-1	G3DSA:3.30.420.150;G3DSA:3.30.420.40	TMhelix	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	PTHR30005;PTHR30005:SF0	SSF53067	IPR003695		KEGG: 00230+3.6.1.40	PF02541	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_208_length_42611_cov_32.338104-processed-gene-0.5-mRNA-1	G3DSA:1.20.1740.10	TMhelix	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	PTHR11785;PTHR11785:SF432	NA	IPR002293	GO:0016020;GO:0022857;GO:0055085	NA	PF13520	PIRSF006060	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_126_length_55868_cov_30.864947-processed-gene-0.9-mRNA-1	G3DSA:3.40.50.10190;G3DSA:1.20.58.1280;G3DSA:1.10.150.20;G3DSA:3.30.70.270;G3DSA:2.30.40.20;G3DSA:3.30.1490.100	NA	NA	PTHR11076;PTHR11076:SF12	SSF100879;SSF52113;SSF56672	IPR036775	GO:0003684;GO:0006281;GO:0016779;GO:0042276	KEGG: 00230+2.7.7.7|KEGG: 00240+2.7.7.7|Reactome: R-HSA-5656169	PF00817;PF16727;PF11799;PF16589;PF14377	PIRSF036573	mobidb-lite	SM00292	Coil	PS50173;PS50172	cd01701;cd00027	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_242_length_39628_cov_29.011569-augustus-gene-0.14-mRNA-1	NA	TMhelix	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;TRANSMEMBRANE	PTHR42028	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	SignalP-noTM	SignalP-noTM	SignalP-TM	NA	NA	NA	NA	NA	NA
maker-NODE_34_length_91511_cov_30.626379-augustus-gene-0.7-mRNA-1	G3DSA:1.10.10.750;G3DSA:1.20.5.340;G3DSA:1.10.472.80;G3DSA:1.10.8.270	NA	NA	PTHR22957;PTHR22957:SF439	SSF47923	IPR000195	NA	NA	PF00566	NA	mobidb-lite	SM00164	Coil	PS50086	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_148_length_52023_cov_29.616136-processed-gene-0.14-mRNA-1	G3DSA:3.20.20.80	NA	SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION	PTHR11177:SF195;PTHR11177	SSF51445	IPR017853	GO:0005975;GO:0004553	KEGG: 00520+3.2.1.14|MetaCyc: PWY-6855|MetaCyc: PWY-6902|MetaCyc: PWY-7822	PF00704	NA	NA	NA	NA	NA	cd02871	SignalP-noTM	SignalP-noTM	SignalP-TM	PS01095	NA	NA	NA	NA	NA
augustus_masked-NODE_11_length_135501_cov_31.577622-processed-gene-0.32-mRNA-1	G3DSA:2.40.30.10;G3DSA:3.40.50.80;G3DSA:3.40.50.360;G3DSA:1.20.990.10	TMhelix	NA	PTHR19384:SF17;PTHR19384	SSF63380;SSF52343;SSF52218	IPR017938	GO:0016491;GO:0055114;GO:0003958;GO:0010181	Reactome: R-HSA-211897	PF00667;PF00258;PF00175	PIRSF000208	NA	NA	NA	PS50902;PS51384	NA	NA	NA	NA	NA	MF_03212	PR00369;PR00371	NA	NA	NA
augustus_masked-NODE_200_length_43764_cov_28.940120-processed-gene-0.7-mRNA-1	NA	TMhelix	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	PTHR10783;PTHR10783:SF46	NA	IPR004342	GO:0016021	NA	PF03124	NA	NA	NA	NA	PS51380	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_555_length_18070_cov_28.981999-augustus-gene-0.6-mRNA-1	G3DSA:1.20.1250.20	TMhelix	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	PTHR11360;PTHR11360:SF141	SSF103473	IPR020846	GO:0016021;GO:0055085	NA	PF07690	NA	mobidb-lite	NA	NA	PS50850	cd06174	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_241_length_39629_cov_28.539239-processed-gene-0.6-mRNA-1	NA	TMhelix	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	PTHR12952;PTHR12952:SF0	NA	IPR019185	NA	NA	PF09801	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
