Gene	interpro	SMART	MobiDBLite	GO	SUPERFAMILY	Gene3D	Pfam	PANTHER	PATHWAY	ProSiteProfiles	CDD	ProSitePatterns	Phobius	TMHMM	PRINTS	Coils	SignalP_EUK	Hamap	PIRSF	SignalP_GRAM_NEGATIVE	SignalP_GRAM_POSITIVE	TIGRFAM	SFLD	ProDom
maker-NODE_216_length_35051_cov_11.015147-snap-gene-0.9-mRNA-1	IPR006553	SM00367	mobidb-lite	GO:0005515	SSF81383;SSF52047	G3DSA:3.80.10.10	PF12937;PF13516	PTHR44001	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_12_length_114886_cov_12.062792-augustus-gene-0.53-mRNA-1	IPR006590	SM00657	NA	GO:0005666;GO:0006384;GO:0006352;GO:0030880;GO:0000166;GO:0003824;GO:0044237	SSF47819	G3DSA:1.20.1250.40	PF03874	PTHR15561	Reactome: R-HSA-1834949|Reactome: R-HSA-73780|Reactome: R-HSA-73980|Reactome: R-HSA-749476|Reactome: R-HSA-76061|Reactome: R-HSA-76066|Reactome: R-HSA-76071	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_4_length_152041_cov_14.124794-snap-gene-0.115-mRNA-1	IPR016036	SM00825;SM00826;SM00827;SM00822;SM00823	mobidb-lite	GO:0003824;GO:0016740;GO:0031177	SSF55048;SSF47336;SSF52777;SSF52151;SSF53335;SSF53901;SSF51735;SSF56801	G3DSA:3.40.50.720;G3DSA:3.40.47.10;G3DSA:3.40.366.10;G3DSA:3.40.50.12780;G3DSA:3.30.559.30;G3DSA:1.10.1200.10;G3DSA:3.10.129.110;G3DSA:3.30.559.10;G3DSA:3.40.50.150;G3DSA:3.30.300.30	PF00109;PF08242;PF16197;PF00501;PF00550;PF00668;PF08659;PF00698;PF07993;PF14765;PF02801	PTHR43775;PTHR43775:SF19	Reactome: R-HSA-163765|Reactome: R-HSA-199220|Reactome: R-HSA-2426168|Reactome: R-HSA-75105	PS50075	cd02440;cd00833;cd05930	PS00012;PS00606;PS00455	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_19_length_100030_cov_13.772870-processed-gene-0.25-mRNA-1	IPR008276	NA	mobidb-lite	GO:0005337;GO:0016020;GO:1901642	NA	NA	PF01773;PF07662	PTHR10590:SF4;PTHR10590	Reactome: R-HSA-83936	NA	NA	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_212_length_35587_cov_10.589509-augustus-gene-0.2-mRNA-1	IPR016156	NA	NA	GO:0016491;GO:0050660;GO:0055114;GO:0051537	SSF55424;SSF51905;SSF50022	G3DSA:2.102.10.10;G3DSA:3.50.50.60	PF07992;PF00355	PTHR43557:SF2;PTHR43557	NA	PS51296	NA	NA	NA	NA	PR00368;PR00411	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_7_length_129899_cov_13.674213-snap-gene-0.1-mRNA-1	IPR036388	SM00715;SM00360	mobidb-lite	GO:0003676;GO:0003723;GO:0005634;GO:0006396;GO:1990904	SSF46785;SSF54928	G3DSA:1.10.10.10;G3DSA:3.30.70.330	PF05383;PF00076	PTHR22792;PTHR22792:SF100	NA	PS50961;PS50102	cd12291	NA	NA	NA	PR00302	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_394_length_20758_cov_13.394746-augustus-gene-0.23-mRNA-1	IPR001452	SM00147;SM00229;SM00326	mobidb-lite	GO:0005515;GO:0005085;GO:0007264;GO:0005622	SSF50044;SSF48366	G3DSA:2.30.30.40;G3DSA:1.20.870.10;G3DSA:1.10.840.10	PF00018;PF00618;PF00617	PTHR23113:SF311;PTHR23113	NA	PS50002;PS50009;PS50212	cd06224;cd00155;cd11883	PS00720	NA	NA	PR00452	Coil	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_38_length_83942_cov_15.047020-snap-gene-0.46-mRNA-1	IPR010640	NA	NA	NA	NA	NA	PF06772	PTHR42101	NA	NA	NA	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_348_length_23951_cov_13.137089-snap-gene-0.3-mRNA-1	IPR021840	NA	NA	NA	NA	NA	PF11915	PTHR37544:SF2;PTHR37544	NA	NA	NA	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION	TMhelix	NA	NA	SignalP-noTM	NA	NA	NA	NA	NA	NA	NA
maker-NODE_200_length_36261_cov_13.770189-snap-gene-0.18-mRNA-1	IPR017865	NA	NA	GO:0008290;GO:0051016	SSF90096	G3DSA:1.20.1290.20;G3DSA:2.40.160.80	PF01267	PTHR10653:SF0;PTHR10653	Reactome: R-HSA-2132295|Reactome: R-HSA-3371497|Reactome: R-HSA-6807878|Reactome: R-HSA-6811436	NA	NA	PS00749;PS00748	NA	NA	PR00191	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_2_length_158552_cov_13.793940-augustus-gene-0.310-mRNA-1	IPR017861	NA	mobidb-lite	GO:0002949;GO:0004222	SSF53067	G3DSA:3.30.420.40	PF00814	PTHR11735:SF6;PTHR11735	Reactome: R-HSA-6782315	NA	NA	PS01016	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	PR00789	Coil	NA	MF_01445	NA	NA	NA	NA	NA	NA
snap_masked-NODE_177_length_39508_cov_13.176659-processed-gene-0.89-mRNA-1	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_28_length_92642_cov_12.769562-processed-gene-0.250-mRNA-1	IPR004840	NA	NA	GO:0006865;GO:0016021;GO:0055085;GO:0016020;GO:0022857	NA	G3DSA:1.20.1740.10	PF00324	PTHR43341:SF9;PTHR43341	NA	NA	NA	PS00218	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	PIRSF006060	NA	NA	NA	NA	NA
snap_masked-NODE_36_length_87924_cov_14.182546-processed-gene-0.24-mRNA-1	IPR009360	NA	mobidb-lite	GO:0000350	SSF140102	G3DSA:1.10.287.660	PF06246	PTHR13021	Reactome: R-HSA-6781823|Reactome: R-HSA-6781827|Reactome: R-HSA-6782135|Reactome: R-HSA-6782210|Reactome: R-HSA-72163	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_76_length_64799_cov_11.503958-augustus-gene-0.26-mRNA-1	IPR008271	SM00220;SM00133	mobidb-lite	GO:0004672;GO:0006468;GO:0005524;GO:0004674	SSF56112	G3DSA:1.10.510.10;G3DSA:3.30.200.20	PF00069	PTHR24356:SF185;PTHR24356	NA	PS50011;PS51285	cd05600	PS00108;PS00107	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_110_length_51928_cov_13.075404-snap-gene-0.25-mRNA-1	IPR008564	NA	NA	GO:0016021	NA	NA	PF05832	PTHR13019;PTHR13019:SF7	NA	NA	NA	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_45_length_80866_cov_13.692627-snap-gene-0.200-mRNA-1	IPR011701	NA	mobidb-lite	GO:0016021;GO:0055085	SSF103473	G3DSA:1.20.1250.20	PF07690	PTHR11360:SF130;PTHR11360	NA	PS50850	cd06174	NA	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_3_length_155132_cov_13.519809-augustus-gene-0.256-mRNA-1	IPR029044	NA	mobidb-lite	GO:0000030;GO:0006486;GO:0016020	SSF53448	G3DSA:3.90.550.10	PF01793	PTHR31121	NA	NA	NA	NA	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE	TMhelix	NA	NA	SignalP-noTM	NA	NA	NA	NA	NA	NA	NA
