Gene	interpro	GO	Gene3D	ProSiteProfiles	Pfam	SMART	PANTHER	MobiDBLite	CDD	SUPERFAMILY	ProSitePatterns	Coils	PATHWAY	TIGRFAM	Phobius	TMHMM	Hamap	PIRSF	PRINTS	SignalP_EUK	SignalP_GRAM_POSITIVE	SignalP_GRAM_NEGATIVE	ProDom	SFLD
maker-NODE_136_length_70818_cov_48.631113-augustus-gene-0.1-mRNA-1	IPR036864	GO:0000981;GO:0005634;GO:0006355;GO:0008270	G3DSA:4.10.240.10	PS50048	PF00172	SM00066	PTHR31313:SF25;PTHR31313	mobidb-lite	cd00067	SSF57701	PS00463	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_149_length_64014_cov_46.320316-processed-gene-0.13-mRNA-1	IPR025066	NA	NA	NA	PF13300	NA	PTHR15885	mobidb-lite	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_42_length_137852_cov_50.664985-augustus-gene-0.21-mRNA-1	IPR009061	GO:0003684;GO:0005634;GO:0006289	G3DSA:3.90.530.10	NA	PF05181	NA	PTHR10142	mobidb-lite	NA	SSF46955	PS00753	Coil	Reactome: R-HSA-5696395|Reactome: R-HSA-5696400|Reactome: R-HSA-6781823|Reactome: R-HSA-6782135	TIGR00598	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_24_length_183160_cov_40.450208-augustus-gene-0.63-mRNA-1	IPR020846	GO:0016020;GO:0022857;GO:0055085;GO:0016021;GO:0005215	G3DSA:1.20.1250.20	PS50850	PF00083	NA	PTHR23500;PTHR23500:SF145	mobidb-lite	cd06174	SSF103473	PS00216	NA	Reactome: R-HSA-189200	TIGR00879	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_315_length_23776_cov_31.214089-processed-gene-0.4-mRNA-1	IPR013785	GO:0003824;GO:0018580;GO:0055114	G3DSA:3.20.20.70	NA	PF03060	NA	PTHR32332:SF27;PTHR32332	NA	cd04730	SSF51412	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_123_length_74112_cov_47.436413-augustus-gene-0.5-mRNA-1	IPR005722	GO:0015986;GO:0045261;GO:0046933;GO:0046034;GO:1902600;GO:0005524	G3DSA:3.40.50.300;G3DSA:2.40.10.170;G3DSA:1.10.1140.10	NA	PF02874;PF00006	SM00382	PTHR15184:SF44;PTHR15184	NA	cd01133	SSF52540;SSF50615;SSF47917	PS00152	NA	Reactome: R-HSA-1268020|Reactome: R-HSA-163210|Reactome: R-HSA-2151201|Reactome: R-HSA-8949613	TIGR01039	NA	NA	MF_01347	PIRSF039072	NA	NA	NA	NA	NA	NA
maker-NODE_16_length_205114_cov_50.024787-augustus-gene-1.40-mRNA-1	IPR000462	GO:0008654;GO:0016020;GO:0016780	G3DSA:1.20.120.1760	NA	PF01066	NA	PTHR43043:SF1;PTHR43043	mobidb-lite	NA	NA	PS00379	NA	NA	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_128_length_72834_cov_48.084201-augustus-gene-0.27-mRNA-1	IPR014472	GO:0008654;GO:0016020;GO:0016780	G3DSA:1.20.120.1760	NA	PF01066	NA	PTHR10414;PTHR10414:SF37	NA	NA	NA	PS00379	NA	NA	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	PIRSF015665	NA	NA	NA	NA	NA	NA
maker-NODE_42_length_137852_cov_50.664985-augustus-gene-0.3-mRNA-1	IPR011701	GO:0016021;GO:0055085	G3DSA:1.20.1250.20	PS50850	PF07690	NA	PTHR11360;PTHR11360:SF125	mobidb-lite	cd06174	SSF103473	NA	NA	NA	NA	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_29_length_164543_cov_47.811217-processed-gene-0.59-mRNA-1	IPR033118	GO:0016021;GO:0016125;GO:0047750	NA	PS51751	PF05241	NA	PTHR14207;PTHR14207:SF0	NA	NA	NA	NA	NA	NA	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_8_length_304307_cov_47.353508-processed-gene-0.2-mRNA-1	IPR006186	GO:0016787	NA	NA	PF00149	SM00156	PTHR11668;PTHR11668:SF22	mobidb-lite	cd07415	SSF56300	PS00125	NA	KEGG: 04658+3.1.3.16|KEGG: 04660+3.1.3.16	NA	NA	NA	NA	PIRSF033096	PR00114	NA	NA	NA	NA	NA
