Gene	Phobius	TMHMM	MobiDBLite	interpro	GO	Pfam	TIGRFAM	PANTHER	SUPERFAMILY	Coils	Gene3D	ProDom	ProSiteProfiles	PATHWAY	ProSitePatterns	SMART	PRINTS	CDD	SignalP_GRAM_NEGATIVE	SignalP_EUK	SFLD	PIRSF	SignalP_GRAM_POSITIVE	Hamap
EHK22191.1	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	mobidb-lite	IPR004813	GO:0055085	PF03169	TIGR00728;TIGR00727	PTHR22601:SF16;PTHR22601	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK18349.1	NA	NA	mobidb-lite	IPR036322	GO:0005515	PF08149;PF00400	NA	PTHR14085	SSF50978	Coil	G3DSA:2.130.10.10	PD023243	PS50294;PS50082	Reactome: R-HSA-6790901|Reactome: R-HSA-6791226	PS00678	SM00320;SM01033	NA	NA	NA	NA	NA	NA	NA	NA
EHK20767.1	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	IPR005828	GO:0016021;GO:0022857;GO:0055085;GO:0016020	PF00083	TIGR00879	PTHR23500;PTHR23500:SF68	SSF103473	NA	G3DSA:1.20.1250.20	NA	PS50850	Reactome: R-HSA-189200	NA	NA	PR00171	cd06174	NA	NA	NA	NA	NA	NA
EHK17563.1	NA	NA	mobidb-lite	IPR017441	GO:0005524;GO:0004674;GO:0006468;GO:0004672	PF00069	NA	PTHR24356:SF299;PTHR24356	SSF56112	NA	G3DSA:3.30.200.20;G3DSA:1.10.510.10	NA	PS50011;PS51285	NA	PS00107;PS00108	SM00133;SM00220	NA	NA	NA	NA	NA	NA	NA	NA
EHK24630.1	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN	NA	NA	IPR001254	GO:0004252;GO:0006508	PF00089	NA	PTHR24276;PTHR24276:SF70	SSF50494	NA	G3DSA:2.40.10.10	NA	PS50240	NA	PS00134;PS00135	SM00020	PR00722	cd00190	SignalP-noTM	SignalP-noTM	NA	NA	NA	NA
EHK24921.1	NA	NA	mobidb-lite	IPR001370	GO:0003677	PF00653	NA	PTHR10044;PTHR10044:SF139	SSF57924	Coil	G3DSA:1.10.1170.10	NA	PS50143	NA	NA	SM00384;SM00238	PR00929	cd00022	NA	NA	NA	NA	NA	NA
EHK24847.1	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN	NA	mobidb-lite	IPR001650	GO:0006310;GO:0008026;GO:0003676;GO:0005524;GO:0006260;GO:0006281;GO:0043140	PF00271;PF16124;PF00270;PF09382	TIGR00614	PTHR13710;PTHR13710:SF105	SSF52540;SSF46785	Coil	G3DSA:1.10.150.80;G3DSA:3.40.50.300;G3DSA:1.10.10.10	NA	PS51192;PS51194	Reactome: R-HSA-3108214|Reactome: R-HSA-5685938|Reactome: R-HSA-5685942|Reactome: R-HSA-5693554|Reactome: R-HSA-5693568|Reactome: R-HSA-5693579|Reactome: R-HSA-5693607|Reactome: R-HSA-5693616|Reactome: R-HSA-6804756|Reactome: R-HSA-69473	PS00690	SM00956;SM00487;SM00490	NA	cd00079;cd00046	NA	NA	NA	NA	NA	NA
EHK17452.1	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	IPR021047	NA	PF11735	NA	PTHR34144;PTHR34144:SF5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK24958.1	SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;TRANSMEMBRANE;SIGNAL_PEPTIDE_N_REGION;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION	NA	NA	IPR036396	GO:0005506;GO:0016705;GO:0020037;GO:0055114;GO:0004497	PF00067	NA	PTHR24279:SF85;PTHR24279	SSF48264	NA	G3DSA:1.10.630.10	NA	NA	NA	PS00086	NA	PR00465	NA	NA	SignalP-noTM	NA	NA	NA	NA
EHK15917.1	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK27054.1	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	NA	IPR011701	GO:0016021;GO:0055085	PF07690	NA	PTHR23502:SF131;PTHR23502	SSF103473	NA	G3DSA:1.20.1250.20	NA	PS50850	NA	NA	NA	NA	cd06174	NA	NA	NA	NA	NA	NA
EHK26997.1	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	NA	IPR023299	GO:0000166;GO:0016021;GO:0006812;GO:0019829	PF00690;PF00689;PF13246;PF00702;PF00122	TIGR01494;TIGR01523	PTHR42861;PTHR42861:SF15	SSF81660;SSF81665;SSF56784;SSF81653	NA	G3DSA:1.20.1110.10;G3DSA:3.40.50.1000;G3DSA:3.40.1110.10;G3DSA:2.70.150.10	NA	NA	Reactome: R-HSA-936837	PS00154	SM00831	PR00119	NA	NA	NA	SFLDF00027;SFLDS00003	NA	NA	NA
EHK21654.1	NA	NA	NA	IPR000639	GO:0003824;GO:0033961	PF06441	NA	PTHR21661;PTHR21661:SF35	SSF53474	NA	G3DSA:3.40.50.1820	NA	NA	Reactome: R-HSA-211945	NA	NA	PR00412	NA	NA	NA	NA	PIRSF001112	NA	NA
EHK25490.1	NA	NA	mobidb-lite	IPR000719	GO:0004672;GO:0005524;GO:0006468	PF00069	NA	PTHR24058;PTHR24058:SF22	SSF56112	NA	G3DSA:1.10.510.10;G3DSA:3.30.200.20	NA	PS50011	NA	PS00108;PS00107	SM00220	NA	cd14210	NA	NA	NA	NA	NA	NA
EHK25706.1	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	IPR013057	NA	PF01490	NA	PTHR22950;PTHR22950:SF20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK23409.1	SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION	NA	NA	IPR036990	GO:0004181;GO:0006508;GO:0008270;GO:0004180	PF00246;PF02244	NA	PTHR11705;PTHR11705:SF115	SSF54897;SSF53187	NA	G3DSA:3.30.70.340;G3DSA:3.40.630.10	NA	NA	NA	PS00132	SM00631	PR00765	cd06248	SignalP-noTM	SignalP-noTM	NA	NA	SignalP-TM	NA
EHK24980.1	NA	NA	NA	IPR000836	GO:0009116;GO:0000287;GO:0004749;GO:0009165;GO:0009156;GO:0044249	PF14572;PF13793	TIGR01251	PTHR10210:SF48;PTHR10210	SSF53271	NA	G3DSA:3.40.50.2020	NA	NA	KEGG: 00030+2.7.6.1|KEGG: 00230+2.7.6.1	PS00114	SM01400	NA	cd06223	NA	NA	NA	NA	NA	NA
EHK16623.1	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK25873.1	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE	NA	NA	IPR023827	GO:0004252;GO:0006508;GO:0005618;GO:0016020	PF00082;PF06280	NA	PTHR43399	SSF52743	NA	G3DSA:3.40.50.200	NA	NA	NA	PS00136;PS00138	NA	PR00723	NA	SignalP-noTM	SignalP-noTM	NA	NA	SignalP-TM	NA
EHK21898.1	NA	NA	NA	IPR020809	GO:0000015;GO:0000287;GO:0004634;GO:0006096	PF03952;PF00113	TIGR01060	PTHR11902;PTHR11902:SF6	SSF54826;SSF51604	NA	G3DSA:3.30.390.10;G3DSA:3.20.20.120	NA	NA	KEGG: 00010+4.2.1.11|KEGG: 00680+4.2.1.11|MetaCyc: PWY-1042|MetaCyc: PWY-1622|MetaCyc: PWY-2221|MetaCyc: PWY-5484|MetaCyc: PWY-5723|MetaCyc: PWY-6142|MetaCyc: PWY-6886|MetaCyc: PWY-6901|MetaCyc: PWY-7003|MetaCyc: PWY-7124|MetaCyc: PWY-7218|MetaCyc: PWY-8004|Reactome: R-HSA-70171|Reactome: R-HSA-70263	PS00164	SM01193;SM01192	PR00148	cd03313	NA	NA	SFLDF00002;SFLDG00178	PIRSF001400	NA	MF_00318
EHK18900.1	NA	NA	mobidb-lite	IPR029026	NA	PF02598	NA	PTHR12150	SSF50249;SSF75217	NA	G3DSA:3.40.1280.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK23527.1	NA	NA	NA	IPR002110	GO:0005515	PF00023;PF12796	NA	PTHR24133;PTHR24133:SF25	SSF48403	NA	G3DSA:1.25.40.20;G3DSA:1.25.40.960	NA	PS50088;PS50297	NA	NA	SM00248	PR01415	cd00204	NA	NA	NA	NA	NA	NA
EHK22737.1	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	mobidb-lite	IPR036259	GO:0016021;GO:0055085	PF07690	NA	PTHR42718:SF1;PTHR42718	SSF103473	Coil	G3DSA:1.20.1720.10;G3DSA:1.20.1250.20	NA	PS50850	NA	NA	NA	NA	cd06174	NA	NA	NA	NA	NA	NA
EHK23787.1	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	IPR007568	GO:0016021	PF04479	NA	PTHR31465	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK26775.1	NA	NA	mobidb-lite	IPR000408	NA	PF00415	NA	PTHR22870;PTHR22870:SF321	SSF50985	NA	G3DSA:2.130.10.30	NA	PS50012	NA	PS00626;PS00625	NA	PR00633	NA	NA	NA	NA	NA	NA	NA
EHK18685.1	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	mobidb-lite	IPR020846	GO:0016021;GO:0055085	PF07690	NA	PTHR23501:SF3;PTHR23501	SSF103473	NA	G3DSA:1.20.1250.20	NA	NA	NA	NA	NA	NA	cd06174	NA	NA	NA	NA	NA	NA
EHK17888.1	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	mobidb-lite	IPR011701	GO:0016021;GO:0055085	PF07690	NA	PTHR23514:SF3;PTHR23514	SSF103473	NA	G3DSA:1.20.1250.20	NA	PS50850	NA	NA	NA	NA	cd06174	NA	NA	NA	NA	NA	NA
EHK26715.1	NA	NA	mobidb-lite	IPR008271	GO:0004672;GO:0006468;GO:0005524;GO:0004674	PF00069	NA	PTHR24356;PTHR24356:SF163	SSF56112	NA	G3DSA:1.10.510.10;G3DSA:3.30.200.20	NA	PS50011	KEGG: 04150+2.7.11.1|KEGG: 04151+2.7.11.1|KEGG: 04714+2.7.11.1|KEGG: 04926+2.7.11.1|KEGG: 05163+2.7.11.1|KEGG: 05165+2.7.11.1|KEGG: 05170+2.7.11.1	PS00108;PS00107	SM00220	NA	cd05581	NA	NA	NA	NA	NA	NA
EHK23878.1	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	IPR024960	GO:0006656;GO:0008757	PF04191	NA	PTHR15458;PTHR15458:SF5	NA	NA	NA	NA	PS51599	KEGG: 00564+2.1.1.71|MetaCyc: PWY-6825|Reactome: R-HSA-1483191	NA	NA	NA	NA	NA	NA	NA	PIRSF005444	NA	MF_03216
EHK20066.1	NA	NA	mobidb-lite	IPR009203	GO:0042546	PF09346	NA	PTHR14289:SF16;PTHR14289	SSF160631	NA	NA	NA	NA	NA	NA	SM00860	NA	NA	NA	NA	NA	PIRSF017023	NA	NA
EHK21647.1	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	IPR007568	GO:0016021	PF04479	NA	PTHR31465:SF11;PTHR31465	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK18364.1	NA	NA	mobidb-lite	IPR013126		PF00012	NA	PTHR19375:SF181;PTHR19375	SSF53067	NA	G3DSA:3.30.420.40;G3DSA:3.90.640.10	NA	NA	Reactome: R-HSA-3371453	NA	NA	PR00301	cd10229	NA	NA	NA	NA	NA	NA
