Gene	interpro	GO	SMART	Pfam	PANTHER	Gene3D	SUPERFAMILY	ProSiteProfiles	MobiDBLite	CDD	Coils	PATHWAY	ProSitePatterns	PIRSF	PRINTS	Phobius	TMHMM	SignalP_EUK	SignalP_GRAM_NEGATIVE	SignalP_GRAM_POSITIVE	TIGRFAM	SFLD	Hamap	ProDom
augustus_masked-NODE_93_length_98148_cov_53.586119-processed-gene-0.24-mRNA-1	IPR003781	GO:0048037	SM00881	PF13380	PTHR33303:SF2;PTHR33303	G3DSA:3.40.50.720	SSF51735	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_129_length_61204_cov_51.963833-augustus-gene-0.18-mRNA-1	IPR001229	NA	SM00915	PF01419;PF12044	PTHR21054	G3DSA:2.100.10.30	SSF51101	PS51752	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_26_length_326154_cov_40.733596-processed-gene-0.27-mRNA-1	IPR002014	GO:0006886;GO:0016192;GO:0005622	SM00288;SM00809	PF18308;PF00790;PF02883;PF03127	PTHR13856:SF94;PTHR13856	G3DSA:2.60.40.1230;G3DSA:1.20.58.160;G3DSA:1.20.5.170;G3DSA:1.25.40.90	SSF49348;SSF48464;SSF89009	PS50179;PS50180;PS50909	mobidb-lite	cd14235;cd03561	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_18_length_389369_cov_49.707909-processed-gene-2.49-mRNA-1	IPR000504	GO:0003676	SM00360	PF00076;PF10378	PTHR42664:SF2;PTHR42664	G3DSA:3.30.70.330	SSF54928	PS50102	mobidb-lite	cd12522;cd12520;cd12521	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_1_length_923648_cov_49.367359-processed-gene-6.20-mRNA-1	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_24_length_337529_cov_39.967259-augustus-gene-1.12-mRNA-1	IPR035959		NA	PF01042	PTHR43857	G3DSA:3.30.1330.40	SSF55298	NA	NA	cd06154	Coil	Reactome: R-HSA-8849175	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_9_length_576710_cov_38.331728-augustus-gene-3.2-mRNA-1	IPR004001	NA	SM00268	PF00022	PTHR11937;PTHR11937:SF274	G3DSA:3.90.640.10;G3DSA:3.30.420.40	SSF53067	NA	mobidb-lite	cd00012	Coil	NA	PS00432	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_16_length_404132_cov_53.888514-augustus-gene-0.10-mRNA-1	IPR035420	GO:0032968;GO:0003676;GO:0003677;GO:0006139	SM00252	PF14633;PF14635;PF14639;PF00575;PF14641;PF14632;PF17674	PTHR10145	G3DSA:2.40.50.140;G3DSA:3.30.505.10;G3DSA:1.10.150.850;G3DSA:1.10.3500.10;G3DSA:1.10.10.650;G3DSA:3.30.420.140;G3DSA:1.10.10.2740	SSF158832;SSF55550;SSF47781;SSF50249;SSF53098	PS50126	mobidb-lite	cd09918;cd09928	NA	Reactome: R-HSA-112382|Reactome: R-HSA-674695|Reactome: R-HSA-75955	NA	PIRSF036947	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_1_length_923648_cov_49.367359-augustus-gene-2.11-mRNA-1	IPR001025	GO:0003682;GO:0006270;GO:0051301;GO:0005524	SM00382	PF01426;PF17872;PF00004	PTHR10763;PTHR10763:SF23	G3DSA:1.10.8.1280;G3DSA:3.40.50.300;G3DSA:2.30.30.490	SSF82061;SSF52540	PS51038	mobidb-lite	cd00009	NA	Reactome: R-HSA-1362277|Reactome: R-HSA-176187|Reactome: R-HSA-539107|Reactome: R-HSA-68689|Reactome: R-HSA-68827|Reactome: R-HSA-68867|Reactome: R-HSA-68949|Reactome: R-HSA-68962|Reactome: R-HSA-69017	NA	PIRSF001767	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_17_length_399465_cov_44.223703-augustus-gene-2.38-mRNA-1	IPR013126		NA	PF00012	PTHR19375:SF331;PTHR19375	G3DSA:3.30.420.40;G3DSA:3.90.640.10;G3DSA:3.30.30.30	SSF53067	NA	mobidb-lite	NA	NA	Reactome: R-HSA-3371453	NA	NA	PR00301	NA	NA	NA	NA	NA	NA	NA	NA	NA
