id_keep,prot_id,genome
mix.component_110,EGR52121.1,GCA_000167675
mix.component_110,EGR52122.1,GCA_000167675
mix.component_110,EGR52123.1,GCA_000167675
mix.component_110,EGR52124.1,GCA_000167675
mix.component_110,EGR52125.1,GCA_000167675
mix.component_110,EGR52126.1,GCA_000167675
mix.component_110,EGR52127.1,GCA_000167675
mix.component_110,EGR52128.1,GCA_000167675
PKSI.component_31,EGR52121.1,GCA_000167675
PKSI.component_31,EGR52122.1,GCA_000167675
PKSI.component_31,EGR52123.1,GCA_000167675
PKSI.component_31,EGR52124.1,GCA_000167675
PKSI.component_31,EGR52125.1,GCA_000167675
PKSI.component_31,EGR52126.1,GCA_000167675
PKSI.component_31,EGR52127.1,GCA_000167675
PKSI.component_31,EGR52128.1,GCA_000167675
mix.component_21,EGR52121.1,GCA_000167675
mix.component_21,EGR52122.1,GCA_000167675
mix.component_21,EGR52123.1,GCA_000167675
mix.component_21,EGR52124.1,GCA_000167675
mix.component_21,EGR52125.1,GCA_000167675
mix.component_21,EGR52126.1,GCA_000167675
mix.component_21,EGR52127.1,GCA_000167675
Others.component_4,EGR52121.1,GCA_000167675
Others.component_4,EGR52122.1,GCA_000167675
Others.component_4,EGR52123.1,GCA_000167675
Others.component_4,EGR52124.1,GCA_000167675
Others.component_4,EGR52125.1,GCA_000167675
Others.component_4,EGR52126.1,GCA_000167675
Others.component_4,EGR52127.1,GCA_000167675
mix.component_10,EGR52121.1,GCA_000167675
mix.component_10,EGR52122.1,GCA_000167675
mix.component_10,EGR52123.1,GCA_000167675
mix.component_10,EGR52124.1,GCA_000167675
mix.component_10,EGR52125.1,GCA_000167675
mix.component_10,EGR52126.1,GCA_000167675
mix.component_10,EGR52127.1,GCA_000167675
NRPS.component_14,EGR52121.1,GCA_000167675
NRPS.component_14,EGR52122.1,GCA_000167675
NRPS.component_14,EGR52123.1,GCA_000167675
NRPS.component_14,EGR52124.1,GCA_000167675
NRPS.component_14,EGR52125.1,GCA_000167675
NRPS.component_14,EGR52126.1,GCA_000167675
NRPS.component_14,EGR52127.1,GCA_000167675
mix.component_48,EGR51587.1,GCA_000167675
mix.component_48,EGR51588.1,GCA_000167675
mix.component_48,EGR51589.1,GCA_000167675
mix.component_48,EGR51590.1,GCA_000167675
Others.component_11,EGR51587.1,GCA_000167675
Others.component_11,EGR51588.1,GCA_000167675
Others.component_11,EGR51589.1,GCA_000167675
Others.component_11,EGR51590.1,GCA_000167675
mix.component_32,EGR50058.1,GCA_000167675
mix.component_32,EGR50059.1,GCA_000167675
mix.component_32,EGR50060.1,GCA_000167675
