Gene ID	HMMER	Hotpep	DIAMOND	Signalp	#ofTools
augustus_masked-NIGD01000001.1-processed-gene-11.29-mRNA-1	CE10(88-387)	N	N	N	1
augustus_masked-NIGD01000001.1-processed-gene-13.22-mRNA-1	GT4(336-466)	GT4	GT4	N	3
augustus_masked-NIGD01000001.1-processed-gene-20.5-mRNA-1	CE10(173-600)	N	N	N	1
augustus_masked-NIGD01000001.1-processed-gene-23.20-mRNA-1	GH18(33-256)	GH18	GH18	N	3
augustus_masked-NIGD01000001.1-processed-gene-28.5-mRNA-1	GH47(109-607)	GH47	GH47	N	3
augustus_masked-NIGD01000001.1-processed-gene-31.31-mRNA-1	GT2(10-180)	GT2	N	N	2
augustus_masked-NIGD01000001.1-processed-gene-33.10-mRNA-1	GH16(33-267)	GH16	N	N	2
augustus_masked-NIGD01000001.1-processed-gene-33.15-mRNA-1	GT4(258-437)	N	GT4	N	2
augustus_masked-NIGD01000001.1-processed-gene-36.2-mRNA-1	GT64(102-360)	N	N	N	1
augustus_masked-NIGD01000001.1-processed-gene-39.24-mRNA-1	GH72(16-332)	GH72	GH72	N	3
augustus_masked-NIGD01000001.1-processed-gene-4.18-mRNA-1	AA3(10-517)	AA3	AA3_2	N	3
augustus_masked-NIGD01000001.1-processed-gene-40.18-mRNA-1	GH95(27-754)	GH95	GH95	N	3
augustus_masked-NIGD01000001.1-processed-gene-40.28-mRNA-1	AA3_2(8-569)	AA3	N	N	2
augustus_masked-NIGD01000001.1-processed-gene-40.5-mRNA-1	PL1_2(70-241)	N	N	N	1
augustus_masked-NIGD01000001.1-processed-gene-50.15-mRNA-1	GT24(1224-1471)	GT24	GT24	N	3
augustus_masked-NIGD01000001.1-processed-gene-55.27-mRNA-1	GT90(592-904)	GT90	GT90	N	3
augustus_masked-NIGD01000001.1-processed-gene-55.34-mRNA-1	AA6(4-199)	AA6	N	N	2
augustus_masked-NIGD01000001.1-processed-gene-62.5-mRNA-1	GH72(32-332)	GH72	GH72	N	3
augustus_masked-NIGD01000001.1-processed-gene-63.8-mRNA-1	GH43(27-309)+CBM66(330-483)	GH43	CBM66+GH43_34	N	3
augustus_masked-NIGD01000001.1-processed-gene-66.23-mRNA-1	GT50(154-416)	GT50	GT50	N	3
augustus_masked-NIGD01000001.1-processed-gene-77.21-mRNA-1	GH67(25-711)	GH67	GH67	N	3
augustus_masked-NIGD01000001.1-processed-gene-77.7-mRNA-1	GH30_3(61-483)	GH30	GH30_3	N	3
augustus_masked-NIGD01000001.1-processed-gene-8.3-mRNA-1	CBM21(323-429)	CBM21	CBM21	N	3
augustus_masked-NIGD01000002.1-processed-gene-7.42-mRNA-1	GH18(68-316)	N	GH18	N	2
augustus_masked-NIGD01000003.1-processed-gene-0.22-mRNA-1	GH28(130-437)	GH28	GH28	N	3
augustus_masked-NIGD01000003.1-processed-gene-0.25-mRNA-1	GH11(44-213)	GH11	N	N	2
augustus_masked-NIGD01000003.1-processed-gene-1.12-mRNA-1	GH49(17-565)	GH49	GH49	N	3
