stat,clade_groups,mean,min,max,perc_diff_escovopsis
assembly_length,Escovopsis,29.108211,NA,NA,NA
assembly_length,Hypomyces_Cladobotryum,41.07859,NA,NA,29.140189573205888
assembly_length,Trichoderma,36.26321375,NA,NA,19.730746423433022
GenomeSize,Escovopsis,24.65923076923077,NA,NA,NA
GenomeSize,Hypomyces_Cladobotryum,41.07666666666667,NA,NA,39.967790061111494
GenomeSize,Trichoderma,35.1225,NA,NA,29.790787189890334
n_proteins,Escovopsis,6684.923076923077,NA,NA,NA
n_proteins,Hypomyces_Cladobotryum,9150.666666666666,NA,NA,26.946054091617246
n_proteins,Trichoderma,11319.5,NA,NA,40.9433007030074
mean_cds_length,Escovopsis,1561.72,1409,1621,NA
mean_cds_length,Hypomyces_Cladobotryum,1602,1585,1634,2.514357053682892
mean_cds_length,Trichoderma,1427.9166666666667,1326,1522,-9.370528158739422
Number_of_intron_in_cds,Escovopsis,12588,10743,13420,NA
Number_of_intron_in_cds,Hypomyces_Cladobotryum,17634.666666666668,16633,18581,28.617873884772425
Number_of_intron_in_cds,Trichoderma,20392.75,15546,23690,38.27218006399333
Total_cds_length,Escovopsis,10409786,9365742,10865019,NA
Total_cds_length,Hypomyces_Cladobotryum,14663955,13641489,15196830,29.01106147693443
Total_cds_length,Trichoderma,16018037.916666666,13596111,17542937,35.012102892023464
