component,bigscape,acc,genome_id,id,family,tree_order,genus,genus_species,position,style,Host,Location,Genome Size,G size,Agriculture,num_agricultures
component_1,GCA_003025105.1_KZ679256.1.cluster012,GCA_003025105.1,GCA_003025105.1_Trias_v._1.0_cds_from_genomic.fna,seq16,Hypocreaceae,9,Trichoderma,Trichoderma asperellum,-1,Italic,NA,NA,37.44,37.4,NA,1
component_1,GCA_001481775.2_JPDN02000001.1.cluster014,GCA_001481775.2,GCA_001481775.2_TGAM01v2_cds_from_genomic.fna,seq33,Hypocreaceae,10,Trichoderma,Trichoderma gamsii,-1,Italic,NA,NA,37.91,37.9,NA,1
component_1,GCA_000171015.2_ABDG02000029.1.cluster010,GCA_000171015.2,GCA_000171015.2_TRIAT_v2.0_cds_from_genomic.fna,seq3,Hypocreaceae,11,Trichoderma,Trichoderma atroviride,-1,Italic,NA,NA,36.14,36.1,NA,1
component_2,GCA_000170995.2_ABDF02000093.1.cluster025,GCA_000170995.2,GCA_000170995.2_TRIVI_v2.0_cds_from_genomic.fna,seq1,Hypocreaceae,5,Trichoderma,Trichoderma virens,-1,Italic,NA,NA,39.02,39,NA,1
component_2,GCA_003025095.1_KZ679675.1.cluster030,GCA_003025095.1,GCA_003025095.1_Triha_v1.0_cds_from_genomic.fna,seq12,Hypocreaceae,6,Trichoderma,Trichoderma harzianum,-1,Italic,NA,NA,40.96,41,NA,1
component_2,GCA_002022785.1_LVVK01000017.1.cluster037,GCA_002022785.1,GCA_002022785.1_ASM202278v1_cds_from_genomic.fna,seq7,Hypocreaceae,7,Trichoderma,Trichoderma guizhouense,-1,Italic,NA,NA,38.33,38.3,NA,1
component_2,GCA_003025115.1_KZ680207.1.cluster022,GCA_003025115.1,GCA_003025115.1_Trici_v4.0_cds_from_genomic.fna,seq8,Hypocreaceae,1,Trichoderma,Trichoderma citrinoviride,-1,Italic,NA,NA,33.13,33.1,NA,1
component_3,ICBG712_c00001_NODE_1_...cluster015,ICBG712,ICBG712.all.maker.transcripts.fasta,seq27,Hypocreaceae,17,Escovopsis,ICBG712,-1,Italic,Apterostigma,Anavilhanas,30.72,30.7,Coral,1
component_3,ICBG721_c00001_NODE_1_...cluster016,ICBG721,ICBG721.all.maker.transcripts.fasta,seq36,Hypocreaceae,18,Escovopsis,ICBG721,-1,Italic,Apterostigma,Ducke,30.72,30.7,Coral,1
component_4,ICBG2046_c00001_NODE_1_...cluster012,ICBG2046,ICBG2046.all.maker.transcripts.fasta,seq21,Hypocreaceae,13,Escovopsis,ICBG2046,-1,Italic,Cyphomyrmex,Panama,25.57,25.6,Lower,4
component_4,ICBG742_c00001_NODE_1_...cluster017,ICBG742,ICBG742.all.maker.transcripts.fasta,seq11,Hypocreaceae,29,Escovopsis,ICBG742,-1,Italic,Acromyrmex,Anavilhanas,29.69,29.7,Higher,4
component_4,ICBG751_c00001_NODE_1_...cluster006,ICBG751,ICBG751.all.maker.transcripts.fasta,seq25,Hypocreaceae,26,Escovopsis,ICBG751,-1,Italic,Trachymyrmex,Anavilhanas,29.04,29,Higher,4
component_4,ICBG1096_scaffold1.cluster021,ICBG1096,ICBG1096.all.maker.transcripts.fasta,seq37,Hypocreaceae,28,Escovopsis,ICBG1096,-1,Italic,Trachymyrmex,Anavilhanas,NA,0,Higher,4
component_4,ICBG733_c00001_NODE_1_...cluster020,ICBG733,ICBG733.all.maker.transcripts.fasta,seq6,Hypocreaceae,27,Escovopsis,ICBG733,-1,Italic,Trachymyrmex,Ducke,27.31,27.3,Higher,4
component_4,ICBG1054_c00001_NODE_1_...cluster005,ICBG1054,ICBG1054.all.maker.transcripts.fasta,seq4,Hypocreaceae,19,Escovopsis,ICBG1054,-1,Italic,Apterostigma,Anavilhanas,22.14,22.1,Coral,4
component_4,ICBG2049_scaffold1.cluster005,ICBG2049,ICBG2049.all.maker.transcripts.fasta,seq32,Hypocreaceae,15,Escovopsis,ICBG2049,-1,Italic,Myrmicocrypta,Panama,NA,0,Lower,4
component_4,NIGB00000000_NIGB01000001.1.cluster008,NIGB00000000,NIGB00000000.all.maker.transcripts.fasta,seq29,Hypocreaceae,30,Escovopsis,NIGB00000000,-1,Normal,Attini,Colombia,27.38,27.4,Leafcutter,4
component_4,ICBG736_c00001_NODE_1_...cluster019,ICBG736,ICBG736.all.maker.transcripts.fasta,seq2,Hypocreaceae,34,Escovopsis,ICBG736,-1,Italic,Acromyrmex,Anavilhanas,30.19,30.2,Leafcutter,4
component_4,ICBG1065_c00001_NODE_1_...cluster002,ICBG1065,ICBG1065.all.maker.transcripts.fasta,seq14,Hypocreaceae,21,Escovopsis,ICBG1065,-1,Italic,Apterostigma,Itatiaia,25.36,25.4,Coral,4
component_4,ICBG731_scaffold1.cluster020,ICBG731,ICBG731.all.maker.transcripts.fasta,seq13,Hypocreaceae,33,Escovopsis,ICBG731,-1,Normal,Attini,Ducke,29.13,29.1,Leafcutter,4
