Gene ID	HMMER	Hotpep	DIAMOND	Signalp	#ofTools
augustus_masked-SPDT01000001.1-processed-gene-15.86-mRNA-1	AA3_2(10-600)	AA3	AA3	N	3
augustus_masked-SPDT01000001.1-processed-gene-17.52-mRNA-1	AA9(7-226)	AA9	N	N	2
augustus_masked-SPDT01000001.1-processed-gene-19.230-mRNA-1	GH76(18-387)	GH76	GH76	N	3
augustus_masked-SPDT01000001.1-processed-gene-22.119-mRNA-1	GT39(66-304)	GT39	GT39	N	3
augustus_masked-SPDT01000001.1-processed-gene-26.150-mRNA-1	GH72(18-295)	GH72	GH72	N	3
augustus_masked-SPDT01000001.1-processed-gene-28.32-mRNA-1	GT4(213-344)	GT4	GT4	N	3
augustus_masked-SPDT01000001.1-processed-gene-29.66-mRNA-1	AA11(20-212)	AA11	N	N	2
augustus_masked-SPDT01000001.1-processed-gene-3.194-mRNA-1	GH37(143-706)	GH37	GH37	N	3
augustus_masked-SPDT01000001.1-processed-gene-30.190-mRNA-1	GH27(16-355)	GH27	GH27	N	3
augustus_masked-SPDT01000001.1-processed-gene-31.303-mRNA-1	GH125(88-524)	GH125	GH125	N	3
augustus_masked-SPDT01000001.1-processed-gene-35.29-mRNA-1	CE10(88-344)	N	N	N	1
augustus_masked-SPDT01000001.1-processed-gene-4.259-mRNA-1	GT90(319-596)	GT90	GT90	N	3
augustus_masked-SPDT01000001.1-processed-gene-40.189-mRNA-1	AA11(36-214)	AA11	N	N	2
augustus_masked-SPDT01000001.1-processed-gene-5.160-mRNA-1	GH114(90-283)	GH114	N	N	2
augustus_masked-SPDT01000001.1-processed-gene-9.22-mRNA-1	AA3_2(6-574)	AA3	AA3_2	N	3
augustus_masked-SPDT01000002.1-processed-gene-23.23-mRNA-1	GH64(76-450)	GH64	GH64	N	3
augustus_masked-SPDT01000002.1-processed-gene-27.45-mRNA-1	GH13_40(35-394)	GH13	GH13_40	N	3
augustus_masked-SPDT01000002.1-processed-gene-27.66-mRNA-1	GH88(94-470)	GH88	N	N	2
augustus_masked-SPDT01000002.1-processed-gene-28.56-mRNA-1	GT1(189-491)	N	GT1	N	2
augustus_masked-SPDT01000002.1-processed-gene-3.5-mRNA-1	CBM21(321-427)	CBM21	CBM21	N	3
augustus_masked-SPDT01000002.1-processed-gene-31.235-mRNA-1	GH31(375-822)	GH31	GH31	N	3
augustus_masked-SPDT01000002.1-processed-gene-31.237-mRNA-1	GH18(13-239)	GH18	GH18	N	3
augustus_masked-SPDT01000002.1-processed-gene-6.217-mRNA-1	GH3(94-315)	GH3	GH3	N	3
augustus_masked-SPDT01000003.1-processed-gene-19.0-mRNA-1	GH55(29-739)	N	GH55	N	2
augustus_masked-SPDT01000003.1-processed-gene-25.10-mRNA-1	GH18(34-247)	GH18	GH18	N	3
augustus_masked-SPDT01000003.1-processed-gene-3.12-mRNA-1	GH31(170-597)	GH31	GH31	N	3
augustus_masked-SPDT01000003.1-processed-gene-33.180-mRNA-1	GH18(30-277)	GH18	N	N	2
augustus_masked-SPDT01000003.1-processed-gene-35.117-mRNA-1	GH64(4-374)	GH64	GH64	N	3
augustus_masked-SPDT01000003.1-processed-gene-6.20-mRNA-1	GT1(83-463)	N	GT1	N	2
augustus_masked-SPDT01000003.1-processed-gene-7.187-mRNA-1	AA7(77-509)	N	N	N	1
