Gene	interpro	GO	SUPERFAMILY	SMART	MobiDBLite	Gene3D	ProSiteProfiles	Pfam	PATHWAY	ProSitePatterns	PRINTS	CDD	PIRSF	Coils	TIGRFAM	Hamap	SFLD
KKP00652.1	IPR036887	GO:0003677;GO:0005515	SSF54616;SSF48403	SM00248;SM01252	mobidb-lite	G3DSA:3.10.260.10;G3DSA:1.25.40.20	PS51299;PS50088;PS50297	PF13606;PF13637	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKP02894.1	IPR002656	GO:0016747	NA	NA	NA	NA	NA	PF01757	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKP03881.1	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKP06166.1	IPR036188	GO:0004499;GO:0050660;GO:0050661;GO:0055114	SSF51905	NA	NA	G3DSA:3.50.50.60	NA	PF00743	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKO97132.1	IPR018525	GO:0003677;GO:0005524;GO:0006260;GO:0003688;GO:0005634;GO:0006270;GO:0042555	SSF52540;SSF50249	SM00350	NA	G3DSA:3.30.1640.10;G3DSA:2.40.50.140;G3DSA:2.20.28.10;G3DSA:3.40.50.300	PS50051	PF17207;PF00493;PF17855;PF14551	Reactome: R-HSA-176187|Reactome: R-HSA-176974|Reactome: R-HSA-68867|Reactome: R-HSA-68949|Reactome: R-HSA-68962|Reactome: R-HSA-69052	PS00847	PR01661;PR01657	cd17756	NA	NA	NA	NA	NA
KKO98621.1	IPR001279	NA	SSF56281	SM00849	NA	G3DSA:3.60.15.10	NA	PF00753	NA	NA	NA	NA	NA	NA	NA	NA	NA
KKP03807.1	IPR004360	NA	SSF54593	NA	NA	G3DSA:3.10.180.10	PS51819	PF00903	NA	NA	NA	cd07267	NA	NA	NA	NA	NA
KKP01111.1	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270	SSF57701	SM00066	mobidb-lite	G3DSA:4.10.240.10	PS50048	PF00172	NA	NA	PR00755	cd00067	NA	NA	NA	NA	NA
KKP07567.1	IPR017261	GO:0006298;GO:0030983;GO:0005524	SSF52540;SSF55271;SSF53150;SSF48334	SM00533;SM00534	mobidb-lite	G3DSA:1.10.1420.10;G3DSA:3.40.50.300;G3DSA:3.30.420.110;G3DSA:3.40.1170.10	NA	PF05192;PF01624;PF00488;PF05188	Reactome: R-HSA-5632928	PS00486	NA	NA	PIRSF037677	Coil	NA	NA	NA
KKP01525.1	IPR023476	GO:0004045	SSF102462	NA	NA	G3DSA:3.40.1490.10	NA	PF01981	MetaCyc: PWY-6308	NA	NA	cd02430	NA	NA	TIGR00283	NA	NA
KKP06135.1	IPR010226	GO:0016020;GO:0016651;GO:0051539;GO:0055114	SSF54862	NA	NA	G3DSA:3.30.70.3270	PS51379	PF12838	Reactome: R-HSA-611105|Reactome: R-HSA-6799198	PS00198	NA	NA	NA	NA	TIGR01971	MF_01351	NA
