OrthoGroup,GCA_000167675.2_v2.0_protein,GCA_000170995.2_TRIVI_v2.0_protein,GCA_000171015.2_TRIAT_v2.0_protein,GCA_001050175.1_Tpara_v1.0_protein,GCA_001481775.2_TGAM01v2_protein,GCA_002022785.1_ASM202278v1_protein,GCA_003012105.1_Trichoderma_arundinaceum_IBT40837_contigs_protein,GCA_003025095.1_Triha_v1.0_protein,GCA_003025105.1_Trias_v._1.0_protein,GCA_003025115.1_Trici_v4.0_protein,GCA_003025155.1_Trilo3_protein,GCA_004303015.1_ASM430301v1_genomic.all.maker.proteins,ICBG1054.all.maker.proteins,ICBG1065.all.maker.proteins,ICBG1075.all.maker.proteins,ICBG1096.all.maker.proteins,ICBG2046.all.maker.proteins,ICBG2047.all.maker.proteins,ICBG2048.all.maker.proteins,ICBG2049.all.maker.proteins,ICBG710.all.maker.proteins,ICBG712.all.maker.proteins,ICBG721.all.maker.proteins,ICBG726.all.maker.proteins,ICBG730.all.maker.proteins,ICBG731.all.maker.proteins,ICBG733.all.maker.proteins,ICBG736.all.maker.proteins,ICBG742.all.maker.proteins,ICBG751.all.maker.proteins,LGSR00000000.proteins,NIGB00000000.all.maker.proteins,NIGC00000000.all.maker.proteins,NIGD00000000.all.maker.proteins,NQYQ00000000.all.maker.proteins,NQYR00000000.all.maker.proteins,NQYS00000000.all.maker.proteins,SPDT00000000.1_genomic.all.maker.proteins
ORTHOMCL0,9,20,14,9,13,22,24,23,13,11,8,58,9,7,8,7,4,6,5,6,6,18,19,7,6,7,7,7,9,8,7,8,7,5,8,7,8,26
ORTHOMCL1,8,10,7,8,5,10,9,10,9,10,7,10,3,2,2,3,4,4,4,5,3,6,6,3,3,3,4,4,4,4,4,4,4,4,4,4,4,8
ORTHOMCL2,5,5,5,5,5,5,5,4,4,5,4,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
ORTHOMCL3,7,7,8,6,8,7,6,7,8,7,7,5,4,4,4,4,3,3,3,3,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,5
ORTHOMCL4,5,5,4,5,5,5,5,5,4,5,5,5,5,5,5,5,4,5,4,4,4,5,5,5,4,5,5,5,6,5,5,5,5,3,5,5,5,7
ORTHOMCL5,5,5,5,5,5,5,5,5,5,5,5,3,1,3,5,4,3,4,3,4,5,2,4,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5
ORTHOMCL6,4,17,13,4,7,11,14,14,13,6,4,21,1,0,0,1,1,1,1,1,0,4,4,1,0,1,1,1,1,1,1,1,1,1,1,1,1,8
ORTHOMCL7,7,19,13,6,13,17,2,15,12,7,5,18,0,1,1,2,0,0,0,0,1,1,1,0,1,2,2,0,2,2,0,0,2,0,2,2,0,1
ORTHOMCL8,4,5,5,4,5,5,4,5,5,4,4,4,4,4,4,4,3,5,3,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
ORTHOMCL9,5,5,5,5,5,5,5,5,5,5,5,6,3,3,3,4,4,4,4,4,4,4,4,3,3,3,4,4,4,4,4,4,3,3,3,3,4,3
ORTHOMCL10,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,3,4,5,4,4,4,4,4,4,4,4,4,5
ORTHOMCL11,5,6,5,5,6,6,5,8,5,4,5,5,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,5
ORTHOMCL12,5,25,11,4,13,25,7,17,6,4,4,12,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,6
ORTHOMCL13,4,5,4,4,4,5,4,5,5,4,4,4,3,3,3,4,3,3,3,2,3,4,4,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3
ORTHOMCL14,3,3,4,3,4,4,3,3,3,3,3,3,3,4,4,3,3,3,4,1,4,2,4,4,4,3,4,4,4,4,4,4,3,4,3,3,4,3
ORTHOMCL15,5,5,5,5,4,6,4,6,5,5,5,3,2,2,2,3,2,2,2,2,2,3,3,2,3,3,3,2,3,2,3,3,3,3,3,3,3,6
ORTHOMCL16,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
ORTHOMCL17,6,13,6,5,5,12,11,12,8,7,6,14,0,0,0,0,2,2,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
