tool,annotation,Coral,Higher,Hypomyces_Cladobotryum,Leafcutter,Lower,Trichoderma
virulence,Q197G0,1,0.5,0,1,0,0
virulence,Q5ACU9,0,1,0,1,0.5,0
virulence,A6RD56,0,1,0,1,0,0
virulence,A3LRF3,0,1,0,1,0,0
virulence,C5NSJ4,0,1,0,1,0,0
virulence,CFT1,1,1,0,1,0,0
virulence,Q59WE5,3,2.5,1,2,3,0
virulence,A4ULI5,1,2,1,1,0,0
virulence,O60038,1,1,1,1,0,0
virulence,C1G6E6,1,1,0,1,0,0
virulence,C5GH04,1,1,0,1,0,0
virulence,Q9HGU2,0.5,1,0,0,1.5,0
virulence,C5GSC7,1,0,1,0,0,1
virulence,Q59ZY7,2,1,0,1,2,0
virulence,Q875J4,1,0.5,0,1,0,1
virulence,Q5ADS0,0,1,1,1,2,4
virulence,C5GWH6,1,1,1,1,0,1
virulence,Q6TDT0,1,0.5,1,1,0,1
virulence,A6ZLA2,0,1,1,1,0,1
virulence,P79068,0.5,1,6,1,0,2
virulence,Q7ZA48,0,1,2,1,0,2
virulence,A6R1W8,0,1,1,1,1,1
virulence,CXT1,2,2,0,2,1,1
virulence,Q5A4F3,4,2.5,3,4,6.5,6
virulence,C5MK57,1,2,1,2,2,1
virulence,C1GMG4,3,2,3,2,1,5
virulence,SED1,1,2,5,2,3,9
virulence,Q9UVN5,5.5,4.5,22,3,4.5,16
virulence,Q9C2Y4,4,4,5,4,5,5
virulence,Q92217,10,8,48,8,5,16
virulence,Q705V7,2,2,1,2,1,1
virulence,Q6WP53,4,4,5,4,5.5,4
virulence,Q6TFC7,4,5,8,5,5.5,9
virulence,Q5GFD3,6,4,4,2,7.5,8
virulence,Q5EMY3,2,2,3,2,2.5,3
virulence,Q5APD4,1,1,2,1,2,1
virulence,Q5AJC0,2,3.5,3,4,3,2
virulence,Q5AG71,5.5,5,6,5,7,5
virulence,Q5A762,3.5,3,14,3,7,12
virulence,Q5A506,3,2,2,2,3,2
virulence,Q59TT3,3,3,3,3,2,3
virulence,Q59NY2,2,2,3,2,2,2
virulence,Q59M50,2,2,2,2,2,3
virulence,Q4PD87,1,1,1,1,2,1
virulence,Q2VLJ1,8,4.5,17,6,5.5,14
virulence,O93841,3,3,3,3,4,3
virulence,O59928,6.5,8,10,8,9,8
virulence,O42620,2,2,1,2,2,2
virulence,LAP2,3,3,3,3,1,3
virulence,A0ST42,4,2.5,7,3,3.5,7
virulence,C0S2E8,2.5,3.5,2,4,1.5,2
virulence,A5H456,1.5,1.5,3,2,3,3
virulence,NPIIC,1,1,2,1,1,1
virulence,Q8J0E1,3,1,0,1,1,0
virulence,C0SCD5,0.5,1,1,1,0,1
virulence,F2QXJ4,1,1,1,1,0,0
virulence,Q96VB3,1,0,0,0,1.5,1
virulence,A6R0L4,0,0,0,0,1,1
virulence,Q75ZG3,0,0.5,4,0,2,5
virulence,C5GNK0,0,0,1,0,1,1
virulence,Q4WCL5,0,0,1,0,1,1
virulence,CATA,0,0,3,0,1,4
virulence,Q00368,0,0,1,0,1,1
virulence,MEP1,1,0,2,0,0.5,1
virulence,F2QXA8,1,0,1,0,1,1
virulence,Q96VZ3,1,0.5,0,0,2,2
virulence,CARP,0,0,1,0,1,0
virulence,Q96VA7,0,0.5,1,0,1,0
virulence,A6REW8,0,0.5,1,1,1.5,0
virulence,SUB4A,0.5,0.5,1,0,1,0
virulence,Q9HFU3,1,0,0,0,0.5,0
virulence,Q59ZX1,0.5,0,0,0,1,0
virulence,C0SHQ9,1,0,0,0,1,0
virulence,C0S5R1,1,0,0,0,1,0
virulence,RAD18,1,0,0,0,1,0
