Gene	Phobius	PANTHER	interpro	GO	ProSiteProfiles	TMHMM	SUPERFAMILY	SMART	Gene3D	Pfam	PATHWAY	MobiDBLite	Coils	ProSitePatterns	PRINTS	TIGRFAM	CDD	PIRSF	SignalP_GRAM_POSITIVE	SignalP_GRAM_NEGATIVE	SignalP_EUK	Hamap	SFLD	ProDom
RFU75455.1	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	PTHR19861	IPR001680	GO:0005515	PS50082;PS50294	TMhelix	SSF50978	SM00320	G3DSA:2.130.10.10	PF00400	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU79785.1	NA	PTHR21091;PTHR21091:SF123	IPR003726		PS50970	NA	SSF82282	NA	G3DSA:3.20.20.330	PF02574	Reactome: R-HSA-1614635	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU79268.1	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	PTHR23500:SF186;PTHR23500	IPR020846	GO:0005215;GO:0016021;GO:0055085;GO:0016020;GO:0022857	PS50850	TMhelix	SSF103473	NA	G3DSA:1.20.1250.20	PF00083	Reactome: R-HSA-189200	mobidb-lite	Coil	PS00217	PR00171	TIGR00879	cd06174	NA	NA	NA	NA	NA	NA	NA
RFU77859.1	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	IPR016181	NA	NA	TMhelix	SSF55729	NA	G3DSA:3.40.630.30	PF00583	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU72787.1	NA	PTHR24216:SF15;PTHR24216	IPR001781	GO:0035023	PS50023	NA	SSF57716	SM00132	G3DSA:2.10.110.10	PF00412	NA	mobidb-lite	NA	PS00478	NA	NA	cd08368;cd09397	NA	NA	NA	NA	NA	NA	NA
RFU77317.1	NA	PTHR10805;PTHR10805:SF0	IPR013026	GO:0005515;GO:0005198;GO:0006890	PS50293	NA	SSF48452	NA	G3DSA:1.25.40.10	PF04733	Reactome: R-HSA-6807878|Reactome: R-HSA-6811434	NA	Coil	NA	NA	NA	NA	PIRSF016478	NA	NA	NA	NA	NA	NA
RFU77609.1	NA	PTHR13556	IPR019340		NA	NA	NA	NA	NA	PF10198	Reactome: R-HSA-3214847|Reactome: R-HSA-5689880	mobidb-lite	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU73301.1	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	PTHR10050:SF46;PTHR10050	IPR003342	GO:0000030;GO:0006493;GO:0016020	PS50919	TMhelix	SSF82109	SM00472	G3DSA:2.80.10.50	PF02366;PF02815;PF16192	Reactome: R-HSA-5173105	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU82178.1	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN	PTHR43173:SF10;PTHR43173	IPR005197	GO:0016787	NA	NA	NA	NA	G3DSA:3.20.20.80	PF03659	NA	mobidb-lite	NA	NA	NA	NA	cd11577	NA	SignalP-TM	SignalP-noTM	NA	NA	NA	NA
RFU79243.1	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	PTHR37544;PTHR37544:SF2	IPR021840	NA	NA	TMhelix	NA	NA	NA	PF11915	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
RFU73656.1	NA	PTHR10177;PTHR10177:SF348	IPR013763	GO:0005634	NA	NA	SSF47954	SM01332;SM00385	G3DSA:1.10.472.10	PF00134;PF02984	NA	mobidb-lite	NA	PS00292	NA	NA	cd00043	NA	NA	NA	NA	NA	NA	NA
