Gene	interpro	SUPERFAMILY	PANTHER	GO	Pfam	PATHWAY	CDD	Gene3D	TMHMM	Phobius	ProSitePatterns	PIRSF	MobiDBLite	PRINTS	SMART	ProSiteProfiles	Coils	ProDom	TIGRFAM	SFLD	SignalP_EUK	SignalP_GRAM_POSITIVE	SignalP_GRAM_NEGATIVE	Hamap
PON20966.1	IPR008930	SSF48239	PTHR11774:SF11;PTHR11774	GO:0003824;GO:0004663;GO:0018344	PF00432	Reactome: R-HSA-6803205|Reactome: R-HSA-8873719	cd02894	G3DSA:1.50.10.20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON28182.1	IPR004840	NA	PTHR43341;PTHR43341:SF9	GO:0006865;GO:0016021;GO:0055085;GO:0016020;GO:0022857	PF00324	NA	NA	G3DSA:1.20.1740.10	TMhelix	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	PS00218	PIRSF006060	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON23153.1	IPR029398	SSF47802;SSF81585;SSF81301	PTHR11276;PTHR11276:SF29	GO:0003677;GO:0034061;GO:0003887;GO:0006281;GO:0016779;GO:0005634	PF14791;PF14792;PF10391;PF14716	KEGG: 00230+2.7.7.7|KEGG: 00240+2.7.7.7	cd00141	G3DSA:1.10.150.20;G3DSA:1.10.150.110;G3DSA:3.30.460.10;G3DSA:3.30.210.10	NA	NA	PS00522	NA	mobidb-lite	PR00869;PR00870	SM00483	PS50172	NA	NA	NA	NA	NA	NA	NA	NA
PON27426.1	IPR002355	SSF49503	PTHR11709:SF131;PTHR11709	GO:0005507;GO:0055114;GO:0016491	PF07732;PF00394;PF07731	NA	cd13886;cd13857;cd13910	G3DSA:2.60.40.420	TMhelix	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	PS00080;PS00079	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON23099.1	IPR036514	SSF52266	PTHR30383;PTHR30383:SF18	NA	PF13472	NA	cd01833	G3DSA:3.40.50.1110	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PON26988.1	IPR001734	NA	PTHR11819;PTHR11819:SF131	GO:0016020;GO:0022857;GO:0055085	PF00474	NA	cd11476	G3DSA:1.20.1730.10	TMhelix	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	NA	mobidb-lite	NA	NA	PS50283	NA	NA	NA	NA	NA	NA	NA	NA
PON30436.1	IPR002523	SSF144083	PTHR21535;PTHR21535:SF87	GO:0016020;GO:0030001;GO:0046873;GO:0055085	PF01544	NA	NA	G3DSA:1.20.58.340	TMhelix	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	NA	mobidb-lite	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA
PON29011.1	IPR020850	SSF52540	PTHR11566:SF66;PTHR11566	GO:0005525;GO:0003924	PF01031;PF13634;PF00350	NA	cd08771	G3DSA:3.40.50.300	NA	NA	NA	NA	mobidb-lite	PR00195	SM00053	PS51388;PS51718	Coil	NA	NA	NA	NA	NA	NA	NA
PON24376.1	IPR039961	NA	PTHR38488	NA	NA	NA	NA	NA	TMhelix	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	NA	NA	NA	NA	NA	PD750912	NA	NA	NA	NA	NA	NA
PON21655.1	IPR001650	SSF158702;SSF52540;SSF46785;SSF81296	PTHR24075:SF5;PTHR24075	GO:0003676;GO:0005524	PF02889;PF18149;PF00270;PF00271	NA	cd00079;cd00046	G3DSA:3.40.50.300;G3DSA:1.10.10.2530;G3DSA:2.60.40.150;G3DSA:1.10.3380.10;G3DSA:1.10.150.20	NA	NA	NA	PIRSF039073	mobidb-lite	NA	SM00490;SM00487;SM00973;SM00382	PS51194;PS51192	Coil	NA	NA	NA	NA	NA	NA	NA
