Gene	Phobius	PANTHER	TMHMM	MobiDBLite	interpro	SMART	Pfam	ProSiteProfiles	GO	SUPERFAMILY	PRINTS	CDD	Gene3D	Coils	PATHWAY	ProSitePatterns	PIRSF	Hamap	TIGRFAM	SignalP_EUK	SFLD	ProDom	SignalP_GRAM_POSITIVE	SignalP_GRAM_NEGATIVE
maker-NODE_199_length_28343_cov_10.645095-augustus-gene-0.0-mRNA-1	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	PTHR12203:SF57;PTHR12203	TMhelix	mobidb-lite	IPR006598	SM00672	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_9_length_67532_cov_9.640754-augustus-gene-0.12-mRNA-1	NA	PTHR10044;PTHR10044:SF139	NA	mobidb-lite	IPR001370	SM00384;SM00238	PF00653;PF02178	PS50143	GO:0003677	SSF57924	PR00929	cd00022	G3DSA:1.10.1170.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_68_length_41392_cov_11.739537-augustus-gene-0.14-mRNA-1	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	PTHR13018:SF20;PTHR13018	TMhelix	mobidb-lite	IPR003864	NA	PF02714;PF14703;PF12621;PF13967	NA	GO:0016020	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_1140_length_7294_cov_6.871494-augustus-gene-0.0-mRNA-1	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	PTHR28080	TMhelix	NA	IPR006966	NA	PF04882	NA	GO:0005779;GO:0007031	NA	NA	NA	NA	NA	Reactome: R-HSA-1369062	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_33_length_51556_cov_12.067724-processed-gene-0.45-mRNA-1	NA	PTHR18934:SF83;PTHR18934	NA	mobidb-lite	IPR001650	SM00490;SM00847;SM00487	PF00271;PF04408;PF07717	PS51194;PS51192	GO:0004386	SSF52540	NA	cd00046;cd00079	G3DSA:3.40.50.300;G3DSA:1.20.120.1080	Coil	NA	PS00690	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_1227_length_6541_cov_11.612099-augustus-gene-0.9-mRNA-1	NA	PTHR11071;PTHR11071:SF247	NA	NA	IPR002130	NA	PF00160	PS50072	GO:0000413;GO:0003755;GO:0006457	SSF50891	PR00153	cd01926	G3DSA:2.40.100.10	NA	NA	PS00170	PIRSF001467	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_685_length_12539_cov_10.679987-processed-gene-0.0-mRNA-1	NA	PTHR11558;PTHR11558:SF11	NA	NA	IPR029063	NA	PF01564;PF17284	PS51006	GO:0003824;GO:0006595	SSF53335	NA	cd02440	G3DSA:3.40.50.150;G3DSA:2.30.140.10	NA	KEGG: 00270+2.5.1.16|KEGG: 00330+2.5.1.16|KEGG: 00410+2.5.1.16|KEGG: 00480+2.5.1.16|Reactome: R-HSA-351202	PS01330	PIRSF000502	MF_00198	TIGR00417	NA	NA	NA	NA	NA
maker-NODE_23_length_57113_cov_13.380321-augustus-gene-0.69-mRNA-1	NA	PTHR23106;PTHR23106:SF24	NA	NA	IPR001374	SM00443;SM00393	PF01424;PF01585	PS50174;PS51061	GO:0003676	SSF82708	NA	cd02646	G3DSA:3.30.1370.50	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_166_length_30387_cov_12.268672-snap-gene-0.25-mRNA-1	NA	PTHR12650:SF15;PTHR12650	NA	mobidb-lite	IPR006846	NA	PF04758	NA	GO:0003735;GO:0005622;GO:0005840;GO:0006412	NA	NA	NA	NA	NA	Reactome: R-HSA-156827|Reactome: R-HSA-156902|Reactome: R-HSA-1799339|Reactome: R-HSA-192823|Reactome: R-HSA-2408557|Reactome: R-HSA-6791226|Reactome: R-HSA-72649|Reactome: R-HSA-72689|Reactome: R-HSA-72695|Reactome: R-HSA-72702|Reactome: R-HSA-72706|Reactome: R-HSA-72764|Reactome: R-HSA-9010553|Reactome: R-HSA-975956|Reactome: R-HSA-975957	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_444_length_17401_cov_9.444020-snap-gene-0.8-mRNA-1	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	PTHR40978;PTHR40978:SF6	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SignalP-noTM	NA	NA	NA	NA
