Gene	MobiDBLite	CDD	interpro	GO	Pfam	SMART	PATHWAY	Gene3D	ProSiteProfiles	SUPERFAMILY	ProSitePatterns	Coils	PIRSF	PRINTS	TIGRFAM	SFLD	Hamap
OTA05932.1	mobidb-lite	cd12148	IPR007219	GO:0003677;GO:0005634;GO:0006351;GO:0008270	PF04082	SM00906	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA02937.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA01783.1	mobidb-lite	cd12418	IPR025715	GO:0003676	PF13865;PF00076	SM00360;SM01218	Reactome: R-HSA-159236|Reactome: R-HSA-72187|Reactome: R-HSA-73856	G3DSA:3.30.70.330	PS50102	SSF54928	NA	NA	NA	NA	NA	NA	NA
OTA06062.1	mobidb-lite	NA	IPR033472		PF08585	SM01161	Reactome: R-HSA-5685938|Reactome: R-HSA-5685942|Reactome: R-HSA-5693554|Reactome: R-HSA-5693568|Reactome: R-HSA-5693579|Reactome: R-HSA-5693607|Reactome: R-HSA-5693616|Reactome: R-HSA-6804756|Reactome: R-HSA-69473	G3DSA:2.40.50.770	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA00463.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA08231.1	mobidb-lite	cd07830	IPR000719	GO:0004672;GO:0005524;GO:0006468	PF00069	SM00220	NA	G3DSA:1.10.510.10;G3DSA:3.30.200.20	PS50011	SSF56112	PS00107;PS00108	Coil	NA	NA	NA	NA	NA
OTA00240.1	NA	NA	IPR004856	GO:0005789;GO:0016758	PF03155	NA	Reactome: R-HSA-446193	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA02540.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA08647.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA07636.1	mobidb-lite	cd14837	IPR036168	GO:0006886;GO:0016192;GO:0030131	PF00928	NA	NA	G3DSA:2.60.40.1170;G3DSA:3.30.450.60	PS51072	SSF49447;SSF64356	PS00991	NA	PIRSF005992	NA	NA	NA	NA
OTA03107.1	mobidb-lite	cd17333	IPR036259	GO:0055085	PF07690	NA	NA	G3DSA:1.20.1250.20	PS50850	SSF103473	NA	NA	NA	NA	NA	NA	NA
OTA01843.1	mobidb-lite	cd06897;cd15858	IPR000727	GO:0035091	PF00787	SM00397;SM00312	NA	G3DSA:1.20.5.110;G3DSA:3.30.1520.10	PS50192;PS50195	SSF58038;SSF64268	NA	Coil	NA	NA	NA	NA	NA
OTA01581.1	mobidb-lite	cd00067	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270	PF00172	SM00066	NA	G3DSA:4.10.240.10	PS50048	SSF57701	PS00463	NA	NA	NA	NA	NA	NA
OTA00109.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA02435.1	mobidb-lite	NA	IPR021822	NA	PF11885	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA
OTA00764.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA01556.1	NA	cd00408	IPR002220	GO:0016829;GO:0003824	PF00701	SM01130	NA	G3DSA:3.20.20.70	NA	SSF51569	NA	NA	PIRSF001365	PR00146	NA	NA	NA
OTA06217.1	mobidb-lite	NA	IPR022656	GO:0003684;GO:0006289;GO:0042025	PF05181	NA	Reactome: R-HSA-5696395|Reactome: R-HSA-5696400|Reactome: R-HSA-6781823|Reactome: R-HSA-6782135	G3DSA:3.90.530.10	NA	SSF46955	PS00753	Coil	NA	NA	TIGR00598	NA	NA
OTA04198.1	NA	NA	IPR018020		PF09349	NA	KEGG: 00230+4.1.1.97|MetaCyc: PWY-5691|MetaCyc: PWY-7394|MetaCyc: PWY-7849	G3DSA:1.10.3330.10	NA	SSF158694	NA	Coil	NA	NA	NA	NA	NA
OSZ99870.1	NA	NA	IPR003819	GO:0016491;GO:0055114	PF02668	NA	Reactome: R-HSA-71262	G3DSA:3.60.130.10	NA	SSF51197	NA	NA	NA	NA	NA	NA	NA
OTA01747.1	NA	NA	IPR006076	GO:0016491;GO:0055114;GO:0003884;GO:0046416;GO:0071949	PF01266	NA	Reactome: R-HSA-389661|Reactome: R-HSA-9033241	G3DSA:3.30.9.10;G3DSA:3.40.50.720	NA	SSF51971;SSF54373	PS00677	NA	PIRSF000189	NA	NA	NA	NA
OTA08852.1	mobidb-lite	cd00067	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270	PF00172	SM00066	NA	G3DSA:4.10.240.10	PS50048	SSF57701	PS00463	NA	NA	NA	NA	NA	NA
OTA02489.1	NA	NA	NA	NA	PF13668	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
OTA03573.1	mobidb-lite	NA	IPR042263	GO:0017183	PF01866	NA	MetaCyc: PWY-6482|MetaCyc: PWY-7546|Reactome: R-HSA-5358493	G3DSA:3.40.50.11840;G3DSA:3.40.50.11850;G3DSA:3.40.50.11860	NA	NA	NA	NA	PIRSF004967	NA	TIGR00322	SFLDS00032	NA
OTA03651.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA
OTA01859.1	mobidb-lite	NA	IPR014849	NA	PF08738	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA
OTA01953.1	NA	cd02651	IPR036452	NA	PF01156	NA	NA	G3DSA:3.90.245.10	NA	SSF53590	NA	NA	NA	NA	NA	NA	NA
OTA08511.1	mobidb-lite	cd18793	IPR027417	NA	NA	NA	NA	G3DSA:3.40.50.300	NA	SSF52540	NA	NA	NA	NA	NA	NA	NA
OTA08433.1	mobidb-lite	cd18533;cd01446	IPR001763	GO:0004725;GO:0006470;GO:0016311;GO:0016791	PF00102;PF00581	SM00404;SM00194;SM00450	NA	G3DSA:3.40.250.10	PS50206;PS50056;PS50055	SSF52821;SSF52799	PS00383	Coil	NA	PR00700	NA	NA	NA
OTA02353.1	mobidb-lite	NA	IPR014047	GO:0015109;GO:0015703	PF02417	NA	NA	NA	NA	NA	NA	NA	PIRSF004810	NA	NA	NA	NA
