Query	Reference	ANI	QueryAligned
GCA_000167675.2_v2.0_cds_from_genomic.fna	GCA_000170995.2_TRIVI_v2.0_cds_from_genomic.fna	81.5186603127402	1527000
GCA_000167675.2_v2.0_cds_from_genomic.fna	GCA_000171015.2_TRIAT_v2.0_cds_from_genomic.fna	79.4507925392417	1086000
GCA_000167675.2_v2.0_cds_from_genomic.fna	GCA_000513815.1_TrireRUTC30_1_cds_from_genomic.fna	99.8761549560924	2118000
GCA_000167675.2_v2.0_cds_from_genomic.fna	GCA_000988865.1_ASM98886v1_cds_from_genomic.fna	81.0479861095031	1512000
GCA_000167675.2_v2.0_cds_from_genomic.fna	GCA_001050175.1_Tpara_v1.0_cds_from_genomic.fna	96.5769039083222	1995000
GCA_000167675.2_v2.0_cds_from_genomic.fna	GCA_001481775.2_TGAM01v2_cds_from_genomic.fna	79.2548906493129	1059000
GCA_000167675.2_v2.0_cds_from_genomic.fna	GCA_002022785.1_ASM202278v1_cds_from_genomic.fna	81.244333331672	1467000
GCA_000167675.2_v2.0_cds_from_genomic.fna	GCA_002838845.1_ASM283884v1_cds_from_genomic.fna	81.2855945983744	1500000
GCA_000167675.2_v2.0_cds_from_genomic.fna	GCA_002894145.1_Tr1_cds_from_genomic.fna	81.7544274209948	1455000
GCA_000167675.2_v2.0_cds_from_genomic.fna	GCA_002894205.1_A5MHv2.1_cds_from_genomic.fna	79.2317465851859	1011000
GCA_000167675.2_v2.0_cds_from_genomic.fna	GCA_003012105.1_Trichoderma_arundinaceum_IBT40837_contigs_cds_from_genomic.fna	80.2049753932234	1329000
GCA_000167675.2_v2.0_cds_from_genomic.fna	GCA_003025095.1_Triha_v1.0_cds_from_genomic.fna	81.3145023240057	1548000
GCA_000167675.2_v2.0_cds_from_genomic.fna	GCA_003025105.1_Trias_v._1.0_cds_from_genomic.fna	79.1918005611495	1065000
GCA_000167675.2_v2.0_cds_from_genomic.fna	GCA_003025115.1_Trici_v4.0_cds_from_genomic.fna	88.9975443237885	1956000
