Gene ID	HMMER	Hotpep	DIAMOND	Signalp	#ofTools
KAF3054678.1	AA7(74-480)	N	N	N	1
KAF3054695.1	AA7(36-214)	N	N	N	1
KAF3054706.1	GH3(59-271)	GH3	GH3	N	3
KAF3054723.1	GH62(29-297)	GH62	CBM1	N	3
KAF3054755.1	GH18(602-945)	GH18+CBM18+CBM50	CBM18	N	3
KAF3054760.1	AA7(32-235)	N	N	N	1
KAF3054761.1	GH2(180-884)	GH2	GH2	N	3
KAF3055278.1	CE10(66-342)	N	N	N	1
KAF3055288.1	GH105(913-1246)	N	N	N	1
KAF3055302.1	GH76(21-388)	GH76	N	N	2
KAF3055308.1	CE10(35-316)	N	N	N	1
KAF3055332.1	GH55(29-778)	GH28+GH55	GH55	N	3
KAF3055406.1	GH67(22-700)	GH67	GH67	N	3
KAF3055431.1	GH47(144-604)	GH47	GH47	N	3
KAF3055433.1	AA12(33-425)	AA12	AA12	N	3
KAF3055454.1	GH15(282-659)	GH15	GH15	N	3
KAF3055485.1	GH30_7(27-463)	GH30	GH30_7	N	3
KAF3055492.1	AA7(64-498)	N	N	N	1
KAF3055495.1	GH7(19-442)	GH7	CBM1	N	3
KAF3055498.1	CE3(2-192)	N	N	N	1
KAF3055501.1	AA3_2(9-603)	AA3	AA3_2	N	3
KAF3055515.1	GT32(114-189)	N	N	N	1
KAF3055525.1	GH92(282-740)	GH92	GH92	N	3
KAF3055534.1	GH10(28-321)	GH10	GH10	N	3
KAF3055541.1	AA7(102-556)	N	N	N	1
KAF3056038.1	GT76(17-439)	GT76	GT76	N	3
KAF3056040.1	GH18(21-359)	GH18	GH18	N	3
KAF3056045.1	CE10(108-437)	N	N	N	1
KAF3056082.1	GH18(160-507)	GH18	GH18	N	3
KAF3056103.1	GH47(336-806)	GH47	GH47	N	3
KAF3056124.1	GT8(62-295)	GT8	GT8	N	3
KAF3056138.1	CE10(54-342)	N	N	N	1
KAF3056139.1	GH18(28-279)	GH18	CBM1	N	3
KAF3056175.1	CE10(420-654)	N	N	N	1
KAF3056188.1	GH88(76-409)	GH88	N	N	2
KAF3056680.1	CE4(44-148)	N	N	N	1
KAF3056685.1	GH5_15(98-400)	GH5	GH5_15	N	3
KAF3056730.1	AA3_2(7-562)	AA3	AA3_2	N	3
KAF3056737.1	GH28(112-438)	GH28	GH28	N	3
KAF3056742.1	CE10(96-247)	N	N	N	1
KAF3056804.1	GH18(29-370)	GH18	GH18	N	3
KAF3056810.1	CE1(50-247)	N	CE1	N	2
KAF3056867.1	GH71(196-578)	N	N	N	1
KAF3056900.1	CE5(47-224)	CE5	N	N	2
KAF3056901.1	GH71(45-435)+CBM24(552-631)	GH71+CBM24	CBM24	N	3
KAF3056903.1	GH62(24-292)	GH62	GH62	N	3
KAF3056913.1	GH78(84-670)	GH78	GH78	N	3
KAF3056915.1	GH79(41-459)	N	N	N	1
KAF3056921.1	GH3(515-728)	GH3	GH3	N	3
KAF3056946.1	GH71(25-396)+CBM24(462-539)+CBM24(567-631)	GH71	CBM24	N	3
KAF3056969.1	AA14(18-285)	N	N	N	1
KAF3056993.1	GH3(184-432)	GH3	GH3	N	3
KAF3057008.1	GH16(91-265)	GH16+CBM18	CBM18	N	3
KAF3057483.1	AA3_2(11-608)	AA3+AA8	AA3_2	N	3
KAF3057488.1	CE10(117-273)	N	N	N	1
KAF3057524.1	GH3(42-253)	GH3	GH3	N	3
KAF3057532.1	CE10(40-194)	N	N	N	1
KAF3057535.1	GH31(208-657)	GH31	GH31	N	3
KAF3057558.1	GH128(77-288)	N	N	N	1
KAF3057560.1	CE10(114-282)	N	N	N	1
KAF3057561.1	GH1(171-642)	GH1	GH1	N	3
KAF3057572.1	AA2(70-247)	N	N	N	1
KAF3057673.1	GH3(69-291)	GH3	GH3	N	3
KAF3057684.1	GH13_31(29-379)	GH13	GH13	N	3
KAF3057710.1	GH71(42-422)	GH71	CBM24	N	3
KAF3057725.1	GH18(15-362)	GH18+CBM18+CBM50	CBM18	N	3
KAF3057737.1	AA7(56-262)	N	N	N	1
KAF3057739.1	GH20(206-549)	GH20	GH20	N	3
KAF3057746.1	CE4(141-270)	CE4	CBM18	N	3
KAF3057747.1	AA3_3(10-613)	AA3	AA3_3	N	3
KAF3057750.1	GH75(6-230)	GH75	N	N	2
KAF3057886.1	GH18(549-894)+CBM24(916-991)	GH18+CBM18+CBM50	CBM18	N	3
KAF3057893.1	GT15(75-352)	GT15	GT15	N	3
KAF3057904.1	AA2(61-244)	N	AA0	N	2
KAF3058751.1	GT22(27-507)	GT22	GT22	N	3
KAF3058775.1	AA3_2(12-577)	AA3+AA8	AA3_2	N	3
KAF3058887.1	GT71(151-407)	GT71	GT71	N	3
KAF3058893.1	GH7(26-395)	GH7	CBM1	N	3
KAF3058914.1	GH13_8(236-529)	GH13+CBM48	CBM48	N	3
KAF3058975.1	GH1(6-477)	GH1	GH1	N	3
KAF3059020.1	AA3_2(12-593)	AA3+AA8	AA3_2	N	3
KAF3059051.1	GH92(262-771)	GH92	GH92	N	3
KAF3059075.1	AA7(130-330)	N	N	N	1
KAF3059154.1	GH43_11(4-295)	GH43	GH43_11	N	3
KAF3059158.1	CE10(91-235)	N	N	N	1
KAF3059176.1	GT1(322-509)	N	GT1	N	2
KAF3059187.1	GH5_12(46-579)	GH5	GH5_12	N	3
KAF3060149.1	GH125(585-1019)	GH125	GH125	N	3
