Gene ID	HMMER	Hotpep	DIAMOND	Signalp	#ofTools
augustus_masked-NODE_102_length_60017_cov_33.923410-processed-gene-0.26-mRNA-1	GT58(15-379)	GT58	GT58	N	3
augustus_masked-NODE_104_length_59774_cov_30.899123-processed-gene-0.12-mRNA-1	GH5_5(3-294)	GH5	GH5_5	N	3
augustus_masked-NODE_10_length_140912_cov_29.142544-processed-gene-0.21-mRNA-1	GH64(76-454)	GH64	N	N	2
augustus_masked-NODE_10_length_140912_cov_29.142544-processed-gene-0.8-mRNA-1	GH125(94-491)	GH125	GH125	N	3
augustus_masked-NODE_122_length_56721_cov_26.877796-processed-gene-0.18-mRNA-1	GT62(71-335)	GT62	GT62	N	3
augustus_masked-NODE_128_length_55507_cov_28.276219-processed-gene-0.14-mRNA-1	GT32(89-166)	N	N	N	1
augustus_masked-NODE_12_length_134043_cov_31.481966-processed-gene-0.4-mRNA-1	GH72(21-330)+CBM43(382-467)	GH72	CBM43+GH72	N	3
augustus_masked-NODE_12_length_134043_cov_31.481966-processed-gene-0.9-mRNA-1	GH132(175-398)	GH132	N	N	2
augustus_masked-NODE_131_length_55158_cov_33.214316-processed-gene-0.14-mRNA-1	GH31(249-822)	GH31	GH31	N	3
augustus_masked-NODE_137_length_53965_cov_29.613879-processed-gene-0.7-mRNA-1	CE10(85-302)	N	N	N	1
augustus_masked-NODE_142_length_53770_cov_34.078295-processed-gene-0.12-mRNA-1	GH17(101-300)	GH17	GH17	N	3
augustus_masked-NODE_146_length_52847_cov_29.950076-processed-gene-0.0-mRNA-1	GH3(34-245)	GH3	GH3	N	3
augustus_masked-NODE_148_length_52023_cov_29.616136-processed-gene-0.14-mRNA-1	GH18(42-296)	GH18	GH18	N	3
augustus_masked-NODE_153_length_51459_cov_30.363867-processed-gene-0.2-mRNA-1	AA11(19-173)	AA11	N	N	2
augustus_masked-NODE_154_length_51442_cov_28.167281-processed-gene-0.13-mRNA-1	GH2(103-734)	GH2	GH2	N	3
augustus_masked-NODE_155_length_51198_cov_28.667933-processed-gene-0.18-mRNA-1	GT8(16-338)	GT8	N	N	2
augustus_masked-NODE_16_length_121858_cov_26.817705-processed-gene-0.26-mRNA-1	GH16(97-333)	GH16	N	N	2
augustus_masked-NODE_171_length_46832_cov_31.711316-processed-gene-0.9-mRNA-1	GH16(112-330)	N	N	N	1
augustus_masked-NODE_173_length_46499_cov_28.401471-processed-gene-0.6-mRNA-1	GH92(347-860)	GH92	GH92	N	3
augustus_masked-NODE_17_length_119947_cov_30.609589-processed-gene-0.10-mRNA-1	GH13_8(234-527)	GH13+CBM48	CBM48+GH13_8	N	3
augustus_masked-NODE_182_length_45774_cov_25.718010-processed-gene-0.11-mRNA-1	CE10(43-341)	N	N	N	1
augustus_masked-NODE_18_length_119080_cov_32.377023-processed-gene-0.1-mRNA-1	GH16(115-338)	N	N	N	1
augustus_masked-NODE_1_length_234904_cov_31.360218-processed-gene-0.16-mRNA-1	AA7(30-227)	N	N	N	1
augustus_masked-NODE_1_length_234904_cov_31.360218-processed-gene-1.25-mRNA-1	GH16(89-376)	GH16	GH16	N	3
augustus_masked-NODE_20_length_113784_cov_31.196160-processed-gene-0.28-mRNA-1	GH47(146-635)	GH47	GH47	N	3
augustus_masked-NODE_20_length_113784_cov_31.196160-processed-gene-0.3-mRNA-1	GT76(17-438)	GT76	GT76	N	3
augustus_masked-NODE_216_length_41715_cov_28.207921-processed-gene-0.1-mRNA-1	GT33(42-463)	GT33	GT33	N	3
augustus_masked-NODE_21_length_113006_cov_28.343846-processed-gene-0.6-mRNA-1	GH128(184-398)	N	N	N	1
augustus_masked-NODE_23_length_103219_cov_31.605750-processed-gene-0.0-mRNA-1	CBM21(322-428)	CBM21	CBM21	N	3
augustus_masked-NODE_24_length_102273_cov_28.936982-processed-gene-0.17-mRNA-1	GH16(81-219)	GH16	N	N	2
augustus_masked-NODE_24_length_102273_cov_28.936982-processed-gene-0.9-mRNA-1	GH92(432-896)	GH92	GH92	N	3
augustus_masked-NODE_250_length_38500_cov_28.879785-processed-gene-0.7-mRNA-1	CE10(63-368)	N	N	N	1
augustus_masked-NODE_25_length_99982_cov_34.719373-processed-gene-0.17-mRNA-1	CE10(77-325)	N	N	N	1
augustus_masked-NODE_264_length_37206_cov_31.438523-processed-gene-0.1-mRNA-1	GH18(85-333)	N	GH18	N	2
augustus_masked-NODE_269_length_36424_cov_29.715899-processed-gene-0.0-mRNA-1	GT69(161-258)+GT69(320-464)	GT69	GT69	N	3
augustus_masked-NODE_26_length_97657_cov_33.011966-processed-gene-0.36-mRNA-1	GH63(597-808)	GH63	GH63	N	3
augustus_masked-NODE_275_length_35904_cov_30.470582-processed-gene-0.0-mRNA-1	AA3(9-539)	AA3	AA3_2	N	3
augustus_masked-NODE_284_length_35386_cov_29.693185-processed-gene-0.1-mRNA-1	GH76(22-396)	GH76	GH76	N	3
augustus_masked-NODE_292_length_34657_cov_29.131856-processed-gene-0.13-mRNA-1	GT20(159-615)	GT20	GT20	N	3
augustus_masked-NODE_296_length_34502_cov_33.200669-processed-gene-0.2-mRNA-1	GH76(32-402)	GH76	GH76	N	3
augustus_masked-NODE_302_length_33778_cov_28.580696-processed-gene-0.12-mRNA-1	GH43(27-310)+CBM66(326-480)	GH43	CBM66+GH43_34	N	3
augustus_masked-NODE_309_length_33322_cov_27.141045-processed-gene-0.4-mRNA-1	GH49(81-571)	GH49	GH49	N	3
augustus_masked-NODE_321_length_32424_cov_26.884974-processed-gene-0.2-mRNA-1	GT22(12-164)	GT22	GT22	N	3
augustus_masked-NODE_357_length_29718_cov_27.985773-processed-gene-0.0-mRNA-1	GT90(350-669)	GT90	GT90	N	3
augustus_masked-NODE_36_length_88520_cov_30.676818-processed-gene-0.3-mRNA-1	GH47(1-433)	GH47	GH47	N	3
augustus_masked-NODE_373_length_28379_cov_25.408962-processed-gene-0.2-mRNA-1	CE10(17-310)	N	N	N	1
augustus_masked-NODE_37_length_87994_cov_33.118292-processed-gene-0.16-mRNA-1	GH55(39-786)	GH28+GH55	GH55	N	3
augustus_masked-NODE_386_length_27465_cov_27.680408-processed-gene-0.0-mRNA-1	GH31(200-641)	GH31	GH31	N	3
augustus_masked-NODE_386_length_27465_cov_27.680408-processed-gene-0.3-mRNA-1	GT69(92-367)	GT69	GT69	N	3
augustus_masked-NODE_388_length_27387_cov_31.594607-processed-gene-0.6-mRNA-1	GH5_9(336-660)	GH5	GH5_9	N	3
augustus_masked-NODE_403_length_25963_cov_33.692948-processed-gene-0.5-mRNA-1	AA3_2(7-567)	AA3+AA8	N	N	2
augustus_masked-NODE_409_length_25592_cov_35.122207-processed-gene-0.4-mRNA-1	GT66(43-663)	GT66	GT66	N	3
augustus_masked-NODE_433_length_24491_cov_25.507757-processed-gene-0.0-mRNA-1	GH28(114-436)	GH28	GH28	N	3
augustus_masked-NODE_438_length_24251_cov_24.312801-processed-gene-0.8-mRNA-1	GH16(32-282)	GH16	N	N	2
augustus_masked-NODE_460_length_22952_cov_29.572705-processed-gene-0.5-mRNA-1	CE10(24-311)	N	N	N	1
augustus_masked-NODE_465_length_22662_cov_30.093277-processed-gene-0.3-mRNA-1	GH31(233-714)	GH31	GH31	N	3
augustus_masked-NODE_487_length_21818_cov_23.900097-processed-gene-0.0-mRNA-1	GH3(97-346)	GH3	GH3	N	3
augustus_masked-NODE_48_length_79498_cov_30.623276-processed-gene-0.18-mRNA-1	GH38(306-447)	GH38	GH38	N	3
augustus_masked-NODE_4_length_176087_cov_30.591987-processed-gene-0.31-mRNA-1	GT17(1-261)	GT17	N	N	2
augustus_masked-NODE_53_length_76262_cov_31.542602-processed-gene-0.17-mRNA-1	GH3(195-407)+GH75(969-1191)	GH3+GH75	GH3	N	3
augustus_masked-NODE_545_length_18439_cov_31.280090-processed-gene-0.4-mRNA-1	GH20(184-561)	GH20	GH20	N	3
augustus_masked-NODE_546_length_18301_cov_34.282877-processed-gene-0.5-mRNA-1	PL1_2(70-241)	PL1	N	N	2
augustus_masked-NODE_561_length_17696_cov_34.991348-processed-gene-0.2-mRNA-1	GH3(57-265)	GH3	GH3	N	3
augustus_masked-NODE_565_length_17542_cov_28.911341-processed-gene-0.3-mRNA-1	GT22(8-402)	GT22	GT22	N	3
augustus_masked-NODE_56_length_74484_cov_31.889600-processed-gene-0.14-mRNA-1	GH18(27-374)	GH18	N	N	2
augustus_masked-NODE_578_length_16954_cov_27.478457-processed-gene-0.6-mRNA-1	GT22(36-516)	GT22	GT22	N	3
augustus_masked-NODE_57_length_74390_cov_31.153131-processed-gene-0.12-mRNA-1	GH47(40-582)	GH47	GH47	N	3
augustus_masked-NODE_5_length_153369_cov_33.043996-processed-gene-0.38-mRNA-1	GH1(2-463)	GH1	GH1	N	3
augustus_masked-NODE_5_length_153369_cov_33.043996-processed-gene-0.56-mRNA-1	GH92(238-726)	GH92	GH92	N	3
augustus_masked-NODE_609_length_16035_cov_36.773824-processed-gene-0.11-mRNA-1	GT2(10-179)	GT2	GT2	N	3
augustus_masked-NODE_616_length_15909_cov_21.350082-processed-gene-0.2-mRNA-1	GH31(369-816)	GH31	GH31	N	3
augustus_masked-NODE_618_length_15816_cov_25.139078-processed-gene-0.3-mRNA-1	GH18(17-234)	GH18	N	N	2
augustus_masked-NODE_627_length_15525_cov_31.161190-processed-gene-0.3-mRNA-1	GH92(261-595)	GH92	GH92	N	3
augustus_masked-NODE_62_length_72351_cov_29.915056-processed-gene-0.11-mRNA-1	GH16(84-225)	GH16	N	N	2
augustus_masked-NODE_635_length_15120_cov_36.755686-processed-gene-0.0-mRNA-1	GT90(603-832)	GT90	N	N	2
augustus_masked-NODE_637_length_15075_cov_25.944942-processed-gene-0.2-mRNA-1	GH55(31-743)	N	GH55	N	2
augustus_masked-NODE_63_length_72307_cov_33.539485-processed-gene-0.3-mRNA-1	CE4(102-231)	CE4	N	N	2
augustus_masked-NODE_646_length_14862_cov_16.736681-processed-gene-0.2-mRNA-1	CBM1(27-54)+GH5_5(215-508)	GH5	N	N	2
