component,bigscape,acc,genome_id,id,family,tree_order,genus,genus_species,position,style,Host,Location,Genome Size,G size,Agriculture,num_agricultures
component_1,ICBG2049_scaffold1.cluster002,ICBG2049,ICBG2049.all.maker.transcripts.fasta,seq32,Hypocreaceae,15,Escovopsis,ICBG2049,-1,Italic,Myrmicocrypta,Panama,NA,0,Lower,4
component_1,ICBG733_c00001_NODE_1_...cluster017,ICBG733,ICBG733.all.maker.transcripts.fasta,seq6,Hypocreaceae,27,Escovopsis,ICBG733,-1,Italic,Trachymyrmex,Ducke,27.31,27.3,Higher,4
component_1,NIGB00000000_NIGB01000001.1.cluster014,NIGB00000000,NIGB00000000.all.maker.transcripts.fasta,seq29,Hypocreaceae,30,Escovopsis,NIGB00000000,-1,Normal,Attini,Colombia,27.38,27.4,Leafcutter,4
component_1,ICBG1065_c00001_NODE_1_...cluster006,ICBG1065,ICBG1065.all.maker.transcripts.fasta,seq14,Hypocreaceae,21,Escovopsis,ICBG1065,-1,Italic,Apterostigma,Itatiaia,25.36,25.4,Coral,4
component_1,ICBG736_c00001_NODE_1_...cluster015,ICBG736,ICBG736.all.maker.transcripts.fasta,seq2,Hypocreaceae,34,Escovopsis,ICBG736,-1,Italic,Acromyrmex,Anavilhanas,30.19,30.2,Leafcutter,4
component_1,ICBG1096_scaffold1.cluster016,ICBG1096,ICBG1096.all.maker.transcripts.fasta,seq37,Hypocreaceae,28,Escovopsis,ICBG1096,-1,Italic,Trachymyrmex,Anavilhanas,NA,0,Higher,4
component_1,ICBG731_scaffold1.cluster014,ICBG731,ICBG731.all.maker.transcripts.fasta,seq13,Hypocreaceae,33,Escovopsis,ICBG731,-1,Normal,Attini,Ducke,29.13,29.1,Leafcutter,4
component_1,NIGC00000000_NIGC01000001.1.cluster015,NIGC00000000,NIGC00000000.all.maker.transcripts.fasta,seq23,Hypocreaceae,35,Escovopsis,NIGC00000000,-1,Italic,Acromyrmex,Panama,NA,0,Leafcutter,4
component_1,ICBG751_c00001_NODE_1_...cluster017,ICBG751,ICBG751.all.maker.transcripts.fasta,seq25,Hypocreaceae,26,Escovopsis,ICBG751,-1,Italic,Trachymyrmex,Anavilhanas,29.04,29,Higher,4
component_1,ICBG1054_c00001_NODE_1_...cluster001,ICBG1054,ICBG1054.all.maker.transcripts.fasta,seq4,Hypocreaceae,19,Escovopsis,ICBG1054,-1,Italic,Apterostigma,Anavilhanas,22.14,22.1,Coral,4
component_1,NQYQ00000000_NQYQ01000001.1.cluster014,NQYQ00000000,NQYQ00000000.all.maker.transcripts.fasta,seq20,Hypocreaceae,36,Escovopsis,NQYQ00000000,-1,Italic,Acromyrmex,Panama,31.56,31.6,Leafcutter,4
component_1,NQYR00000000_NQYR01000001.1.cluster018,NQYR00000000,NQYR00000000.all.maker.transcripts.fasta,seq35,Hypocreaceae,37,Escovopsis,NQYR00000000,-1,Italic,Acromyrmex,Panama,29.98,30,Leafcutter,4
component_1,ICBG742_c00001_NODE_1_...cluster003,ICBG742,ICBG742.all.maker.transcripts.fasta,seq11,Hypocreaceae,29,Escovopsis,ICBG742,-1,Italic,Acromyrmex,Anavilhanas,29.69,29.7,Higher,4
component_1,LGSR00000000_LGSR01000020.1.cluster008,LGSR00000000,LGSR00000000.transcripts.fasta,seq30,Hypocreaceae,31,Escovopsis,LGSR00000000,-1,Italic,Atta,Panama,27.2,27.2,Leafcutter,4
component_1,NQYS00000000_NQYS01000001.1.cluster016,NQYS00000000,NQYS00000000.all.maker.transcripts.fasta,seq17,Hypocreaceae,32,Escovopsis,NQYS00000000,-1,Italic,Atta,Panama,NA,0,Leafcutter,4
component_1,ICBG2048_c00001_NODE_1_...cluster006,ICBG2048,ICBG2048.all.maker.transcripts.fasta,seq31,Hypocreaceae,14,Escovopsis,ICBG2048,-1,Italic,Cyphomyrmex,Panama,NA,0,Lower,4
component_2,GCA_003025105.1_KZ679256.1.cluster019,GCA_003025105.1,GCA_003025105.1_Trias_v._1.0_cds_from_genomic.fna,seq16,Hypocreaceae,9,Trichoderma,Trichoderma asperellum,-1,Italic,NA,NA,37.44,37.4,NA,5
component_2,NQYR00000000_NQYR01000001.1.cluster001,NQYR00000000,NQYR00000000.all.maker.transcripts.fasta,seq35,Hypocreaceae,37,Escovopsis,NQYR00000000,-1,Italic,Acromyrmex,Panama,29.98,30,Leafcutter,5
component_2,NIGD00000000_NIGD01000001.1.cluster007,NIGD00000000,NIGD00000000.all.maker.transcripts.fasta,seq15,Hypocreaceae,23,Escovopsis,NIGD00000000,-1,Italic,Trachymyrmex,Panama,NA,0,Higher,5
component_2,ICBG1096_scaffold1.cluster015,ICBG1096,ICBG1096.all.maker.transcripts.fasta,seq37,Hypocreaceae,28,Escovopsis,ICBG1096,-1,Italic,Trachymyrmex,Anavilhanas,NA,0,Higher,5
component_2,NIGC00000000_NIGC01000001.1.cluster013,NIGC00000000,NIGC00000000.all.maker.transcripts.fasta,seq23,Hypocreaceae,35,Escovopsis,NIGC00000000,-1,Italic,Acromyrmex,Panama,NA,0,Leafcutter,5
component_2,GCA_003012105.1_PXOA01000002.1.cluster020,GCA_003012105.1,GCA_003012105.1_Trichoderma_arundinaceum_IBT40837_contigs_cds_from_genomic.fna,seq22,Hypocreaceae,8,Trichoderma,Trichoderma arundinaceum,-1,Italic,NA,NA,36.87,36.9,NA,5
component_2,NQYQ00000000_NQYQ01000001.1.cluster006,NQYQ00000000,NQYQ00000000.all.maker.transcripts.fasta,seq20,Hypocreaceae,36,Escovopsis,NQYQ00000000,-1,Italic,Acromyrmex,Panama,31.56,31.6,Leafcutter,5
component_2,GCA_004303015.1_ASM430301v1_genomic_RZGP01000001.1.cluster023,GCA_004303015.1,GCA_004303015.1_ASM430301v1_genomic.all.maker.transcripts.fasta,seq9,Hypocreaceae,12,Cladobotryum,Cladobotryum protrusum,-1,Italic,NA,NA,39.09,39.1,NA,5
component_2,ICBG736_c00001_NODE_1_...cluster013,ICBG736,ICBG736.all.maker.transcripts.fasta,seq2,Hypocreaceae,34,Escovopsis,ICBG736,-1,Italic,Acromyrmex,Anavilhanas,30.19,30.2,Leafcutter,5
component_2,GCA_001481775.2_JPDN02000001.1.cluster040,GCA_001481775.2,GCA_001481775.2_TGAM01v2_cds_from_genomic.fna,seq33,Hypocreaceae,10,Trichoderma,Trichoderma gamsii,-1,Italic,NA,NA,37.91,37.9,NA,5
component_2,ICBG733_c00001_NODE_1_...cluster015,ICBG733,ICBG733.all.maker.transcripts.fasta,seq6,Hypocreaceae,27,Escovopsis,ICBG733,-1,Italic,Trachymyrmex,Ducke,27.31,27.3,Higher,5
component_2,GCA_003025155.1_KZ679126.1.cluster019,GCA_003025155.1,GCA_003025155.1_Trilo3_cds_from_genomic.fna,seq34,Hypocreaceae,2,Trichoderma,Trichoderma longibrachiatum,-1,Italic,NA,NA,31.19,31.2,NA,5
component_2,ICBG712_c00001_NODE_1_...cluster014,ICBG712,ICBG712.all.maker.transcripts.fasta,seq27,Hypocreaceae,17,Escovopsis,ICBG712,-1,Italic,Apterostigma,Anavilhanas,30.72,30.7,Coral,5
