Gene	interpro	Pfam	Phobius	TMHMM	GO	PATHWAY	ProSitePatterns	CDD	TIGRFAM	Gene3D	SMART	PANTHER	SUPERFAMILY	MobiDBLite	Coils	PRINTS	PIRSF	Hamap	ProSiteProfiles	SignalP_EUK	SignalP_GRAM_POSITIVE	SignalP_GRAM_NEGATIVE	SFLD	ProDom
maker-NODE_312_length_24343_cov_28.472828-snap-gene-0.98-mRNA-1	IPR007886	PF05222;PF12769;PF01262;PF02233	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	GO:0016491;GO:0055114;GO:0008746;GO:1902600	KEGG: 00250+1.4.1.1|KEGG: 00430+1.4.1.1|Reactome: R-HSA-71403	PS00837;PS00836	cd05304	TIGR00561	G3DSA:3.40.50.720;G3DSA:3.40.50.1220	SM01002;SM01003	PTHR10160	SSF52283;SSF51735;SSF52467	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_429_length_19635_cov_24.924544-snap-gene-0.0-mRNA-1	IPR015381	PF09302	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	NA	GO:0005634;GO:0006302	Reactome: R-HSA-5693571	NA	NA	NA	G3DSA:2.170.210.10	NA	PTHR32235	NA	mobidb-lite	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_274_length_26008_cov_28.930142-processed-gene-0.11-mRNA-1	IPR018303	PF13246;PF16209;PF16212	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	GO:0000287;GO:0004012;GO:0005524;GO:0015914;GO:0016021;GO:0000166	Reactome: R-HSA-936837	PS00154	cd02073	TIGR01494;TIGR01652	G3DSA:1.20.1110.10;G3DSA:3.40.50.1000;G3DSA:3.40.1110.10;G3DSA:2.70.150.10	NA	PTHR24092;PTHR24092:SF34	SSF81660;SSF81665;SSF56784;SSF81653	mobidb-lite	NA	PR00119	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_60_length_53863_cov_31.801604-snap-gene-0.16-mRNA-1	IPR001971	PF00411	NA	NA	GO:0003735;GO:0005840;GO:0006412	NA	PS00054	NA	NA	G3DSA:3.30.420.80	NA	PTHR11759:SF11;PTHR11759	SSF53137	mobidb-lite	NA	NA	PIRSF002131	MF_01310	NA	NA	NA	NA	NA	NA
maker-NODE_6_length_87888_cov_30.368045-snap-gene-0.224-mRNA-1	IPR036259	PF07690	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	GO:0016021;GO:0055085	NA	NA	cd06174	NA	G3DSA:1.20.1250.20	NA	PTHR23514;PTHR23514:SF3	SSF103473	NA	NA	NA	NA	NA	PS50850	NA	NA	NA	NA	NA
augustus_masked-NODE_640_length_13777_cov_28.275824-processed-gene-0.1-mRNA-1	IPR000760	PF00459	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	TMhelix	GO:0046854	NA	NA	cd01517	NA	G3DSA:3.30.540.10;G3DSA:3.40.190.80	NA	PTHR43200;PTHR43200:SF2	SSF56655	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_143_length_35899_cov_22.113021-augustus-gene-0.56-mRNA-1	IPR001382	PF01532	NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE	TMhelix	GO:0004571;GO:0005509;GO:0016020;GO:0003824	NA	NA	NA	NA	G3DSA:1.50.10.10	NA	PTHR11742:SF78;PTHR11742	SSF48225	mobidb-lite	NA	PR00747	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_145_length_35798_cov_30.251941-processed-gene-0.4-mRNA-1	IPR018136	PF00330;PF00694	NA	NA	GO:0003994;GO:0006099;GO:0051539	KEGG: 00290+4.2.1.33	PS00450;PS01244	NA	TIGR01340	G3DSA:3.30.499.10;G3DSA:3.40.1060.10;G3DSA:3.20.19.10	NA	PTHR43160;PTHR43160:SF2	SSF53732;SSF52016	NA	NA	PR00415	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_145_length_35798_cov_30.251941-processed-gene-0.5-mRNA-1	IPR018136	PF00330;PF00694	NA	NA	GO:0003994;GO:0006099;GO:0051539	KEGG: 00290+4.2.1.33	PS00450;PS01244	NA	TIGR01340	G3DSA:3.30.499.10;G3DSA:3.40.1060.10;G3DSA:3.20.19.10	NA	PTHR43160;PTHR43160:SF2	SSF53732;SSF52016	NA	NA	PR00415	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_192_length_31860_cov_30.435855-snap-gene-0.107-mRNA-1	IPR033122	PF07766	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	GO:0043022	NA	NA	NA	NA	NA	NA	PTHR14009:SF6;PTHR14009	NA	NA	NA	NA	NA	NA	PS51758	NA	NA	NA	NA	NA
maker-NODE_1069_length_6715_cov_38.042350-augustus-gene-0.4-mRNA-1	IPR001461	PF00026	TRANSMEMBRANE;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;CYTOPLASMIC_DOMAIN	NA	GO:0004190;GO:0006508	NA	PS00141	cd05474	NA	G3DSA:2.40.70.10	NA	PTHR13683;PTHR13683:SF326	SSF50630	NA	NA	PR00792	NA	NA	PS51767	SignalP-noTM	SignalP-TM	SignalP-noTM	NA	NA
snap_masked-NODE_234_length_28600_cov_28.772767-processed-gene-0.45-mRNA-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_618_length_14282_cov_24.543271-processed-gene-0.18-mRNA-1	IPR012280	PF02774;PF01118	NA	TMhelix	GO:0008652;GO:0016620;GO:0046983;GO:0051287;GO:0055114;GO:0050661;GO:0004073;GO:0006520	KEGG: 00220+1.2.1.38|MetaCyc: PWY-5154|MetaCyc: PWY-7400	PS01103	NA	TIGR00978	G3DSA:3.30.360.10;G3DSA:3.40.50.720	SM00859	PTHR10174;PTHR10174:SF2	SSF55347;SSF51735	NA	NA	NA	PIRSF000148	NA	NA	NA	NA	NA	NA	NA
maker-NODE_173_length_33277_cov_28.144676-snap-gene-0.98-mRNA-1	IPR005679	PF00164	NA	NA	GO:0003735;GO:0006412;GO:0015935;GO:0005840	Reactome: R-HSA-5368286|Reactome: R-HSA-5389840|Reactome: R-HSA-5419276	NA	cd03368	TIGR00981	G3DSA:2.40.50.140	NA	PTHR11652;PTHR11652:SF1	SSF50249	NA	NA	PR01034	NA	NA	NA	NA	SignalP-TM	NA	NA	NA
snap_masked-NODE_32_length_64731_cov_35.203826-processed-gene-0.0-mRNA-1	NA	PF17784	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	NA	NA	NA	NA	NA	G3DSA:3.40.50.300	NA	PTHR36978	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
