Gene ID	HMMER	Hotpep	DIAMOND	Signalp	#ofTools
OPB35921.1	GH18(116-465)	GH18+CBM18	CBM18+GH18	N	3
OPB35984.1	GH18(165-513)	GH18	GH18	N	3
OPB35995.1	GH18(21-359)	GH18	GH18	N	3
OPB36002.1	CE10(108-437)	N	N	N	1
OPB36011.1	GH47(43-513)	GH47	GH47	N	3
OPB36015.1	GT76(16-437)	GT76	GT76	N	3
OPB36075.1	CE10(97-247)	N	N	N	1
OPB36086.1	AA3_2(31-605)	AA3	AA3_2	N	3
OPB36119.1	AA2(70-248)	N	N	N	1
OPB36127.1	CE10(117-269)	N	N	N	1
OPB36130.1	AA3_2(8-603)	AA3+AA8	N	N	2
OPB36134.1	GH1(163-454)	GH1	GH1	N	3
OPB36136.1	CE10(114-282)	N	N	N	1
OPB36138.1	GH128(44-255)	N	N	N	1
OPB36162.1	GH31(208-657)	GH31	GH31	N	3
OPB36181.1	GH3(42-253)	GH3	GH3	N	3
OPB36249.1	GH3(96-344)	GH3	GH3	N	3
OPB36250.1	GH3(71-278)	GH3	GH3	N	3
OPB36276.1	AA7(59-271)	N	N	N	1
OPB36282.1	GH2(42-788)	GH2	GH2	N	3
OPB36316.1	GH81(46-718)	GH81	GH81	N	3
OPB36320.1	GH115(20-630)	GH115	GH115	N	3
OPB36337.1	CE10(136-413)	N	N	N	1
OPB36347.1	CE10(120-272)	N	N	N	1
OPB36358.1	GH5_9(383-707)	GH5	GH5_9	N	3
OPB36372.1	GH3(86-311)	N	GH3	N	2
OPB36373.1	CE9(18-408)	CE9	CE9	N	3
OPB36430.1	CE10(61-343)	N	N	N	1
OPB36448.1	GT1(7-405)	GT1	GT1	N	3
OPB36499.1	GH18(7-355)	GH18	GH18	N	3
OPB36512.1	GT90(364-649)	GT90	GT90	N	3
OPB36521.1	GT69(200-454)	N	GT69	N	2
OPB36637.1	GH47(230-1166)	GH47	GH47	N	3
OPB36736.1	GT20(15-478)	GT20	GT20	N	3
OPB36776.1	GH43_11(4-295)	GH43	GH43_11	N	3
OPB36777.1	CE10(91-235)	N	N	N	1
OPB36783.1	GH92(262-771)	GH92	GH92	N	3
OPB36795.1	GT1(322-509)	N	GT1	N	2
OPB36798.1	AA7(130-330)	N	AA7	N	2
