Gene	TMHMM	interpro	SUPERFAMILY	MobiDBLite	Phobius	PANTHER	GO	PATHWAY	Pfam	TIGRFAM	Gene3D	Coils	ProSiteProfiles	SMART	SignalP_EUK	CDD	ProSitePatterns	PRINTS	SignalP_GRAM_POSITIVE	PIRSF	Hamap	SignalP_GRAM_NEGATIVE	ProDom	SFLD
augustus_masked-NODE_48_length_167417_cov_47.109534-processed-gene-0.111-mRNA-1	TMhelix	IPR027469	SSF161111;SSF160240	mobidb-lite	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	PTHR43840;PTHR43840:SF12	GO:0006812;GO:0008324;GO:0016021;GO:0055085	Reactome: R-HSA-435368	PF01545;PF16916	TIGR01297	G3DSA:1.20.1510.10;G3DSA:3.30.70.1350	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_51_length_160311_cov_48.731790-processed-gene-0.29-mRNA-1	TMhelix	IPR001841	SSF57850	mobidb-lite	SIGNAL_PEPTIDE_N_REGION;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION	PTHR44631	GO:0008270	Reactome: R-HSA-8951664|Reactome: R-HSA-983168	PF12678	NA	G3DSA:3.30.40.10	NA	PS50089	SM00184	SignalP-noTM	cd16448	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_94_length_98764_cov_45.232722-snap-gene-0.5-mRNA-1	TMhelix	IPR000727	SSF47661	mobidb-lite	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	PTHR19957:SF3;PTHR19957	GO:0016020;GO:0016192	Reactome: R-HSA-204005|Reactome: R-HSA-5694530|Reactome: R-HSA-6807878|Reactome: R-HSA-6811438	PF05739;PF11416	NA	G3DSA:1.20.58.70	NA	PS50192	SM00397	NA	cd15844	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_1_length_655175_cov_46.306011-processed-gene-5.57-mRNA-1	TMhelix	IPR006977	NA	mobidb-lite	CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	PTHR12822:SF2;PTHR12822	GO:0016020;GO:0005794;GO:0016192	NA	PF04893	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_4_length_485698_cov_44.640333-snap-gene-1.5-mRNA-1	NA	NA	NA	mobidb-lite	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_166_length_32008_cov_37.761676-snap-gene-0.1-mRNA-1	NA	IPR032095	SSF55347	NA	NA	PTHR11133;PTHR11133:SF14		Reactome: R-HSA-71064	PF16653	NA	G3DSA:3.40.50.720;G3DSA:3.30.360.10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_155_length_37555_cov_34.414048-processed-gene-0.15-mRNA-1	NA	IPR000717	SSF46785	mobidb-lite	NA	PTHR10678;PTHR10678:SF3	GO:0008180	Reactome: R-HSA-5696394|Reactome: R-HSA-6781823|Reactome: R-HSA-8856825|Reactome: R-HSA-8951664	PF01399	NA	G3DSA:1.25.40.570	NA	PS50250	SM00088;SM00753	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_67_length_141435_cov_43.624147-snap-gene-0.8-mRNA-1	NA	IPR007219	SSF57701	mobidb-lite	NA	PTHR45595	GO:0003677;GO:0005634;GO:0006351;GO:0008270;GO:0000981;GO:0006355	NA	PF04082;PF00172	NA	G3DSA:4.10.240.10	NA	PS50048	SM00906;SM00066	NA	cd12148;cd00067	PS00463	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_54_length_156753_cov_174.498455-processed-gene-0.92-mRNA-1	TMhelix	IPR022124	NA	mobidb-lite	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	PTHR39461	NA	NA	PF12396	NA	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_42_length_188626_cov_46.042069-snap-gene-0.25-mRNA-1	TMhelix	IPR036513	SSF52091	mobidb-lite	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	PTHR11814;PTHR11814:SF80	GO:0008271;GO:0008272;GO:0016020;GO:0055085;GO:0015116;GO:0016021	Reactome: R-HSA-427601	PF00916;PF01740	TIGR00815	NA	Coil	PS50801	NA	NA	cd07042	PS01130	NA	NA	NA	NA	NA	NA	NA
