Gene	PANTHER	interpro	GO	Pfam	SMART	Gene3D	MobiDBLite	ProSiteProfiles	SUPERFAMILY	Phobius	TMHMM	CDD	PATHWAY	ProSitePatterns	SignalP_GRAM_POSITIVE	SignalP_EUK	SignalP_GRAM_NEGATIVE	PRINTS	Coils	PIRSF	TIGRFAM	SFLD	Hamap	ProDom
augustus_masked-NODE_277_length_8282_cov_57.373268-processed-gene-0.0-mRNA-1	PTHR12844:SF39;PTHR12844	IPR000159	GO:0007165	PF00788	SM00314	G3DSA:3.10.20.90	mobidb-lite	PS50200	SSF54236	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-NODE_216_length_24261_cov_62.365998-processed-gene-0.44-mRNA-1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_2_length_834423_cov_25.846594-processed-gene-7.55-mRNA-1	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_26_length_193825_cov_72.621576-augustus-gene-0.360-mRNA-1	PTHR43791;PTHR43791:SF46	IPR020846	GO:0016021;GO:0055085	PF07690	NA	G3DSA:1.20.1250.20	NA	PS50850	SSF103473	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN	TMhelix	cd06174	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_52_length_139173_cov_68.556909-processed-gene-0.341-mRNA-1	PTHR32251;PTHR32251:SF21	IPR010721	NA	PF06966	NA	G3DSA:1.20.120.1630	NA	NA	NA	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_139_length_58956_cov_74.430196-processed-gene-0.153-mRNA-1	PTHR12413:SF2;PTHR12413	IPR039487	GO:0005783;GO:0006490;GO:0042283;GO:0005789;GO:0016758	PF03155	NA	NA	NA	NA	NA	TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_N_REGION;CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE	TMhelix	NA	KEGG: 00510+2.4.1.265|Reactome: R-HSA-446193|Reactome: R-HSA-4724325	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-NODE_22_length_202737_cov_78.199719-processed-gene-0.241-mRNA-1	PTHR19241;PTHR19241:SF216	IPR027417	GO:0005524;GO:0016887;GO:0016020;GO:0016021;GO:0042626;GO:0055085	PF00005;PF01061;PF14510;PF06422	SM00382	G3DSA:3.40.50.300	mobidb-lite	PS50893	SSF52540	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	TMhelix	cd03232;cd03233	Reactome: R-HSA-1369062	PS00211	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_60_length_128121_cov_70.262051-augustus-gene-0.8-mRNA-1	PTHR22642:SF2;PTHR22642	IPR011059	GO:0016810	PF07969	NA	G3DSA:2.30.40.10;G3DSA:3.10.310.70;G3DSA:3.20.20.140	NA	NA	SSF51556	SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;SIGNAL_PEPTIDE_N_REGION;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION	NA	cd01300	NA	NA	SignalP-TM	SignalP-noTM	NA	NA	NA	NA	NA	NA	NA	NA
maker-NODE_48_length_145549_cov_74.379929-augustus-gene-0.75-mRNA-1	PTHR31987;PTHR31987:SF1	IPR012341	GO:0003824	PF17168;PF16335;PF08760	NA	G3DSA:1.50.10.10	NA	NA	SSF48208	SIGNAL_PEPTIDE_N_REGION;SIGNAL_PEPTIDE_H_REGION;SIGNAL_PEPTIDE;NON_CYTOPLASMIC_DOMAIN;SIGNAL_PEPTIDE_C_REGION	NA	NA	KEGG: 00220+3.5.1.2|KEGG: 00250+3.5.1.2|KEGG: 00471+3.5.1.2	NA	SignalP-TM	SignalP-noTM	SignalP-noTM	NA	NA	NA	NA	NA	NA	NA
maker-NODE_40_length_168875_cov_71.947022-augustus-gene-0.371-mRNA-1	PTHR44039	IPR000504	GO:0003676	PF00076	SM00360	G3DSA:3.30.70.330	mobidb-lite	PS50102	SSF54928	NA	NA	cd12243	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
