Orthogroup,tool,combined_annot,pa_Lower,pa_Coral,pa_Higher,pa_Leafcutter,pa_AllOutgroup
OG0000000,led,"abH09,abH01,abH02,abH07,abH30",1,0,1,1,1
OG0000000,MEROPS,"MER0053345-Kellblood-grouppeptidase(Pantroglodytes)[M13.090]#M13#{peptidaseunit:1-461}~sourceXP_519444~,MER0152401-familyS9non-peptidasehomologues(Chloroflexusaggregans)[S09.UNW]#S09X#{peptidaseunit:804-998}~sourceACL25900~,MER0263582-familyM13non-peptidasehomologues(Pteropusvampyrus)[M13.UNW]#M13#{peptidaseunit:922-1085}~sourceGENSCAN00000029842~,MER0135310-familyS9non-peptidasehomologues(Batrachochytriumdendrobatidis)[S09.UNW]#S09X#{peptidaseunit:241-408}~sourceBDEG_00552~,MER0146924-familyS9non-peptidasehomologues(Cionasavignyi)[S09.UNW]#S09X#{peptidaseunit:1-165}~sourceENSCSAVP00000005882~,MER0978751-subfamilyS8Aunassignedpeptidases(Exophialaspinifera)[S08.UPA]#S08A#{peptidaseunit:345-580}~sourceA0A0D2AT62~",1,0,1,1,1
OG0000001,MEROPS,"MER0148183-familyS9non-peptidasehomologues(Cionaintestinalis)[S09.UNW]#S09X#{peptidaseunit:334-554}~sourceENSCINP00000003574~,MER0057464-familyS9non-peptidasehomologues(Thermobisporabispora)[S09.UNW]#S09X#{peptidaseunit:1135-1317}~sourceGEBA2500199435~,MER0148913-familyS9non-peptidasehomologues(Cionaintestinalis)[S09.UNW]#S09X#{peptidaseunit:171-370}~sourceENSCINP00000012803~,MER0135310-familyS9non-peptidasehomologues(Batrachochytriumdendrobatidis)[S09.UNW]#S09X#{peptidaseunit:241-408}~sourceBDEG_00552~,MER0263582-familyM13non-peptidasehomologues(Pteropusvampyrus)[M13.UNW]#M13#{peptidaseunit:922-1085}~sourceGENSCAN00000029842~",1,1,1,1,1
OG0000001,cazy,GH18,1,1,1,1,1
OG0000004,led,"abH13,abH22,abH14",1,1,1,1,1
OG0000005,led,"abH09,abH27,abH28",1,0,1,1,1
OG0000005,MEROPS,MER0053345-Kellblood-grouppeptidase(Pantroglodytes)[M13.090]#M13#{peptidaseunit:1-461}~sourceXP_519444~,1,0,1,1,1
OG0000007,MEROPS,MER0865108-familyM38non-peptidasehomologues(Hypocreavirens)[M38.UNW]#M38#{peptidaseunit:229-417}~sourceG9MW12~,1,1,0,0,1
OG0000007,led,abH03,1,1,0,0,1
OG0000011,MEROPS,"MER1073277-aorsin(Trichodermaatroviride)[S53.007]#S53#{peptidaseunit:213-627}~sourceG9PC25~,MER0314821-aorsin(Trichodermareesei)[S53.007]#S53#{peptidaseunit:202-632}~sourceEGR44148~,MER1060383-aorsin(Trichodermareesei)[S53.007]#S53#{peptidaseunit:242-679}~sourceA0A024RXQ4~,MER1073477-aorsin(Hypocreavirens)[S53.007]#S53#{peptidaseunit:113-494}~sourceG9MGU9~,MER1073766-aorsin(Hypocreavirens)[S53.007]#S53#{peptidaseunit:206-679}~sourceG9MY16~,MER1073712-aorsin(Hypocreavirens)[S53.007]#S53#{peptidaseunit:186-618}~sourceG9MX31~,MER1073214-aorsin(Hypocreavirens)[S53.007]#S53#{peptidaseunit:223-690}~sourceG9MSU4~,MER1070132-aorsin(Hypocreavirens)[S53.007]#S53#{peptidaseunit:217-642}~sourceG9MGU7~,MER0314866-aorsin(Hypocreavirens)[S53.007]#S53#{peptidaseunit:218-635}~sourceEHK16283~,MER1073341-aorsin(Trichodermaatroviride)[S53.007]#S53#{peptidaseunit:210-682}~sourceG9NTV7~,MER1073675-aorsin(Trichodermaatroviride)[S53.007]#S53#{peptidaseunit:213-631}~sourceG9NYD6~,MER1070883-familyS53non-peptidasehomologues(Trichodermaatroviride)[S53.UNW]#S53#{peptidaseunit:154-586}~sourceG9NE81~,MER1074563-aorsin(Trichodermaatroviride)[S53.007]#S53#{peptidaseunit:216-679}~sourceG9NE12~,MER0314841-aorsin(Trichodermaatroviride)[S53.007]#S53#{peptidaseunit:210-635}~sourceEHK50837~,MER1074437-aorsin(Trichodermaatroviride)[S53.007]#S53#{peptidaseunit:212-638}~sourceG9NQ23~,MER1068984-familyS53non-peptidasehomologues(Trichodermaatroviride)[S53.UNW]#S53#{peptidaseunit:222-651}~sourceG9NRV9~,MER1073781-aorsin(Trichodermaatroviride)[S53.007]#S53#{peptidaseunit:210-702}~sourceG9NPW8~,MER1074515-aorsin(Aureobasidiumsubglaciale)[S53.007]#S53#{peptidaseunit:200-645}~sourceA0A074YJA0~,MER1074102-aorsin(Oidiodendronmaius)[S53.007]#S53#{peptidaseunit:206-616}~sourceA0A0C3GPN7~,MER1073104-aorsin(Pestalotiopsisfici)[S53.007]#S53#{peptidaseunit:248-687}~sourceW3WVR2~,MER1072707-familyS53non-peptidasehomologues(Aureobasidiummelanogenum)[S53.UNW]#S53#{peptidaseunit:226-640}~sourceA0A074VTU1~,MER1068957-familyS53non-peptidasehomologues(Ophiostomapiceae)[S53.UNW]#S53#{peptidaseunit:277-681}~sourceS3D4Q2~",1,1,1,1,1
OG0000011,led,abH06,1,1,1,1,1
OG0000012,cazy,AA7,1,1,1,1,1
OG0000012,led,"abH08,abH13,abH16,abH21",1,1,1,1,1
OG0000016,led,abH23,1,1,1,1,1
OG0000018,cazy,GH18,1,0,1,1,1
OG0000018,led,abH23,1,0,1,1,1
OG0000021,led,abH22,1,1,1,1,1
OG0000022,led,"abH08,abH12",1,0,0,0,1
OG0000025,led,abH01,1,1,1,1,1
OG0000028,led,abH24,1,1,1,1,1
