Gene	MobiDBLite	interpro	GO	Gene3D	SUPERFAMILY	ProSiteProfiles	Pfam	SMART	Coils	CDD	ProSitePatterns	PRINTS	PATHWAY	TIGRFAM	Hamap	PIRSF	SFLD
PKK44898.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKK51849.1	NA	IPR011990	GO:0005515	G3DSA:1.25.40.10	SSF48452	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKK53699.1	mobidb-lite	IPR000504	GO:0003676	G3DSA:3.30.70.330	SSF54928	PS50102	PF00076	SM00360	Coil	cd12320	NA	NA	NA	NA	NA	NA	NA
PKK54420.1	mobidb-lite	IPR000719	GO:0004672;GO:0005524;GO:0006468	G3DSA:1.10.510.10	SSF56112	PS50011	PF00069	SM00220	NA	cd00180	NA	NA	NA	NA	NA	NA	NA
PKK50102.1	mobidb-lite	IPR013087	GO:0003676;GO:0008270	G3DSA:1.10.287.110;G3DSA:3.30.160.60	SSF57667;SSF46565	PS50157;PS50076	PF00226;PF12171	SM00271;SM00451	NA	cd06257	PS00028;PS00636	PR00625	NA	NA	NA	NA	NA
PKK46659.1	NA	IPR015590	GO:0016491;GO:0055114;GO:0016620	G3DSA:3.40.605.10;G3DSA:3.40.309.10	SSF53720	NA	PF00171	NA	NA	cd07114	PS00070;PS00687	NA	NA	NA	NA	NA	NA
PKK53077.1	NA	IPR008854	GO:0008757	G3DSA:3.40.50.150	SSF53335	PS51585	PF05724	NA	NA	cd02440	NA	NA	KEGG: 00983+2.1.1.67|Reactome: R-HSA-156581|Reactome: R-HSA-5578995	NA	NA	NA	NA
PKK45669.1	mobidb-lite	IPR004827	GO:0003700;GO:0006355	G3DSA:3.30.160.60	SSF57959	PS50217	PF07716	NA	Coil	cd12193	PS00036	NA	NA	NA	NA	NA	NA
PKK49966.1	mobidb-lite	IPR014908		G3DSA:1.25.40.440;G3DSA:1.20.120.1880;G3DSA:1.25.40.450;G3DSA:1.20.58.1780	SSF75011	NA	PF08801;PF03177	NA	Coil	NA	NA	NA	Reactome: R-HSA-1169408|Reactome: R-HSA-159227|Reactome: R-HSA-159230|Reactome: R-HSA-159231|Reactome: R-HSA-159236|Reactome: R-HSA-165054|Reactome: R-HSA-168271|Reactome: R-HSA-168276|Reactome: R-HSA-168325|Reactome: R-HSA-168333|Reactome: R-HSA-170822|Reactome: R-HSA-180746|Reactome: R-HSA-180910|Reactome: R-HSA-191859|Reactome: R-HSA-3108214|Reactome: R-HSA-3232142|Reactome: R-HSA-3301854|Reactome: R-HSA-3371453|Reactome: R-HSA-4085377|Reactome: R-HSA-4551638|Reactome: R-HSA-4570464|Reactome: R-HSA-4615885|Reactome: R-HSA-5578749|Reactome: R-HSA-5619107|Reactome: R-HSA-6784531	NA	NA	NA	NA
PKK52109.1	NA	IPR008030		G3DSA:3.90.25.10;G3DSA:3.40.50.720	SSF51735	NA	PF05368	NA	NA	NA	NA	NA	Reactome: R-HSA-70635	NA	NA	NA	NA
PKK50980.1	NA	IPR029753	GO:0051287;GO:0055114;GO:0016616	G3DSA:3.30.70.260;G3DSA:3.40.50.720	SSF55021;SSF52283;SSF51735	PS51671	PF02826;PF00389	NA	NA	cd12176	PS00671;PS00065;PS00670	NA	NA	NA	NA	NA	NA
PKK43409.1	mobidb-lite	IPR018234	GO:0003934;GO:0046654	G3DSA:1.10.286.10;G3DSA:3.30.1130.10	SSF55620	NA	PF01227	NA	NA	cd00642	PS00859;PS00860	NA	KEGG: 00790+3.5.4.16|MetaCyc: PWY-5663|MetaCyc: PWY-5664|MetaCyc: PWY-6147|MetaCyc: PWY-6703|MetaCyc: PWY-6983|MetaCyc: PWY-7442|MetaCyc: PWY-7852|Reactome: R-HSA-1474151	TIGR00063	MF_00223	NA	NA
PKK49202.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKK41778.1	mobidb-lite	IPR006671	GO:0042025	G3DSA:1.10.472.10	SSF47954	NA	PF00134;PF02984	SM01332;SM00385	NA	cd00043	PS00292	NA	NA	NA	NA	NA	NA
PKK44623.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PKK48485.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
