Gene	Gene3D	interpro	GO	ProSiteProfiles	SUPERFAMILY	Pfam	SMART	MobiDBLite	PATHWAY	ProSitePatterns	CDD	Coils	PRINTS	TIGRFAM	Hamap	PIRSF	SFLD
PNP43306.1	G3DSA:4.10.60.10	IPR001878	GO:0003676;GO:0008270	PS50158	SSF57756	PF00098	SM00343	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP42494.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP38608.1	G3DSA:2.40.50.100;G3DSA:4.10.320.10	IPR004167	GO:0016746	PS51826;PS50968	SSF47005;SSF51230	PF02817;PF00364	NA	mobidb-lite	Reactome: R-HSA-389661	PS00189	cd06849	NA	NA	NA	NA	NA	NA
PNP41168.1	NA	IPR018607	GO:0007064;GO:0031390	NA	NA	PF09696	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP42792.1	G3DSA:3.30.160.60	IPR013087	GO:0003676	PS50157	SSF57667	PF00096	SM00355	mobidb-lite	NA	PS00028	NA	NA	NA	NA	NA	NA	NA
PNP37863.1	G3DSA:1.10.8.60	IPR041048	GO:0003678;GO:0005524	NA	SSF52540	PF17856;PF06068	SM00382	NA	Reactome: R-HSA-171319|Reactome: R-HSA-3214847	NA	cd00009	NA	NA	NA	NA	NA	NA
PNP43196.1	G3DSA:1.20.1250.20	IPR011701	GO:0055085	NA	SSF103473	PF07690	NA	mobidb-lite	NA	NA	cd17322	Coil	NA	NA	NA	NA	NA
PNP38511.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	Coil	NA	NA	NA	NA	NA
PNP45478.1	G3DSA:3.60.70.12	IPR016117		NA	SSF56266	PF03576	NA	NA	KEGG: 00220+2.3.1.35+2.3.1.1|MetaCyc: PWY-5154	NA	cd02253	Coil	NA	NA	NA	NA	NA
PNP44379.1	G3DSA:2.10.109.10	IPR000223	GO:0006508;GO:0008236;GO:0016020;GO:0016021	NA	SSF51306	PF00717	NA	NA	NA	PS00760	cd06530	NA	PR00727	NA	NA	NA	NA
PNP41092.1	G3DSA:2.40.320.20	IPR003807	NA	PS51382	NA	PF02656;PF09359	NA	mobidb-lite	NA	NA	cd14480	Coil	NA	NA	NA	NA	NA
PNP44901.1	G3DSA:3.40.50.720	IPR036291	GO:0051287;GO:0055114	NA	SSF51735	PF02826	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP41143.1	NA	IPR014756	NA	NA	SSF81296	PF02752	SM01017	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP44097.1	G3DSA:3.90.1300.10	IPR036928		NA	SSF75304	PF01425	NA	mobidb-lite	KEGG: 00970+6.3.5.7	NA	NA	NA	NA	NA	NA	NA	NA
PNP48116.1	NA	IPR018814	NA	NA	NA	PF10310	NA	mobidb-lite	NA	NA	NA	Coil	NA	NA	NA	NA	NA
PNP41403.1	NA	IPR013715	NA	NA	NA	PF08508	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP44804.1	G3DSA:3.40.50.300	IPR001650	GO:0003676;GO:0005524	PS51194;PS51192;PS51195	SSF52540	PF00270;PF00271	SM00487;SM00490	mobidb-lite	NA	NA	cd17957;cd18787	Coil	NA	NA	NA	NA	NA
PNP41290.1	G3DSA:1.20.1280.170	IPR004140	GO:0000145;GO:0006887	NA	SSF74788	PF03081	NA	NA	Reactome: R-HSA-1445148|Reactome: R-HSA-264876|Reactome: R-HSA-5620916	NA	NA	NA	NA	NA	NA	NA	NA
PNP42548.1	G3DSA:3.40.140.10	IPR016193	GO:0003824;GO:0004126;GO:0008270;GO:0009972	PS51747	SSF53927	PF00383	NA	NA	KEGG: 00240+3.5.4.5|KEGG: 00983+3.5.4.5|MetaCyc: PWY-6556|MetaCyc: PWY-7181|MetaCyc: PWY-7193|MetaCyc: PWY-7199|Reactome: R-HSA-6798695|Reactome: R-HSA-73614	NA	cd01283	NA	NA	TIGR01354	NA	NA	NA
PNP48391.1	G3DSA:1.20.1270.60;G3DSA:1.10.555.10	IPR031160	GO:0007165;GO:0035556	PS51741;PS50238;PS50186	SSF103657;SSF48350;SSF46785	PF00611;PF00610;PF00620	SM00324;SM00055	mobidb-lite	Reactome: R-HSA-194840	NA	cd04399	Coil	NA	NA	NA	NA	NA
PNP42596.1	G3DSA:1.20.1250.20	IPR036259	GO:0016021;GO:0022857;GO:0055085;GO:0016020	PS50850	SSF103473	PF00083	NA	NA	Reactome: R-HSA-189200	NA	cd17356	NA	NA	TIGR00879	NA	NA	NA
PNP44665.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP45014.1	G3DSA:1.10.3710.10;G3DSA:1.20.272.10;G3DSA:3.30.160.60;G3DSA:1.10.8.60;G3DSA:3.40.50.300	IPR008921	GO:0003677;GO:0006260;GO:0006281;GO:0005524	NA	SSF48019;SSF52540	PF12002;PF16193;PF00004	SM00734;SM00382	mobidb-lite	Reactome: R-HSA-110312|Reactome: R-HSA-110314|Reactome: R-HSA-110320|Reactome: R-HSA-174411|Reactome: R-HSA-5651801|Reactome: R-HSA-5655862|Reactome: R-HSA-5656121|Reactome: R-HSA-5656169|Reactome: R-HSA-5685942|Reactome: R-HSA-5696397|Reactome: R-HSA-5696400|Reactome: R-HSA-6782135|Reactome: R-HSA-6782210|Reactome: R-HSA-69091	NA	cd00009;cd18139	NA	NA	NA	NA	NA	NA
PNP37352.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP37901.1	G3DSA:3.30.160.60	IPR036236	GO:0003676	PS50157	SSF57667	NA	SM00355	mobidb-lite	NA	PS00028	NA	NA	NA	NA	NA	NA	NA
PNP43457.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	Coil	NA	NA	NA	NA	NA
PNP37606.1	G3DSA:3.30.420.40;G3DSA:3.90.640.10	IPR004000	NA	NA	SSF53067	PF00022	SM00268	NA	NA	PS01132;PS00406;PS00432	cd00012	NA	PR00190	NA	NA	NA	NA
PNP43559.1	G3DSA:3.20.20.80	IPR017853	GO:0004553;GO:0005975	NA	SSF51445	NA	NA	NA	NA	PS00659	NA	NA	NA	NA	NA	NA	NA
PNP39356.1	G3DSA:3.40.50.720	IPR002347	GO:0016491	NA	SSF51735	PF00106	NA	NA	NA	PS00061	NA	NA	PR00081;PR00080	NA	NA	NA	NA
PNP37536.1	NA	IPR024461	NA	NA	NA	PF07798	NA	mobidb-lite	NA	NA	NA	Coil	NA	NA	NA	NA	NA
PNP48631.1	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA
PNP38807.1	G3DSA:3.30.1130.10;G3DSA:1.10.286.10	IPR001474	GO:0003934;GO:0046654	NA	SSF55620	PF01227	NA	mobidb-lite	KEGG: 00790+3.5.4.16|MetaCyc: PWY-5663|MetaCyc: PWY-5664|MetaCyc: PWY-6147|MetaCyc: PWY-6703|MetaCyc: PWY-6983|MetaCyc: PWY-7442|MetaCyc: PWY-7852|Reactome: R-HSA-1474151	PS00859;PS00860	cd00642	NA	NA	TIGR00063	MF_00223	NA	NA
PNP39561.1	G3DSA:3.20.20.70	IPR001155	GO:0010181;GO:0016491;GO:0055114;GO:0003824	NA	SSF51395	PF00724	NA	NA	NA	NA	cd04733	NA	NA	NA	NA	NA	NA
