Gene	interpro	SUPERFAMILY	GO	PATHWAY	Gene3D	TIGRFAM	Pfam	MobiDBLite	PIRSF	Hamap	ProSiteProfiles	SMART	PRINTS	Coils	CDD	ProSitePatterns	SFLD
maker-SPDT01000006.1-snap-gene-6.68-mRNA-1	IPR029035	SSF52467	GO:0008612	Reactome: R-HSA-204626	G3DSA:3.40.910.10	TIGR00321	PF01916	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-SPDT01000001.1-processed-gene-19.242-mRNA-1	IPR035913	SSF55287;SSF53036	GO:0003677;GO:0003899;GO:0006351;GO:0042025	Reactome: R-HSA-112382|Reactome: R-HSA-113418|Reactome: R-HSA-167152|Reactome: R-HSA-167158|Reactome: R-HSA-167160|Reactome: R-HSA-167161|Reactome: R-HSA-167162|Reactome: R-HSA-167172|Reactome: R-HSA-167200|Reactome: R-HSA-167238|Reactome: R-HSA-167242|Reactome: R-HSA-167243|Reactome: R-HSA-167246|Reactome: R-HSA-167287|Reactome: R-HSA-167290|Reactome: R-HSA-168325|Reactome: R-HSA-1834949|Reactome: R-HSA-203927|Reactome: R-HSA-427413|Reactome: R-HSA-5250924|Reactome: R-HSA-5578749|Reactome: R-HSA-5601884|Reactome: R-HSA-5617472|Reactome: R-HSA-674695|Reactome: R-HSA-6781823|Reactome: R-HSA-6781827|Reactome: R-HSA-6782135|Reactome: R-HSA-6782210|Reactome: R-HSA-6796648|Reactome: R-HSA-6803529|Reactome: R-HSA-6807505|Reactome: R-HSA-72086|Reactome: R-HSA-72163|Reactome: R-HSA-72165|Reactome: R-HSA-72203|Reactome: R-HSA-73762|Reactome: R-HSA-73772|Reactome: R-HSA-73776|Reactome: R-HSA-73779|Reactome: R-HSA-73780|Reactome: R-HSA-73863|Reactome: R-HSA-73980|Reactome: R-HSA-749476|Reactome: R-HSA-75953|Reactome: R-HSA-75955|Reactome: R-HSA-76042|Reactome: R-HSA-76061|Reactome: R-HSA-76066|Reactome: R-HSA-76071|Reactome: R-HSA-77075|Reactome: R-HSA-8851708|Reactome: R-HSA-9018519	G3DSA:3.90.940.20;G3DSA:3.40.1340.10	NA	PF03871;PF01191	mobidb-lite	PIRSF000747	MF_00025	NA	NA	NA	NA	NA	NA	NA
augustus_masked-SPDT01000001.1-processed-gene-21.186-mRNA-1	IPR003807	NA	NA	NA	NA	NA	PF02656	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
augustus_masked-SPDT01000006.1-processed-gene-5.49-mRNA-1	IPR015943	SSF50978	GO:0005515	NA	G3DSA:2.130.10.10	NA	NA	mobidb-lite	NA	NA	PS50294;PS50082	SM00320	NA	NA	NA	NA	NA
maker-SPDT01000002.1-snap-gene-12.137-mRNA-1	IPR001452	SSF50044	GO:0005515	NA	G3DSA:2.30.30.40	NA	PF00018	mobidb-lite	NA	NA	PS50002	SM00326	PR00452	NA	NA	NA	NA
maker-SPDT01000004.1-augustus-gene-25.4-mRNA-1	IPR000195	SSF47923;SSF47473	NA	NA	G3DSA:1.10.472.80;G3DSA:1.10.8.270	NA	PF00566	mobidb-lite	NA	NA	PS50086	SM00164	NA	Coil	NA	NA	NA
snap_masked-SPDT01000006.1-processed-gene-28.193-mRNA-1	IPR036452	SSF53590	NA	NA	G3DSA:3.90.245.10	NA	PF01156	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
snap_masked-SPDT01000005.1-processed-gene-2.2-mRNA-1	IPR000387	SSF52799	GO:0016311;GO:0016791;GO:0008138	NA	G3DSA:3.90.190.10	NA	PF00782	NA	NA	NA	PS50056	NA	NA	NA	cd14498	NA	NA
maker-SPDT01000004.1-augustus-gene-29.265-mRNA-1	IPR012066	SSF53790;SSF75615;SSF51735	GO:0000103;GO:0004851;GO:0019354;GO:0008168;GO:0006779;GO:0055114	KEGG: 00860+2.1.1.107	G3DSA:3.40.50.720;G3DSA:3.30.950.10;G3DSA:3.40.1010.10	TIGR01470	PF14823;PF13241;PF14824;PF00590	NA	PIRSF036555	NA	NA	NA	NA	NA	cd11642	NA	NA
maker-SPDT01000010.1-snap-gene-15.240-mRNA-1	IPR001752	SSF52540	GO:0003777;GO:0005524;GO:0007018;GO:0008017	Reactome: R-HSA-6811434|Reactome: R-HSA-983189	G3DSA:3.40.850.10	NA	PF00225	mobidb-lite	NA	NA	PS50067	SM00129	PR00380	Coil	cd01366	PS00411	NA
augustus_masked-SPDT01000006.1-processed-gene-20.105-mRNA-1	IPR002885	NA	GO:0005515	NA	G3DSA:1.25.40.10	NA	NA	mobidb-lite	NA	NA	PS51375	NA	NA	Coil	NA	NA	NA
