Gene	interpro	GO	SMART	ProSiteProfiles	Pfam	Gene3D	MobiDBLite	CDD	Coils	SUPERFAMILY	ProSitePatterns	PRINTS	PATHWAY	TIGRFAM	PIRSF	Hamap	SFLD
EHK26695.1	IPR006634	GO:0016021	SM00724	PS50922	PF03798	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EHK22442.1	IPR014001	GO:0003676;GO:0005524	SM00487;SM00490	PS51192;PS51194;PS51195	PF00270;PF00271	G3DSA:3.40.50.300	mobidb-lite	cd18787;cd17950	Coil	SSF52540	NA	NA	NA	NA	NA	NA	NA
EHK19817.1	IPR001680	GO:0005515	SM00320	PS50082;PS50294	PF00400	G3DSA:2.130.10.10	NA	cd00200	NA	SSF50978	PS00678	PR00320	NA	NA	NA	NA	NA
EHK15529.1	IPR019371	NA	NA	NA	PF10241	NA	mobidb-lite	NA	Coil	NA	NA	NA	NA	NA	NA	NA	NA
EHK17664.1	IPR009057	GO:0003677	SM00717	PS51294;PS50090	PF13921	G3DSA:1.10.10.60	mobidb-lite	cd00167	NA	SSF46689	NA	NA	NA	NA	NA	NA	NA
EHK20253.1	IPR011044	GO:0005515	NA	NA	PF10433	G3DSA:2.130.10.10	NA	NA	Coil	SSF50969	NA	NA	NA	NA	NA	NA	NA
EHK26452.1	IPR001138	GO:0000981;GO:0005634;GO:0006355;GO:0008270	SM00066	PS50048	PF00172	G3DSA:4.10.240.10	mobidb-lite	cd00067	Coil	SSF57701	PS00463	NA	NA	NA	NA	NA	NA
EHK24418.1	IPR036920	GO:0003735;GO:0005840;GO:0006412;GO:0019843	NA	NA	PF00252	G3DSA:3.90.1170.10	mobidb-lite	cd01433	NA	SSF54686	PS00701	PR00060	Reactome: R-HSA-5368286|Reactome: R-HSA-5389840|Reactome: R-HSA-5419276	TIGR01164	NA	NA	NA
EHK20429.1	IPR006162	GO:0003824;GO:0031177	SM00823	PS50075	PF00668;PF00501;PF00550	G3DSA:3.30.559.10;G3DSA:1.10.1200.10;G3DSA:3.30.559.30;G3DSA:3.30.300.30;G3DSA:3.40.50.12780	NA	cd05918	NA	SSF52777;SSF47336;SSF56801	PS00012;PS00455	NA	Reactome: R-HSA-389661	TIGR01733	NA	NA	NA
EHK22887.1	IPR036188	GO:0071949	NA	NA	PF01494	G3DSA:3.50.50.60	NA	NA	NA	SSF51905	NA	PR00420	NA	NA	NA	NA	NA
EHK17337.1	IPR029063	NA	NA	NA	PF13489	G3DSA:3.40.50.150	NA	cd02440	NA	SSF53335	NA	NA	NA	NA	NA	NA	NA
