go_id	BH.correction	Term	Ontol	pval
GO:0006355	6.295229999999999e-60	regulation of transcription, DNA-templated	BP	8.408589999999998e-63
GO:1903506	6.295229999999999e-60	regulation of nucleic acid-templated transcription	BP	8.408589999999998e-63
GO:2001141	6.295229999999999e-60	regulation of RNA biosynthetic process	BP	8.408589999999998e-63
GO:0051252	1.3684699999999999e-59	regulation of RNA metabolic process	BP	2.4371599999999997e-62
GO:0019219	9.010949999999998e-59	regulation of nucleobase-containing compound metabolic process	BP	2.0059999999999996e-61
GO:0010556	1.79887e-57	regulation of macromolecule biosynthetic process	BP	5.606439999999999e-60
GO:2000112	1.79887e-57	regulation of cellular macromolecule biosynthetic process	BP	5.606439999999999e-60
GO:0009889	2.33244e-57	regulation of biosynthetic process	BP	9.346359999999997e-60
GO:0031326	2.33244e-57	regulation of cellular biosynthetic process	BP	9.346359999999997e-60
GO:0010468	2.5605499999999997e-53	regulation of gene expression	BP	1.14005e-55
GO:0006351	5.134049999999999e-53	transcription, DNA-templated	BP	2.82559e-55
GO:0097659	5.134049999999999e-53	nucleic acid-templated transcription	BP	2.82559e-55
GO:0031323	5.134049999999999e-53	regulation of cellular metabolic process	BP	2.97162e-55
GO:0032774	1.1138099999999997e-52	RNA biosynthetic process	BP	6.94274e-55
GO:0051171	1.1528699999999997e-52	regulation of nitrogen compound metabolic process	BP	7.69947e-55
GO:0080090	1.7358599999999996e-52	regulation of primary metabolic process	BP	1.23659e-54
GO:0060255	2.44975e-48	regulation of macromolecule metabolic process	BP	1.85422e-50
GO:0019222	3.60106e-48	regulation of metabolic process	BP	2.88598e-50
GO:0034654	1.16716e-37	nucleobase-containing compound biosynthetic process	BP	9.87354e-40
GO:0019438	1.14701e-31	aromatic compound biosynthetic process	BP	1.0213800000000001e-33
GO:0018130	7.26398e-29	heterocycle biosynthetic process	BP	6.79179e-31
GO:1901362	4.2042099999999995e-28	organic cyclic compound biosynthetic process	BP	4.1181000000000004e-30
GO:0050794	4.43908e-27	regulation of cellular process	BP	4.54581e-29
GO:0050789	5.4880600000000006e-24	regulation of biological process	BP	5.86436e-26
GO:0065007	6.846349999999999e-20	biological regulation	BP	7.6206e-22
GO:0016070	1.04802e-17	RNA metabolic process	BP	1.2132e-19
GO:0055114	3.46135e-13	oxidation-reduction process	BP	4.16102e-15
GO:0034645	5.18241e-13	cellular macromolecule biosynthetic process	BP	6.46071e-15
GO:0009059	1.18937e-12	macromolecule biosynthetic process	BP	1.5357e-14
GO:0044271	1.03401e-10	cellular nitrogen compound biosynthetic process	BP	1.38113e-12
GO:0090304	2.11289e-6	nucleic acid metabolic process	BP	2.91628e-8
GO:0008152	5.65836e-6	metabolic process	BP	8.06178e-8
GO:0019748	1.56748e-5	secondary metabolic process	BP	2.30306e-7
GO:0070941	1.66202e-5	eisosome assembly	BP	2.51597e-7
GO:0010467	2.25977e-5	gene expression	BP	3.52146e-7
GO:0009403	2.45401e-4	toxin biosynthetic process	BP	4.2612e-6
GO:0009404	2.45401e-4	toxin metabolic process	BP	4.2612e-6
GO:0043385	2.45401e-4	mycotoxin metabolic process	BP	4.2612e-6
GO:0043386	2.45401e-4	mycotoxin biosynthetic process	BP	4.2612e-6
GO:0044550	5.08553e-4	secondary metabolite biosynthetic process	BP	9.05705e-6
GO:0006139	6.5243e-4	nucleobase-containing compound metabolic process	BP	1.19099e-5
GO:0055085	0.0045596	transmembrane transport	BP	8.52642e-5
GO:0044249	0.00622967	cellular biosynthetic process	BP	1.19268e-4
GO:0006725	0.00882603	cellular aromatic compound metabolic process	BP	1.74256e-4
GO:0009058	0.00882603	biosynthetic process	BP	1.76835e-4
GO:0000981	4.8113099999999994e-77	DNA-binding transcription factor activity, RNA polymerase II-specific	MF	3.359849999999999e-80
GO:0003700	1.5752499999999997e-65	DNA-binding transcription factor activity	MF	2.2000699999999997e-68
GO:0140110	3.35506e-56	transcription regulator activity	MF	7.0287599999999985e-59
GO:0046914	1.87957e-55	transition metal ion binding	MF	5.25019e-58
GO:0008270	7.926259999999999e-54	zinc ion binding	MF	2.76755e-56
GO:0046872	3.70451e-35	metal ion binding	MF	1.55217e-37
GO:0043169	5.110399999999999e-34	cation binding	MF	2.4981e-36
GO:0043167	3.8454e-10	ion binding	MF	2.14827e-12
GO:0016491	1.34512e-9	oxidoreductase activity	MF	8.45399e-12
GO:0048037	2.73372e-7	cofactor binding	MF	1.90902e-9
GO:0050662	2.41683e-4	coenzyme binding	MF	1.8565e-6
GO:0071949	3.67517e-4	FAD binding	MF	3.07975e-6
GO:0020037	5.08303e-4	heme binding	MF	4.96944e-6
GO:0046906	5.08303e-4	tetrapyrrole binding	MF	4.96944e-6
GO:0003677	7.5262e-4	DNA binding	MF	7.88359e-6
GO:0016705	0.0010939	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen	MF	1.22224e-5
GO:0005506	0.00124462	iron ion binding	MF	1.47755e-5
GO:0050660	0.00653546	flavin adenine dinucleotide binding	MF	8.21496e-5
GO:0016829	0.00963955	lyase activity	MF	1.27899e-4
GO:0005634	3.2833300000000004e-33	nucleus	CC	5.48136e-36
GO:0043231	3.31738e-10	intracellular membrane-bounded organelle	CC	1.10764e-12
GO:0043227	2.69859e-9	membrane-bounded organelle	CC	1.35155e-11
GO:0032126	1.17224e-5	eisosome	CC	7.82801e-8
