Gene	Phobius	PRINTS	interpro	GO	ProSiteProfiles	PANTHER	TMHMM	SFLD	Gene3D	PATHWAY	TIGRFAM	CDD	SUPERFAMILY	ProSitePatterns	Pfam	MobiDBLite	SMART	Coils	PIRSF	SignalP_EUK	SignalP_GRAM_NEGATIVE	SignalP_GRAM_POSITIVE	Hamap	ProDom
EHK39987.1	NON_CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;CYTOPLASMIC_DOMAIN	PR00119;PR00942	IPR006121	GO:0030001;GO:0046872;GO:0016021;GO:0000166;GO:0006812;GO:0019829;GO:0005507	PS50846	PTHR43520:SF8;PTHR43520	TMhelix	SFLDF00027;SFLDS00003	G3DSA:3.30.70.100;G3DSA:3.40.1110.10;G3DSA:2.70.150.20;G3DSA:3.40.50.1000	Reactome: R-HSA-936837	TIGR01494;TIGR01525;TIGR00003	cd00371;cd02094	SSF55008;SSF81660;SSF81653;SSF56784;SSF81665	PS00154;PS01229	PF00122;PF00403;PF00702	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
EHK50501.1	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	IPR027469	GO:0006812;GO:0008324;GO:0016021;GO:0055085	NA	PTHR11562:SF62;PTHR11562	TMhelix	NA	G3DSA:1.20.1510.10	NA	NA	NA	SSF161111	NA	PF01545	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
EHK43105.1	NA	PR01415	IPR007111	GO:0005515;GO:0003824;GO:0009116	PS50088;PS50297	PTHR24151:SF8;PTHR24151	NA	NA	G3DSA:1.25.40.20;G3DSA:3.40.50.300	NA	NA	cd00204	SSF48403;SSF52540;SSF53167	NA	PF05729;PF12796	NA	SM00248	NA	NA	NA	NA	NA	NA	NA
EHK39576.1	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	IPR007751	NA	NA	PTHR12482;PTHR12482:SF4	TMhelix	NA	NA	NA	NA	NA	SSF53474	NA	PF05057	mobidb-lite	NA	Coil	NA	NA	NA	NA	NA	NA
EHK42342.1	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	IPR000326	NA	NA	PTHR10165;PTHR10165:SF84	TMhelix	NA	G3DSA:1.20.144.10	NA	NA	cd03390	SSF48317	NA	PF01569	mobidb-lite	SM00014	NA	NA	NA	NA	NA	NA	NA
EHK51000.1	TRANSMEMBRANE;CYTOPLASMIC_DOMAIN;NON_CYTOPLASMIC_DOMAIN	NA	NA	NA	NA	PTHR35179;PTHR35179:SF1	TMhelix	NA	NA	NA	NA	NA	NA	NA	NA	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
EHK41785.1	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	NA	IPR036259	GO:0016021;GO:0055085	PS50850	PTHR11360;PTHR11360:SF223	TMhelix	NA	G3DSA:1.20.1250.20	NA	NA	cd06174	SSF103473	NA	PF07690	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
EHK44239.1	CYTOPLASMIC_DOMAIN;TRANSMEMBRANE;NON_CYTOPLASMIC_DOMAIN	PR00449	IPR013566	GO:0005509;GO:0003924;GO:0005525;GO:0007005;GO:0031307	PS51423;PS50222	PTHR24072;PTHR24072:SF73	TMhelix	NA	G3DSA:1.10.238.10;G3DSA:3.40.50.300	Reactome: R-HSA-194840	NA	cd01893;cd01892	SSF52540;SSF47473	PS00018	PF08355;PF00071;PF08356	NA	SM00054;SM00175;SM00173;SM00174	NA	PIRSF037488	NA	NA	NA	NA	NA
EHK42234.1	NON_CYTOPLASMIC_DOMAIN;CYTOPLASMIC_DOMAIN;TRANSMEMBRANE	NA	IPR013057	NA	NA	PTHR22950:SF8;PTHR22950	TMhelix	NA	NA	NA	NA	NA	NA	NA	PF01490	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
EHK43635.1	NA	NA	IPR006050		PS51645	PTHR11455:SF22;PTHR11455	NA	NA	G3DSA:1.25.40.80;G3DSA:3.40.50.620;G3DSA:1.10.579.10	Reactome: R-HSA-400253	NA	NA	SSF52425;SSF48173	NA	PF00875;PF03441	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA
