Gene ID	HMMER	Hotpep	DIAMOND	Signalp	#ofTools
augustus_masked-NIGB01000001.1-processed-gene-11.18-mRNA-1	GT4(258-384)	GT4	GT4	N	3
augustus_masked-NIGB01000001.1-processed-gene-18.35-mRNA-1	GH18(32-287)	GH18	GH18	N	3
augustus_masked-NIGB01000001.1-processed-gene-21.18-mRNA-1	GT69(20-295)	GT69	GT69	N	3
augustus_masked-NIGB01000001.1-processed-gene-21.25-mRNA-1	GH47(107-613)	GH47	GH47	N	3
augustus_masked-NIGB01000001.1-processed-gene-26.19-mRNA-1	GT4(258-413)	GT4	GT4	N	3
augustus_masked-NIGB01000001.1-processed-gene-3.13-mRNA-1	GH18(69-306)	N	GH18	N	2
augustus_masked-NIGB01000001.1-processed-gene-31.25-mRNA-1	GH72(16-332)	GH72	GH72	N	3
augustus_masked-NIGB01000001.1-processed-gene-33.21-mRNA-1	GT64(95-339)	N	N	N	1
augustus_masked-NIGB01000001.1-processed-gene-33.23-mRNA-1	GT1(901-1305)	GT1	GT1	N	3
augustus_masked-NIGB01000001.1-processed-gene-4.17-mRNA-1	AA3(9-541)	AA3	AA3_2	N	3
augustus_masked-NIGB01000001.1-processed-gene-49.33-mRNA-1	AA7(396-584)	N	AA7	N	2
augustus_masked-NIGB01000001.1-processed-gene-5.1-mRNA-1	CBM21(308-414)	CBM21	CBM21	N	3
augustus_masked-NIGB01000002.1-processed-gene-20.22-mRNA-1	GH43(27-310)+CBM66(328-481)	GH43	CBM66+GH43_34	N	3
augustus_masked-NIGB01000002.1-processed-gene-23.32-mRNA-1	GH17(103-313)	GH17	N	N	2
augustus_masked-NIGB01000002.1-processed-gene-25.34-mRNA-1	CE10(75-323)	N	N	N	1
augustus_masked-NIGB01000002.1-processed-gene-33.21-mRNA-1	GT39(63-307)+GT69(873-1125)	GT39+GT69	GT39	N	3
augustus_masked-NIGB01000002.1-processed-gene-39.12-mRNA-1	GT69(49-310)	GT69	N	N	2
augustus_masked-NIGB01000002.1-processed-gene-41.43-mRNA-1	GT90(708-998)	GT90	N	N	2
augustus_masked-NIGB01000002.1-processed-gene-41.63-mRNA-1	GH17(65-313)	GH17	GH17	N	3
augustus_masked-NIGB01000002.1-processed-gene-41.66-mRNA-1	CE10(94-365)	N	N	N	1
augustus_masked-NIGB01000002.1-processed-gene-41.90-mRNA-1	GH3(188-400)	GH3	GH3	N	3
augustus_masked-NIGB01000002.1-processed-gene-6.19-mRNA-1	GH67(12-630)	GH67	GH67	N	3
augustus_masked-NIGB01000003.1-processed-gene-11.0-mRNA-1	GT57(69-300)+GT57(339-571)	GT57	GT57	N	3
augustus_masked-NIGB01000003.1-processed-gene-18.11-mRNA-1	CE4(86-218)	CE4	N	N	2
augustus_masked-NIGB01000003.1-processed-gene-2.13-mRNA-1	GH18(509-867)	GH18+CBM18+CBM50	CBM18+GH18	N	3
augustus_masked-NIGB01000003.1-processed-gene-26.13-mRNA-1	GT62(71-335)	GT62	GT62	N	3
augustus_masked-NIGB01000003.1-processed-gene-26.2-mRNA-1	GH38(283-541)	GH38	GH38	N	3
augustus_masked-NIGB01000003.1-processed-gene-28.4-mRNA-1	GH16(88-331)	GH16	N	N	2
augustus_masked-NIGB01000003.1-processed-gene-29.22-mRNA-1	GT22(12-360)	GT22	GT22	N	3
augustus_masked-NIGB01000003.1-processed-gene-32.28-mRNA-1	GH31(366-813)	GH31	GH31	N	3
augustus_masked-NIGB01000003.1-processed-gene-32.30-mRNA-1	GH18(41-234)	GH18	GH18	N	3
augustus_masked-NIGB01000003.1-processed-gene-35.50-mRNA-1	CE5(77-234)	CE5	N	N	2
augustus_masked-NIGB01000003.1-processed-gene-39.36-mRNA-1	GH31(233-725)	GH31	GH31	N	3
augustus_masked-NIGB01000003.1-processed-gene-39.38-mRNA-1	GH2(113-742)	GH2	GH2	N	3
augustus_masked-NIGB01000003.1-processed-gene-7.34-mRNA-1	GT17(64-345)	GT17	N	N	2
augustus_masked-NIGB01000004.1-processed-gene-0.21-mRNA-1	GH28(100-436)	GH28	GH28	N	3
augustus_masked-NIGB01000004.1-processed-gene-1.32-mRNA-1	GH49(4-551)	GH49	GH49	N	3
augustus_masked-NIGB01000004.1-processed-gene-19.47-mRNA-1	GH5_12(15-549)	GH5	GH5_12	N	3
augustus_masked-NIGB01000004.1-processed-gene-22.5-mRNA-1	GH18(372-498)	GH18+CBM18+CBM50	N	N	2
augustus_masked-NIGB01000004.1-processed-gene-23.19-mRNA-1	GT1(38-462)	N	N	N	1
augustus_masked-NIGB01000004.1-processed-gene-23.26-mRNA-1	CE10(150-437)	N	N	N	1
augustus_masked-NIGB01000004.1-processed-gene-26.22-mRNA-1	GT90(357-657)	GT90	GT90	N	3
augustus_masked-NIGB01000004.1-processed-gene-27.40-mRNA-1	AA11(19-168)	AA11	N	N	2
