Gene	MobiDBLite	interpro	SMART	GO	PRINTS	Gene3D	CDD	ProSitePatterns	ProSiteProfiles	SUPERFAMILY	Pfam	Coils	PIRSF	PATHWAY	Hamap	TIGRFAM	SFLD
EGR46880.1	mobidb-lite	IPR001370	SM00238	GO:0003677;GO:0006355	PR00929	G3DSA:1.10.1170.10	cd00022	PS00354	PS50143	SSF57924	PF00653	Coil	NA	NA	NA	NA	NA
EGR46075.1	mobidb-lite	IPR011501	NA	NA	NA	NA	NA	NA	NA	SSF48371	PF07540;PF03914	NA	PIRSF028977	NA	NA	NA	NA
EGR44728.1	NA	IPR003819	NA	GO:0016491;GO:0055114	NA	G3DSA:3.60.130.10	NA	NA	NA	SSF51197	PF02668	NA	NA	Reactome: R-HSA-71262	NA	NA	NA
EGR48962.1	NA	IPR035921	NA	GO:0015078;GO:0015986;GO:0045263;GO:0033177;GO:1902600	PR00124	G3DSA:1.20.20.10	cd18182	PS00605	NA	SSF81333	PF00137	NA	NA	Reactome: R-HSA-163210|Reactome: R-HSA-8949613	MF_01396	NA	NA
EGR45673.1	NA	IPR041756	NA	GO:0004177;GO:0006508;GO:0016603	NA	G3DSA:3.40.630.10;G3DSA:3.50.30.30	cd03876;cd02130;cd03880	NA	NA	SSF52025;SSF53187	PF02225;PF04389	NA	NA	MetaCyc: PWY-7942	NA	NA	NA
EGR44455.1	NA	IPR035994	NA	GO:0003824;GO:0009116	NA	NA	cd09008	NA	NA	SSF53167	PF01048	NA	NA	NA	NA	NA	NA
EGR48702.1	mobidb-lite	IPR000727	SM00397;SM00312	GO:0035091	NA	G3DSA:1.20.5.110;G3DSA:3.30.1520.10	cd06897;cd15858	NA	PS50192;PS50195	SSF58038;SSF64268	PF00787	Coil	NA	NA	NA	NA	NA
EGR50159.1	NA	IPR027417	SM00382	GO:0005524	PR00819	G3DSA:1.10.8.60;G3DSA:3.40.50.300	cd00009	NA	NA	SSF52540	PF00004;PF17866	NA	NA	NA	NA	NA	NA
EGR48958.1	mobidb-lite	IPR009072	NA	GO:0046982;GO:0005669;GO:0006352	NA	G3DSA:1.10.20.10	cd07981	NA	NA	SSF47113	PF03847	Coil	NA	Reactome: R-HSA-167161|Reactome: R-HSA-167162|Reactome: R-HSA-167172|Reactome: R-HSA-3214847|Reactome: R-HSA-674695|Reactome: R-HSA-6804756|Reactome: R-HSA-73776|Reactome: R-HSA-73779|Reactome: R-HSA-75953|Reactome: R-HSA-76042	NA	NA	NA
EGR50056.1	mobidb-lite	IPR021715	NA		NA	NA	NA	NA	NA	NA	PF11708	Coil	NA	Reactome: R-HSA-159236|Reactome: R-HSA-72163|Reactome: R-HSA-72187|Reactome: R-HSA-73856	NA	NA	NA
EGR47427.1	mobidb-lite	IPR012965	NA	NA	NA	NA	cd04401	NA	NA	NA	PF08101	NA	NA	NA	NA	NA	NA
EGR50334.1	NA	IPR018020	NA		NA	G3DSA:1.10.3330.10	NA	NA	NA	SSF158694	PF09349	Coil	NA	KEGG: 00230+4.1.1.97|MetaCyc: PWY-5691|MetaCyc: PWY-7394|MetaCyc: PWY-7849	NA	NA	NA
EGR52362.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA
EGR47252.1	NA	IPR036188	NA	GO:0016491;GO:0055114	NA	G3DSA:3.30.9.10;G3DSA:3.50.50.60	NA	NA	NA	SSF51905	PF01266	NA	NA	NA	NA	NA	NA
EGR45195.1	NA	IPR005828	NA	GO:0016021;GO:0022857;GO:0055085;GO:0016020	PR00171	G3DSA:1.20.1250.20	cd17356	NA	PS50850	SSF103473	PF00083	NA	NA	Reactome: R-HSA-189200	NA	TIGR00879	NA
EGR47712.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR49914.1	mobidb-lite	IPR007219	SM00906	GO:0003677;GO:0005634;GO:0006351;GO:0008270	NA	NA	cd12148	NA	NA	NA	PF04082	NA	NA	NA	NA	NA	NA
EGR46804.1	mobidb-lite	IPR036322	SM00320	GO:0005515	NA	G3DSA:2.130.10.10	NA	NA	NA	SSF50978	NA	NA	NA	NA	NA	NA	NA
EGR49704.1	NA	IPR001763	SM00450	NA	NA	G3DSA:3.40.250.10	NA	NA	PS50206	SSF52821	PF00581	NA	NA	NA	NA	NA	NA
EGR47101.1	NA	IPR002347	NA	GO:0016491	PR00081;PR00080	G3DSA:3.40.50.720	NA	PS00061	NA	SSF51735	PF00106	NA	NA	NA	NA	NA	NA
EGR48758.1	mobidb-lite	IPR014877	SM01102;SM00913	GO:0005049;GO:0006886;GO:0008536	NA	G3DSA:1.25.10.10	NA	NA	PS50166	SSF48371	PF08767;PF03810;PF08389;PF18787;PF18784;PF18777	NA	NA	Reactome: R-HSA-141444|Reactome: R-HSA-165054|Reactome: R-HSA-168333|Reactome: R-HSA-2173788|Reactome: R-HSA-2467813|Reactome: R-HSA-2500257|Reactome: R-HSA-3769402|Reactome: R-HSA-450520|Reactome: R-HSA-5663220|Reactome: R-HSA-5687128|Reactome: R-HSA-68877|Reactome: R-HSA-69273|Reactome: R-HSA-9634638	NA	NA	NA
EGR52835.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR46175.1	NA	IPR009939	NA	GO:0016977	NA	NA	NA	NA	NA	NA	PF07335	NA	NA	KEGG: 00520+3.2.1.132	NA	NA	NA
EGR47452.1	mobidb-lite	IPR001382	NA	GO:0004571;GO:0005509;GO:0016020;GO:0003824	PR00747	G3DSA:1.50.10.10	NA	NA	NA	SSF48225	PF01532	NA	NA	NA	NA	NA	NA
EGR45518.1	NA	IPR036396	NA	GO:0005506;GO:0016705;GO:0020037;GO:0055114;GO:0004497	PR00385;PR00465	G3DSA:1.10.630.10	NA	NA	NA	SSF48264	PF00067	Coil	NA	NA	NA	NA	NA
EGR47669.1	NA	IPR007109	SM00879	NA	NA	G3DSA:3.40.50.10480	NA	NA	PS50833	SSF52954	PF04427	NA	NA	NA	NA	NA	NA
EGR44148.1	NA	IPR015366	SM00944	GO:0008236;GO:0004252;GO:0006508	NA	G3DSA:3.40.50.200	cd11377;cd04056	PS00138	PS51695	SSF54897;SSF52743	PF00082;PF09286	NA	NA	Reactome: R-HSA-381038	NA	NA	NA
EGR46161.1	NA	IPR023271	NA	GO:0015267;GO:0016020;GO:0055085	PR00783	G3DSA:1.20.1080.10	NA	NA	NA	SSF81338	PF00230	NA	NA	Reactome: R-HSA-432047	NA	NA	NA
EGR47750.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR46548.1	NA	IPR007741	SM00916		NA	G3DSA:3.40.30.10	NA	NA	NA	SSF52833	PF05047	NA	PIRSF005822	Reactome: R-HSA-611105|Reactome: R-HSA-6799198	NA	NA	NA
EGR47084.1	NA	IPR008030	NA		NA	G3DSA:3.40.50.720;G3DSA:3.90.25.10	cd05251	NA	NA	SSF51735	PF05368	NA	NA	Reactome: R-HSA-70635	NA	NA	NA
EGR50076.1	NA	IPR002468	NA	GO:0004177;GO:0006508;GO:0008235	PR00599	G3DSA:1.10.10.10;G3DSA:3.90.230.10	cd01088	NA	NA	SSF46785;SSF55920	PF00557	NA	NA	MetaCyc: PWY-7799|MetaCyc: PWY-7800|Reactome: R-HSA-2514859	MF_03175	TIGR00501	NA
EGR47571.1	mobidb-lite	IPR005764	NA	GO:0003999;GO:0005737;GO:0006168;GO:0009116	NA	G3DSA:3.40.50.2020	cd06223	NA	NA	SSF53271	PF00156	NA	NA	KEGG: 00230+2.4.2.7|MetaCyc: PWY-6605|MetaCyc: PWY-6610|MetaCyc: PWY-7805|MetaCyc: PWY-7807|Reactome: R-HSA-6798695|Reactome: R-HSA-74217	MF_00004	TIGR01090	NA
EGR50843.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA
EGR48277.1	mobidb-lite	IPR010014	NA	GO:0017183	NA	G3DSA:3.40.50.11850;G3DSA:3.40.50.11860;G3DSA:3.40.50.11840	NA	NA	NA	NA	PF01866	Coil	NA	MetaCyc: PWY-6482|MetaCyc: PWY-7546|Reactome: R-HSA-5358493	NA	TIGR00272;TIGR00322	SFLDG01121;SFLDS00032;SFLDF00408
EGR49017.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
EGR47890.1	mobidb-lite	IPR016194	SM00513;SM00559	GO:0003677;GO:0006303;GO:0003678;GO:0000723;GO:0003684;GO:0005634;GO:0042162;GO:0043564	NA	G3DSA:2.40.290.10;G3DSA:3.40.50.410;G3DSA:1.10.720.30;G3DSA:1.10.1600.10;G3DSA:4.10.970.10	cd01458;cd00788	NA	PS50800	SSF68906;SSF53300;SSF100939	PF03731;PF02735;PF03730;PF02037	Coil	PIRSF003033	Reactome: R-HSA-164843|Reactome: R-HSA-1834949|Reactome: R-HSA-3270619|Reactome: R-HSA-5693571|Reactome: R-HSA-6798695	NA	TIGR00578	NA
EGR50167.1	NA	IPR027443	NA	GO:0016491;GO:0055114	NA	G3DSA:2.60.120.330	NA	NA	PS51471	SSF51197	PF03171;PF14226	NA	NA	NA	NA	NA	NA
EGR45555.1	mobidb-lite	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Coil	NA	NA	NA	NA	NA
EGR53076.1	mobidb-lite	IPR003959	SM00382	GO:0005524;GO:0003677;GO:0006260	NA	G3DSA:3.40.50.300;G3DSA:1.10.8.60;G3DSA:1.20.272.10	cd18140;cd00009	NA	NA	SSF48019;SSF52540	PF00004;PF08542	NA	NA	Reactome: R-HSA-110312|Reactome: R-HSA-110314|Reactome: R-HSA-110320|Reactome: R-HSA-174411|Reactome: R-HSA-5651801|Reactome: R-HSA-5655862|Reactome: R-HSA-5656121|Reactome: R-HSA-5656169|Reactome: R-HSA-5685942|Reactome: R-HSA-5696397|Reactome: R-HSA-5696400|Reactome: R-HSA-6782135|Reactome: R-HSA-6782210|Reactome: R-HSA-69091	NA	NA	NA
EGR52336.1	mobidb-lite	IPR013346	NA	GO:0055114;GO:0006260;GO:0004748;GO:0005524	PR01183	G3DSA:3.20.70.20	cd01679	PS00089	PS51161	SSF48168;SSF51998	PF00317;PF03477;PF02867	NA	NA	KEGG: 00230+1.17.4.1|KEGG: 00240+1.17.4.1|KEGG: 00480+1.17.4.1|KEGG: 00983+1.17.4.1|MetaCyc: PWY-6545|MetaCyc: PWY-7184|MetaCyc: PWY-7198|MetaCyc: PWY-7210|MetaCyc: PWY-7220|MetaCyc: PWY-7222|MetaCyc: PWY-7226|MetaCyc: PWY-7227|Reactome: R-HSA-499943	NA	TIGR02506	NA
EGR44662.1	mobidb-lite	IPR029510	NA	GO:0016491;GO:0055114;GO:0016620	NA	G3DSA:3.40.309.10;G3DSA:3.40.605.10	NA	PS00687;PS00070	NA	SSF53720	PF00171	NA	NA	NA	NA	NA	NA
EGR44909.1	mobidb-lite	IPR009292	NA	GO:0000469	NA	NA	NA	NA	NA	NA	PF06102	Coil	NA	Reactome: R-HSA-6790901|Reactome: R-HSA-6791226	NA	NA	NA
EGR47092.1	mobidb-lite	IPR013951	NA	GO:0016575	NA	NA	NA	NA	NA	NA	PF08642	Coil	NA	NA	NA	NA	NA
